year,source,chamber,district,candidate_key,ballot_name,source_party,source_votes,resolved_party,canonical_candidate_id,canonical_name,canonical_party,canonical_votes,name_score,vote_score,composite_score,match_status,score_margin,reason
2014,openelections,house,6,HARPER,Harper,R,2.0,R,AL-2014-house-6-R-PHIL-WILLIAMS,Phil Williams,R,8325.0,25.71428571428571,0.02402402402402748,18.52101244101244,review,,
2014,openelections,house,9,SCOFIELD,Scofield,R,2022.0,R,AL-2014-house-9-R-ED-HENRY,Ed Henry,R,11646.0,25.0,17.362184441009788,22.86141164348274,review,,
2014,openelections,house,10,WILLIAMS,Williams,R,589.0,R,AL-2014-house-10-R-MIKE-BALL,Mike Ball,R,9256.0,35.29411764705882,6.363439930855663,27.193527886521935,review,,
2014,openelections,house,11,SHEDD,Shedd,R,2710.0,R,AL-2014-house-11-R-RANDALL-SHEDD,Randall Shedd,R,8941.0,90.0,30.309808746225254,73.28674644894306,review,,
2014,openelections,house,14,WADSORTH,Wadsorth,R,4947.0,R,AL-2014-house-14-R-TIM-WADSWORTH,Tim Wadsworth,R,9255.0,78.75,53.452188006482984,71.66661264181523,review,,
2014,openelections,house,16,BOMAN,Boman,D,892.0,D,AL-2014-house-16-D-DANIEL-H-BOMAN,Daniel H. Boman,D,3430.0,90.0,26.005830903790084,72.08163265306122,review,,
2014,openelections,house,16,SOUTH,South,R,1280.0,R,AL-2014-house-16-R-KYLE-SOUTH,Kyle South,R,10467.0,90.0,12.22890990732779,68.22409477405178,review,,
2014,openelections,house,17,BARNWELL,Barnwell,D,528.0,D,AL-2014-house-17-D-DON-BARNWELL,Don Barnwell,D,4027.0,90.0,13.111497392599947,68.47121926992799,review,,
2014,openelections,house,17,MILLICAN,Millican,R,1642.0,R,AL-2014-house-17-R-MIKE-MILLICAN,Mike Millican,R,7854.0,90.0,20.9065444359562,70.65383244206774,review,,
2014,openelections,house,23,HANES JR,Hanes Jr.,R,223.0,R,AL-2014-house-23-R-JAMES-T-TOMMY-HANES-JR,"James T. ""Tommy"" Hanes Jr.",R,5493.0,90.0,4.059712361186962,65.93671946113234,review,,
2014,openelections,house,23,ROBINSON,Robinson,D,147.0,D,AL-2014-house-23-D-JOHN-ROBINSON,John Robinson,D,4139.0,90.0,3.5515825078521357,65.7944431021986,review,,
2014,openelections,house,26,RICH,Rich,R,799.0,R,AL-2014-house-26-R-KERRY-RICH,Kerry Rich,R,5679.0,90.0,14.069378411692202,68.73942595527382,review,,
2014,openelections,house,27,AIBNSWORTH,Aibnsworth,R,604.0,R,AL-2014-house-27-R-WILL-AINSWORTH,Will Ainsworth,R,6996.0,75.0,8.633504859919949,56.41738136077758,review,,
2014,openelections,house,27,MCLAUGHLIN,McLaughlin,D,283.0,D,AL-2014-house-27-D-JEFF-MCLAUGHLIN,Jeff McLaughlin,D,4856.0,90.0,5.827841845140036,66.4317957166392,review,,
2014,openelections,house,29,GLADDEN,Gladden,D,1257.0,D,AL-2014-house-29-D-MICHAEL-J-GLADDEN,Michael J. Gladden,D,4476.0,90.0,28.083109919571047,72.6632707774799,review,,
2014,openelections,house,29,NORDGREN,Nordgren,R,3808.0,R,AL-2014-house-29-R-BECKY-NORDGREN,Becky Nordgren,R,8785.0,90.0,43.34661354581674,76.93705179282868,review,,
2014,openelections,house,33,JOHNSON,Johnson,R,1809.0,R,AL-2014-house-33-R-RON-JOHNSON,Ron Johnson,R,8343.0,90.0,21.682847896440126,70.87119741100324,review,,
2014,openelections,house,33,ZACHERO,Zachero,D,311.0,D,AL-2014-house-33-D-ANTHONY-ZACHERO,Anthony Zachero,D,2748.0,90.0,11.317321688500726,67.9688500727802,review,,
