cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,core_index_margin,core_index_offices,baseline_allocation_method,core_index_complete,contested_two_party,raw_overperformance,score_status
1994,house,1,7385.0,4946.0,12331.0,19.779417727678208,-10.834593825712002,2,legislative_activity_split_provisional,True,True,30.61401155339021,provisional_raw_baseline_not_fitted_cmo
1994,house,2,8019.0,0.0,8019.0,100.0,6.509682314397297,2,legislative_activity_split_provisional,True,False,93.4903176856027,provisional_raw_baseline_not_fitted_cmo
1994,house,3,7723.0,3821.0,11544.0,33.8011088011088,11.9938709758761,2,legislative_activity_split_provisional,True,True,21.807237825232704,provisional_raw_baseline_not_fitted_cmo
1994,house,4,5012.0,9236.0,14248.0,-29.646266142616508,-28.359739287255685,2,legislative_activity_split_provisional,True,True,-1.2865268553608225,provisional_raw_baseline_not_fitted_cmo
1994,house,5,7602.0,0.0,7602.0,100.0,-13.422092602902188,2,legislative_activity_split_provisional,True,False,113.42209260290218,provisional_raw_baseline_not_fitted_cmo
1994,house,6,6409.0,6770.0,13179.0,-2.73920631307383,-24.489410405375654,2,legislative_activity_split_provisional,True,True,21.750204092301825,provisional_raw_baseline_not_fitted_cmo
1994,house,7,6188.0,5641.0,11829.0,4.624228590751543,7.499153168575934,2,legislative_activity_split_provisional,True,True,-2.874924577824391,provisional_raw_baseline_not_fitted_cmo
1994,house,8,8391.0,2602.0,10993.0,52.66078413535887,-23.45072452452538,2,legislative_activity_split_provisional,True,True,76.11150865988425,provisional_raw_baseline_not_fitted_cmo
1994,house,9,9001.0,0.0,9001.0,100.0,-27.709967217260065,2,legislative_activity_split_provisional,True,False,127.70996721726007,provisional_raw_baseline_not_fitted_cmo
1994,house,10,10090.0,0.0,10090.0,100.0,-37.184079007842534,2,legislative_activity_split_provisional,True,False,137.18407900784254,provisional_raw_baseline_not_fitted_cmo
1994,house,11,12518.0,0.0,12518.0,100.0,-19.221934591557613,2,legislative_activity_split_provisional,True,False,119.22193459155761,provisional_raw_baseline_not_fitted_cmo
1994,house,12,7159.0,6564.0,13723.0,4.335786635575311,-12.6491004727303,2,legislative_activity_split_provisional,True,True,16.98488710830561,provisional_raw_baseline_not_fitted_cmo
1994,house,13,8161.0,0.0,8161.0,100.0,1.3753842910527665,2,legislative_activity_split_provisional,True,False,98.62461570894723,provisional_raw_baseline_not_fitted_cmo
1994,house,14,9089.0,0.0,9089.0,100.0,10.539050245342818,2,legislative_activity_split_provisional,True,False,89.46094975465718,provisional_raw_baseline_not_fitted_cmo
1994,house,15,4363.0,10300.0,14663.0,-40.48966787151333,-42.720655154904634,2,legislative_activity_split_provisional,True,True,2.2309872833913005,provisional_raw_baseline_not_fitted_cmo
1994,house,16,8675.0,0.0,8675.0,100.0,13.295508367494746,2,legislative_activity_split_provisional,True,False,86.70449163250525,provisional_raw_baseline_not_fitted_cmo
1994,house,17,8535.0,5183.0,13718.0,24.43504884093891,6.516887913170951,2,legislative_activity_split_provisional,True,True,17.91816092776796,provisional_raw_baseline_not_fitted_cmo
1994,house,18,7939.0,0.0,7939.0,100.0,16.854687815929378,2,legislative_activity_split_provisional,True,False,83.14531218407062,provisional_raw_baseline_not_fitted_cmo
1994,house,19,7314.0,1030.0,8344.0,75.31160115052732,49.716406902573915,2,legislative_activity_split_provisional,True,True,25.59519424795341,provisional_raw_baseline_not_fitted_cmo
1994,house,20,11641.0,0.0,11641.0,100.0,-29.57413007497695,2,legislative_activity_split_provisional,True,False,129.57413007497695,provisional_raw_baseline_not_fitted_cmo
1994,house,21,9877.0,0.0,9877.0,100.0,-3.4709229878978247,2,legislative_activity_split_provisional,True,False,103.47092298789782,provisional_raw_baseline_not_fitted_cmo
1994,house,22,6521.0,0.0,6521.0,100.0,-1.9270452956760242,2,legislative_activity_split_provisional,True,False,101.92704529567602,provisional_raw_baseline_not_fitted_cmo
1994,house,23,4692.0,0.0,4692.0,100.0,19.777052074254932,2,legislative_activity_split_provisional,True,False,80.22294792574507,provisional_raw_baseline_not_fitted_cmo
1994,house,24,6142.0,0.0,6142.0,100.0,1.2962338255030774,2,legislative_activity_split_provisional,True,False,98.70376617449692,provisional_raw_baseline_not_fitted_cmo
1994,house,25,5895.0,0.0,5895.0,100.0,-2.8421649741275985,2,legislative_activity_split_provisional,True,False,102.8421649741276,provisional_raw_baseline_not_fitted_cmo
1994,house,26,5881.0,4171.0,10052.0,17.011539992041385,-4.310487465794354,2,legislative_activity_split_provisional,True,True,21.322027457835738,provisional_raw_baseline_not_fitted_cmo
1994,house,27,6807.0,5746.0,12553.0,8.452162829602486,-18.491100220043762,2,official_ballot_single_district,True,True,26.943263049646248,provisional_raw_baseline_not_fitted_cmo
1994,house,28,7532.0,3711.0,11243.0,33.98559103442142,13.440890360439212,2,legislative_activity_split_provisional,True,True,20.544700673982206,provisional_raw_baseline_not_fitted_cmo
1994,house,29,7064.0,2464.0,9528.0,48.27875734676742,13.762558238003876,2,legislative_activity_split_provisional,True,True,34.516199108763544,provisional_raw_baseline_not_fitted_cmo
