canonical_candidate_id,exclusion_reason,source_url,notes
AL-1994-house-19-R-ANDERSON,not_a_candidate_roster_artifact,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,Contemporaneous 1994 roster lists only Democratic incumbent Laura Hall in HD-19 and places Republican Allen Sanderson in HD-43; the Anderson row is a parsing or cross-race artifact and must not be treated as a candidate.
AL-1994-house-8-R-NEW,not_a_candidate_roster_artifact,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,Contemporaneous roster lists only Bill J. Dukes in HD-8; the SOS-derived New row is a parsing artifact.
AL-1994-house-32-R-MONTGOMERY,non_major_party_misclassification,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,Contemporaneous roster lists James Donald Montgomery as independent rather than Republican.
AL-2002-senate-15-D-TURNER-JOHN,libertarian_misclassified_as_democrat,https://lpedia.org/wiki/Libertarian_Party_of_Alabama_Historical_Election_Results,"John Turner was the 2002 Libertarian SD-15 candidate; the canonical major-party field incorrectly labels him Democratic."
AL-2002-senate-17-D-MOORE-CAROLINE-B,libertarian_misclassified_as_democrat,https://lpedia.org/wiki/Libertarian_Party_of_Alabama_Historical_Election_Results,"Caroline Moore was the 2002 Libertarian SD-17 candidate; exclude from the two-major-party CMO research universe."
AL-2002-senate-23-R-MOTES-RICHARD,libertarian_misclassified_as_republican,https://lpedia.org/wiki/Libertarian_Party_of_Alabama_Historical_Election_Results,"Richard Motes was the 2002 Libertarian SD-23 candidate; exclude from the two-major-party CMO research universe."
AL-2014-house-10-D-MEANS,write_in_bucket_mislabeled_as_candidate,https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2014/2014GeneralResults-WithWriteIn.pdf,"Certified results list only Republican Mike Ball and a write-in total in House District 10. The derived Means row is cross-race/parser contamination and is not a candidate."
AL-1994-house-97-R-BAUMHAUER,not_a_candidate_roster_artifact,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,"The contemporaneous statewide general-election roster lists only Democratic incumbent Yvonne Kennedy in House District 97 and no Baumhauer candidate."
AL-1994-house-12-R-BOWLING,cross_race_name_fragment_artifact,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,"The contemporaneous roster identifies William Leland Bill Hollis as the House District 12 Republican nominee; Bowling is a displaced surname from defeated former legislator Bill Bowling and is not the general-election candidate."
AL-1994-house-58-R-LELAND,cross_race_name_fragment_artifact,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,"The contemporaneous roster lists only Democrat Earnest Johnson in House District 58. Leland is a displaced given-name fragment from District 12 Republican William Leland Bill Hollis."
AL-1994-house-103-R-GARDNER,not_a_candidate_roster_artifact,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,"The contemporaneous statewide general-election roster lists only Democrat Joseph Mitchell in House District 103 and no Gardner candidate."
