model,fold_type,folds,rows,mean_mae,mean_rmse,mean_bias,mean_winner_accuracy,mean_whole_precinct_rmse
baseline_only,forward_year,6,1837,13.419354891978452,18.141576869988384,7.432764249894173,0.8136100733948184,20.88395415717761
full_temporal,forward_year,6,1837,12.677210583722475,15.574142777530248,0.9705465436723939,0.8557619086068309,17.202601916265866
pooled_lag,forward_year,6,1837,13.471685400719641,17.212833785362463,-0.2096650076061858,0.8050939043839191,18.01290938448117
portable_temporal,forward_year,6,1837,13.029753430590851,15.964065711238552,0.4858077154012033,0.8503555622803797,17.18649205076914
state_chamber_incumbency,forward_year,6,1837,11.701148051250224,14.724819506614717,1.5558299343448005,0.8731059405650009,16.10981852971252
state_chamber_lag,forward_year,6,1837,12.65478858107688,16.328391439169078,0.31270472011785494,0.8144261031283385,17.297044399283283
symmetric_incumbency,forward_year,6,1837,11.909156012911758,15.124302589834938,1.3089877066012068,0.8664324833713134,16.744862627503455
baseline_only,leave_state_out,10,2273,19.095437259381438,23.59224182000205,15.015579258662722,0.7855581086440082,24.338844010309327
full_temporal,leave_state_out,10,2273,13.002788316665427,16.089622196839493,0.5442006337028908,0.8409295159772127,14.74992032754437
pooled_lag,leave_state_out,10,2273,16.825340764921133,20.793592909209742,6.523928283246316,0.794025584162126,21.226552450490892
portable_temporal,leave_state_out,10,2273,12.142835914771029,15.253874952038387,3.3404127135990613,0.8541988923134187,14.080377738582552
state_chamber_incumbency,leave_state_out,10,2273,15.233487840749126,18.50406253161206,0.5244183034400827,0.8296524988422253,17.44360558280452
state_chamber_lag,leave_state_out,10,2273,16.816732492870337,20.432614974722576,0.5651098757906035,0.7884203887776009,20.425136851432903
symmetric_incumbency,leave_state_out,10,2273,15.307231991151799,18.693944614010015,5.886543851993723,0.8356846333133909,17.980088903663713
