model,term,estimate,std_error,p_value,ci_low,ci_high,n
linear_unadjusted,Intercept,13.825716638714393,2.600429667843014,1.0566333982581789e-07,8.728874489742086,18.9225587876867,99
linear_unadjusted,social_progressivism,-19.507591895125046,3.5747518258632254,4.841158279934377e-08,-26.51410547381697,-12.501078316433123,99
linear_cycle_chamber,Intercept,12.346111889978888,4.925112561246779,0.012184084057302907,2.692891269935201,21.999332510022576,99
linear_cycle_chamber,social_progressivism,-15.88499056369158,4.625398131408925,0.0005940930433365494,-24.950770901253073,-6.819210226130087,99
linear_cycle_chamber,year_2002,-1.6100476677554953,7.677184298468858,0.833887376303384,-16.657328892754457,13.437233557243466,99
linear_cycle_chamber,year_2006,17.513823200236693,8.148165851848635,0.03160119380932191,1.5434181306133699,33.48422826986002,99
linear_cycle_chamber,year_2010,-10.758746790676993,10.06223654091602,0.2849704486017729,-30.48073041087239,8.963236829518406,99
linear_cycle_chamber,year_2014,-28.921577428741767,16.845141702263664,0.08599577815388967,-61.938055165178554,4.094900307695017,99
linear_cycle_chamber,year_2018,-6.418514821005601,6.353563169000915,0.3123885244264295,-18.871498632247395,6.034468990236192,99
linear_cycle_chamber,year_2022,-9.184504670261234,12.558984278890938,0.4645901214828746,-33.80011385688747,15.431104516365004,99
linear_cycle_chamber,chamber_senate,0.112205393111932,7.424473228085437,0.987942101725444,-14.439762133935524,14.664172920159388,99
nonlinear_cycle_chamber,Intercept,11.745180463608984,4.931577262013385,0.017236318667633952,2.07928903006275,21.411071897155217,99
nonlinear_cycle_chamber,social_progressivism,-15.889155892138367,4.765991088185086,0.0008564918446662657,-25.230498424981135,-6.547813359295597,99
nonlinear_cycle_chamber,social_progressivism_sq,5.482465536842301,7.1081828274865915,0.44053545819809103,-8.44957280503142,19.41450387871602,99
nonlinear_cycle_chamber,year_2002,-3.0554755800705373,8.294617221150736,0.7125984931321803,-19.312925333525982,13.201974173384906,99
nonlinear_cycle_chamber,year_2006,15.920563683135335,9.016993721402216,0.07746000907440044,-1.7527440108130072,33.59387137708367,99
nonlinear_cycle_chamber,year_2010,-10.79353131353258,10.139606437537273,0.2871058150591994,-30.667159931105633,9.080097304040475,99
nonlinear_cycle_chamber,year_2014,-31.059796106569618,14.094221333675575,0.027543648945324486,-58.68446992057375,-3.4351222925654916,99
nonlinear_cycle_chamber,year_2018,-9.825632290777298,7.751641961205473,0.20495692148321776,-25.018850534740025,5.367585953185429,99
nonlinear_cycle_chamber,year_2022,-14.066038780733667,14.211342873638634,0.32228386997230996,-41.920270813065386,13.788193251598056,99
nonlinear_cycle_chamber,chamber_senate,0.01609505342265971,7.4632517649989545,0.9982793043727682,-14.61187840597529,14.64406851282061,99
linear_context,Intercept,14.208328011068575,7.85515246022024,0.0704835000562447,-1.1877708109630944,29.604426833100245,65
linear_context,social_progressivism,-7.851188411760731,6.433492983961434,0.22232779098603117,-20.46083466032514,4.7584578368036805,65
linear_context,prior_pres_dem_margin,-0.5368497314783995,0.2132801497752878,0.011832167143163815,-0.9548788250379636,-0.11882063791883546,65
linear_context,nonwhite_share,71.47484040432644,24.40590516616807,0.0034050545701625216,23.63926627863703,119.31041453001586,65
linear_context,white_college_share,-114.42435267351678,42.11116806844947,0.006583734532617834,-196.96224208767774,-31.886463259355807,65
linear_context,chamber_senate,0.27417269430343433,10.997940951609795,0.9801112313693674,-21.281791570851762,21.83013695945863,65
nonlinear_context,Intercept,17.65609283344835,8.169072816930878,0.03066956719050561,1.6447101122638301,33.66747555463287,65
nonlinear_context,social_progressivism,-1.413972630526287,10.460787595535503,0.8924783750439079,-21.917116317775875,19.0891710567233,65
nonlinear_context,social_progressivism_sq,20.653875134624254,14.342316948263141,0.14984888234891844,-7.457066083971501,48.76481635322001,65
nonlinear_context,prior_pres_dem_margin,-0.5258850579901397,0.19998681671036295,0.008548573195547738,-0.9178592187424511,-0.13391089723782834,65
nonlinear_context,nonwhite_share,55.806893272566455,24.702045605462267,0.023870866690614598,7.390883885860411,104.2229026592725,65
nonlinear_context,white_college_share,-146.38001045746694,43.1064101341305,0.0006843261445622839,-230.8685743203627,-61.891446594571164,65
nonlinear_context,chamber_senate,2.880312971706705,10.676109900744775,0.7873214358858027,-18.044862433753053,23.805488377166462,65
district_congruence,Intercept,13.707117733670808,7.870681661717228,0.08158872800875877,-1.719418323294958,29.133653790636572,65
district_congruence,social_progressivism,-4.61475952595346,5.595356251042542,0.40951460848319354,-15.581657777996842,6.3521387260899225,65
district_congruence,prior_pres_dem_margin,-0.5193701739206946,0.2240653869450247,0.02045256979690739,-0.958538332332943,-0.08020201550844619,65
district_congruence,social_x_prior_pres,0.15451224746643016,0.22234199332915916,0.48709881562380564,-0.2812780594587218,0.5903025543915821,65
district_congruence,nonwhite_share,70.11293895212519,25.67170037915287,0.006311616731063056,19.796406208985566,120.42947169526482,65
district_congruence,white_college_share,-108.32971417942862,46.310471888157664,0.019324796525656843,-199.09823908021764,-17.561189278639603,65
district_congruence,chamber_senate,0.5721747074270619,11.309199114780522,0.9596492492357623,-21.59385555754276,22.738204972396886,65
measurement_sensitivity,Intercept,6.124464274849018,54.40130002663289,0.9103640386308895,-100.50208377735144,112.75101232704948,65
measurement_sensitivity,social_progressivism,-7.761918741393308,7.482444251257022,0.29957244786150483,-22.42750947385707,6.903671991070456,65
measurement_sensitivity,prior_pres_dem_margin,-0.5335258357863245,0.21883768288786068,0.01476885523649075,-0.9624476942465314,-0.10460397732611759,65
measurement_sensitivity,nonwhite_share,70.69556863949528,23.162149487386074,0.002271688546160846,25.297755644218576,116.09338163477199,65
measurement_sensitivity,white_college_share,-105.28595654918779,46.65602890120528,0.02403045080741579,-196.73177319555015,-13.840139902825442,65
measurement_sensitivity,log_evidence_records,-1.4196427879801763,12.351340830975504,0.9084939842334012,-25.628270816692165,22.78898524073181,65
measurement_sensitivity,ideology_v3_max_conflict_ratio,14.565114448622897,19.150362395480137,0.44691633649030815,-22.96959584651817,52.09982474376396,65
measurement_sensitivity,chamber_senate,-1.0670562951537694,11.113127086317355,0.9235065583604881,-22.848785384335784,20.714672794028246,65
material_support_sensitivity,Intercept,5.4210296070711745,14.975104965792871,0.7173499540644686,-23.930176125882852,34.772235340025205,47
material_support_sensitivity,social_progressivism,-3.8721625051861146,15.028014592083254,0.7966670458525794,-33.32707110566929,25.582746095297065,47
material_support_sensitivity,ideology_v3_material_support,16.41346734882122,15.902147319542657,0.3019999100789721,-14.754741397482384,47.58167609512483,47
material_support_sensitivity,prior_pres_dem_margin,-0.48223770321797027,0.24950357444407276,0.05326222606754626,-0.9712647091283528,0.006789302692412347,47
material_support_sensitivity,nonwhite_share,63.50932001865085,27.735221099780546,0.022030381561700882,9.148286663080981,117.87035337422071,47
material_support_sensitivity,white_college_share,-128.02536072165532,50.63109112017737,0.011452114046643092,-227.26229931720297,-28.788422126107662,47
material_support_sensitivity,chamber_senate,-4.890487043380479,11.89960129628128,0.6810878838410048,-28.213705584091784,18.432731497330828,47
moderate_vs_strong_progressive,Intercept,-7.935694709141559,10.490147698813821,0.449355301419612,-28.496384198816646,12.62499478053353,50
moderate_vs_strong_progressive,strong_progressive,-3.041916061648308,10.499102843109894,0.7720220023352685,-23.6201576341437,17.53632551084708,50
moderate_vs_strong_progressive,era_pre_2008,21.641337839085676,11.156823311504299,0.05241128060271245,-0.22603585146275051,43.5087115296341,50
moderate_vs_strong_progressive,era_trump_era,-1.0055529822641105,12.920748020527272,0.9379675202047719,-26.330219102497562,24.319113137969342,50
moderate_vs_strong_progressive,chamber_senate,15.260357914650388,8.448773053478611,0.07088370396062657,-1.2992372701676906,31.819953099468467,50
