primitive_axis,n,estimate,std_error,p_value,ci_low,ci_high,bh_q_value
civil_social_liberty,110,-12.551220310639868,2.8730353528675674,1.2503000237153115e-05,-18.1823696022603,-6.920071019019436,5.001200094861246e-05
abortion_access,108,-13.927401374526355,3.8761521115666393,0.00032676736169370114,-21.524659513196966,-6.330143235855742,0.0006535347233874023
marriage_equality,58,-19.54477437719483,6.722098179758608,0.003642828801247646,-32.7200868095217,-6.369461944867959,0.004857105068330194
anti_discrimination,79,-5.68705081375653,4.2013642128423285,0.17585762854606657,-13.921724670927494,2.5476230434144345,0.17585762854606657
