person_id,candidate,max_cmo,min_cmo,median_cmo,stability_low,stability_high,cycles_observed,earliest_cycle,latest_cycle,chambers,districts,incumbent_cycles,wins,partial_issue_count,partial_evidence_records,full_name,identity_researchable,research_tail,extreme_cmo,tail_result_stable,priority_score,high_tail_rank,low_tail_rank,research_status,target_evidence
ALPERSON-BERRY-FORTE,BERRY FORTE,-12.984442586011726,-13.041509725374024,-13.012976155692876,-22.210232847916096,-3.815719463469657,2,2010,2014,house,84,1,2,14.0,77.0,True,True,low_overperformance,-13.041509725374024,True,34.53457116871457,289,97,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-JENNIFER-MARSDEN,Jennifer Marsden,-26.972138864624817,-26.972138864624817,-26.972138864624817,-36.19792912652919,-17.74634860272045,1,2014,2014,house,93,0,0,,,True,True,high_overperformance,-26.972138864624817,False,34.437874767424546,346,36,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-BUTLER-TOM,"Butler, Tom",20.8776948999136,20.8776948999136,20.8776948999136,11.651904638009228,30.103485161817964,1,2002,2002,senate,2,0,1,2.0,3.0,True,True,high_overperformance,20.8776948999136,True,34.34343080271333,64,333,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-HALL-ALBERT,"Hall, Albert",20.69180248947839,20.69180248947839,20.69180248947839,11.466012227574025,29.91759275138276,1,2002,2002,house,22,0,1,2.0,2.0,True,True,high_overperformance,20.69180248947839,True,34.15753839227811,65,332,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-STATEN,Staten,-30.456610501307143,-30.456610501307143,-30.456610501307143,-39.68240076321151,-21.23082023940277,1,1998,1998,senate,35,0,0,,,False,False,high_overperformance,-30.456610501307143,False,33.92234640410687,355,27,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-JOHNSON,Johnson,28.43565906832993,-1.1874285437597756,13.624115262285077,19.20986880642556,8.038361718144593,1,1994,1994,house,33|58,0,2,,,False,False,high_overperformance,28.43565906832993,True,33.901394971129655,38,184,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-STARKEY-NELSON,"Starkey, Nelson",20.397061100472307,20.397061100472307,20.397061100472307,11.171270838567938,29.622851362376675,1,2002,2002,house,1,0,1,2.0,3.0,True,True,high_overperformance,20.397061100472307,True,33.862797003272036,66,331,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-GIPSON,Gipson,28.379281366929924,28.379281366929924,28.379281366929924,19.153491105025555,37.605071628834295,1,1994,1994,house,88,0,1,,,False,False,high_overperformance,28.379281366929924,True,33.84501726972965,39,353,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-ZEB-LITTLE,ZEB LITTLE,12.3312339214792,8.284406277505592,10.307820099492396,3.105443659574832,17.51019653940996,2,2006,2010,senate,4,1,1,8.0,9.0,True,True,high_overperformance,12.3312339214792,True,33.82429536481975,107,272,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-HAWK,Hawk,24.20812948559669,24.20812948559669,24.20812948559669,14.98233922369232,33.43391974750106,1,1998,1998,house,25,0,1,2.0,2.0,False,False,high_overperformance,24.20812948559669,True,33.673865388396415,53,345,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-THOMAS,Thomas,19.513433177064712,-21.99024370711297,-1.238405265024129,10.287642915160344,-12.764453445208606,2,1994,1998,house|senate,12|69,0,1,,,False,True,low_overperformance,-21.99024370711297,True,33.48330515045352,72,52,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-LITTLE-ZEB,"Little, Zeb",21.94706910663163,21.94706910663163,21.94706910663163,12.721278844727262,31.172859368536,1,2002,2002,senate,4,0,1,1.0,2.0,True,True,high_overperformance,21.94706910663163,True,33.41280500943135,60,338,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-GEORGE-TOOTIE-BANDY,"George ""Tootie"" Bandy",13.802648088805835,13.802648088805835,13.802648088805835,4.576857826901469,23.028438350710204,1,2014,2014,house,83,1,1,12.0,51.0,True,True,high_overperformance,13.802648088805835,True,33.26838399160556,97,308,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-PAMELA-JEAN-HOWARD,Pamela Jean Howard,-15.736663127052497,-15.736663127052497,-15.736663127052497,-24.962453388956863,-6.510872865148127,1,2018,2018,house,40,0,0,11.0,63.0,True,True,high_overperformance,-15.736663127052497,False,33.202399029852224,300,87,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
