social_band,candidate_cycles,current_win_rate,next_cycle_appearance_rate,next_cycle_win_rate,mean_cmo
moderate,25,0.48,0.16,0.04,13.295100658620463
progressive,13,0.15384615384615385,0.07692307692307693,0.0,0.2438067670334936
strong_progressive,24,0.25,0.041666666666666664,0.0,1.357061142209098
traditional,35,0.6857142857142857,0.17142857142857143,0.08571428571428572,26.397043206425753
