candidate_result_id,finance_candidate_cycle_id,build_run_id,state_code,cycle,chamber,district,party_family,candidate_name,total_fundraising,cash_contributions,other_receipts,in_kind_contributions,loans_received,expenditures,ending_cash,finance_observation_status,finance_observed,source_name,source_measure,match_method,match_score,incumbency_support
AL-2018-house-1-R-PHILLIP-PETTUS,FIN-E1ECB8F1C7B174E1304B,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,1,republican,Phillip Pettus,137175.0,127175.0,10000.0,8330.41,,126890.3,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-10-D-J-B-KING,FIN-1C28162842D0957F590F,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,10,democratic,J.B. King,10021.64,9942.89,78.75,2768.44,,9552.33,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-10-R-MIKE-BALL,FIN-347626ACF5F849B8A7D5,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,10,republican,Mike Ball,163879.56,163801.0,78.56,13418.16,,166134.54,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-100-R-VICTOR-GASTON,FIN-ACAA413F76989B5B7EA8,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,100,republican,Victor Gaston,74478.62,72830.0,1648.62,499.44,,25780.6,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-101-R-CHRIS-PRINGLE,FIN-6BBF1CD7C93B000EC1A5,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,101,republican,Chris Pringle,103175.0,103175.0,0.0,2202.14,,7266.89,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-102-R-SHANE-STRINGER,FIN-799A62A1881D12937013,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,102,republican,Shane Stringer,129848.68,124283.68,5565.0,23119.17,,92844.84,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-103-D-BARBARA-DRUMMOND,FIN-A74D3BCA93C47F72F44E,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,103,democratic,Barbara Drummond,61650.0,61650.0,0.0,1000.0,,19793.11,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-104-D-ARLENE-CUNNINGHAM-EASLEY,FIN-A0AABADA702C7D2D3073,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,104,democratic,Arlene Cunningham Easley,6155.02,6155.02,0.0,9602.94,,6155.02,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
AL-2018-house-104-R-MARGIE-WILCOX,FIN-6E12369995EB97B1FBEE,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,104,republican,Margie Wilcox,104401.05,104275.0,126.05,2284.28,,37701.01,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,1
AL-2018-house-105-R-CHIP-BROWN,FIN-89096B9F729EA2E01B82,RUN-133197C8B7B94F21A2939B438EDAF692,AL,2018,lower,105,republican,Chip Brown,129809.3,129809.3,0.0,799.44,,72240.87,,observed_positive,1,Alabama Secretary of State FCPA PCC summaries,cash_contributions_plus_other_receipts,exact_scope_and_normalized_name,100.0,0
