Candidate,Candidate Status,Beginning Funds on Hand,Monetary Contributions,Monetary Expenditures,Non-Monetary Contributions,Other Receipts,Ending Funds on Hand,Year
"ACTION JACKSON, THOMAS E",Active,2161.9,78550.0,66934.87,0.0,0.0,32700.79,2025
"ADETUNJI, TIJUANNA ",Active,1481.62,12440.0,18551.63,4074.14,0.0,2005.66,2026
"ALEXANDER, LOUISE UNITA",Active,540.0,122150.0,124158.6,968.4,15592.16,0.0,2026
"ALLEN, WESLEY HARRISON",Dissolved,0.0,209153.55,191903.55,3140.52,2500.0,0.0,2025
"ARTHUR, JEREMY",Dissolved,0.0,55632.0,60632.0,598.0,5000.0,0.0,2018
"BAKER, ALAN WAYNE",Active,65204.35,120545.0,97826.28,2062.2,0.0,153480.0,2025
"BALL, MIKE",Dissolved,40317.88,183051.0,226213.86,13418.16,2844.98,0.0,2021
"BATES, MARY LYNN",Active,0.0,1525.14,1155.89,1529.01,1000.0,1369.25,2024
"BEECH, ELAINE",Dissolved,15744.78,215204.69,247413.47,9082.56,1000.0,0.0,2021
"BENTLEY, MATTHEW",Dissolved,0.0,1919.7,1919.7,219.33,0.0,0.0,2018
"BENTON, WILLIAM M",Dissolved,0.0,12763.03,14671.21,4225.52,1751.99,-156.19,2022
"BLACKSHEAR, CHRISTOPHER EARL",Active,4826.03,141200.0,115746.86,1055.06,25000.0,135658.11,2025
"BLYTHE, BISHOP DERRICK",Dissolved,0.0,3100.0,5550.0,4830.07,2450.0,0.0,2018
"BONNER, JAMES WILLIAM",Dissolved,13328.0,-19999.0,-6671.0,0.0,0.0,-6671.0,2018
"BOOTH, ALFRED QUINTON",Dissolved,0.0,38425.81,93725.81,6726.22,55300.0,0.0,2018
"BOOTHE, ALAN C",Dissolved,42235.4,70298.96,128948.56,4017.12,15000.0,0.0,2021
"BOWLING, JAMES RAY",Dissolved,0.0,4045.0,6509.99,2538.02,2464.99,0.0,2018
"BOYD, BARBARA BIGSBY",Dissolved,872.54,116155.0,96766.21,282.77,2000.0,0.0,2019
"BOYD, ELIJAH JOEL",Dissolved,0.0,2624.0,2624.0,227.84,0.0,0.0,2019
"BRACKINS, KENNETH A.",Dissolved,0.0,23664.66,23733.34,12237.25,0.0,-68.68,2020
"BRACY, NAPOLEON",Active,2087.69,136800.0,121836.58,27000.0,0.0,35548.96,2025
"BREWER, CHRISTOPHER SCOTT",Dissolved,0.0,215.0,215.0,1149.33,0.0,0.0,2020
"BRITTON, EDDIE WAYNE",Active,0.0,31785.0,50742.81,15733.41,19010.0,52.19,2026
"BROWN, CHIP",Active,0.0,137059.3,97847.31,907.13,0.0,126550.45,2025
"BROWN, KOVEN L.",Dissolved,37025.19,74250.0,113275.19,3920.06,2000.0,0.0,2023
"BRYANT, STEPHEN RAY",Dissolved,0.0,0.0,1920.0,100.0,1920.0,0.0,2018
"BURKE, RALPH",Active,0.0,20473.0,25973.0,0.0,5500.0,0.0,2025
"CALHOUN, MALCOM B",Dissolved,0.0,68512.0,69937.14,2226.0,1425.14,0.0,2019
"CARNS, JIM",Active,102433.72,169175.0,180988.89,2513.38,0.0,122043.74,2025
"CASTER, MARCUS ELLIS",Dissolved,0.0,3091.11,4016.25,1061.76,925.14,0.0,2022
"CHANEY, ALEX JAMES",Dissolved,0.0,13212.51,27850.0,900.0,15000.0,0.0,2018
"CHESTNUT, PRINCE DARIUS",Active,6089.12,91455.0,54659.31,71.87,10078.55,122855.35,2025
"CLARKE, ADLINE CECELIA",Active,18672.0,144163.0,148559.82,12181.19,0.0,65533.92,2025
"CLARK-FRIESON, CHARLOTTE A.",Dissolved,0.0,13261.39,17196.1,9083.38,3934.71,0.0,2019
"CLOUSE, STEVE",Active,201801.82,177100.0,311040.46,1096.74,0.0,186088.65,2025
"COLEMAN, MERIKA",Active,9087.0,86145.0,76595.52,0.0,19500.0,32175.36,2025
"COLEMAN, SUZANNA",Dissolved,0.0,12509.55,13739.25,803.72,1610.0,380.3,2018
"COLLINS, TERRI ",Active,63971.57,190625.0,250775.04,23766.57,16814.03,76087.22,2025
"CORRY, CHARLES RICHARD",Active,0.0,33024.0,43799.19,2705.0,11100.0,324.81,2023
"CRAWFORD, DANNY FERRELL",Active,24355.12,140201.0,52422.04,2470.32,0.0,167857.37,2025
"CREEL, CORY NEIL",Dissolved,0.0,4120.13,5046.92,889.62,926.79,0.0,2018
"CROCKETT, TED",Dissolved,0.0,19140.7,69177.57,0.0,50000.0,-36.87,2019
"CUMMINGS, JOSEPHINE A",Dissolved,0.0,5697.18,15697.18,1067.69,10000.0,0.0,2019
"DANIELS, ANTHONY",Active,27720.84,215240.95,241578.6,10504.52,0.0,99108.43,2025
"DAVIS, CHRISTOPHER F.",Dissolved,0.0,545.0,545.0,925.14,0.0,0.0,2019
"DAVIS, MARK NATHANIEL",Dissolved,455.12,105.21,600.78,75.0,40.45,0.0,2018
"DAWSON, TERANCE",Dissolved,0.0,13904.0,13904.0,3910.94,0.0,0.0,2018
"DEES, ALFORD JEROME",Dissolved,500.0,14367.09,14867.09,1000.0,0.0,0.0,2019
"DENNING, ALLISON SUMMERFORD",Dissolved,0.0,76187.23,76487.23,18912.55,300.0,0.0,2019
"DEVAUGHN, DUSTIN",Dissolved,0.0,11197.0,69997.0,0.0,58800.0,0.0,2018
"DISMUKES, WILLIAM NICOLES",Active,0.0,126042.0,114839.69,5075.7,0.0,15286.31,2022
"DOCKENS, CODY WILLIAM DAVIS",Active,0.0,5499.99,4322.44,250.0,0.0,1177.55,2026
"DOLAN, BOBBY JAMES",Dissolved,0.0,11500.0,11463.66,2485.33,0.0,36.34,2021
"DO, QUANG",Dissolved,0.0,3992.3,4026.05,1475.14,0.0,-33.75,2019
"DRAKE, DICKIE ",Active,16558.16,231050.0,317071.51,11931.55,43814.73,17776.26,2026
"DRUMMOND, BARBARA",Active,0.0,75500.0,98094.1,1000.0,0.0,46256.68,2025
"EASLEY, ARLENE CUNNINGHAM",Dissolved,0.0,6155.02,6155.02,9602.94,0.0,0.0,2018
"EASTERBROOK, BRETT TURNER",Active,0.0,110944.05,170781.48,19856.58,28032.28,22939.48,2025
"EDMISTON, PARKER EBRA",Dissolved,0.0,23641.41,32572.53,0.0,8934.5,3.38,2019
"ELLIS, CORLEY",Active,23711.11,112145.0,93321.15,2870.52,0.0,133053.35,2025
"ENGLAND, CHRISTOPHER JOHN",Active,12743.0,80750.0,128082.54,0.0,0.0,30246.97,2025
"ESTES, JOHN TRACY",Active,0.0,105676.99,220229.57,12270.38,35230.0,38792.26,2026
"FARLEY, ALLEN",Dissolved,29962.95,87125.0,117145.79,2260.41,57.84,0.0,2022
"FAULKNER, DAVID LAWRENCE",Active,45875.65,292905.0,298500.56,3490.08,15275.0,102110.38,2025
"FAUST, TEDDY JOE",Active,11432.39,133075.0,158133.99,1442.13,0.0,1113.76,2025
"FEARS, ANGELA",Dissolved,0.0,0.0,0.0,1441.03,0.0,0.0,2019
"FINCHER, ROBERT HERMAN",Dissolved,4140.33,93784.0,161046.36,1875.91,40000.0,0.0,2026
"FINLEY, D'LINELL ",Active,0.0,1531.92,1907.78,1117.14,500.0,124.14,2026
"FORD, JOHNNY",Dissolved,1270.3,0.0,31270.3,0.0,30000.0,0.0,2023
"FORD, JON CRAIG",Dissolved,60063.12,136700.0,428475.55,673.8,3250.0,0.0,2018
"FORTE, BERRY ",Active,26192.71,28600.0,58791.83,0.0,0.0,20061.82,2025
"FREDRICKS, THOMAS HENRY",Dissolved,0.0,15695.06,83117.31,15350.21,69100.0,0.0,2021
"FRIDY, MATTHEW DAVID",Dissolved,39903.66,233226.76,273455.31,12544.02,324.89,0.0,2020
"GARRETT, JOHN DANIEL",Active,12995.42,74050.0,66323.05,0.0,0.0,239856.37,2025
"GASTON, VICTOR ",Active,145261.86,76880.0,231497.3,499.44,5844.49,7745.14,2026
"GIVAN, JUANDALYNN D",Active,2305.61,79500.0,77939.88,533.54,0.0,19048.7,2025
"GRAY, JENNIFER",Dissolved,0.0,35163.69,37133.05,3666.56,1969.36,0.0,2021
"GRAY, JEREMY ASKEW",Active,0.0,93921.02,133460.92,1296.66,5722.11,950.26,2025
"GRAY MILLER, JACQUELINE FAYE",Dissolved,0.0,17419.53,19417.66,2291.74,1973.0,-25.13,2019
"GRAY, WILLIE THOMAS",Dissolved,0.0,163641.88,173641.88,64160.94,10000.0,0.0,2018
"GREENE, SAMUEL TREMEL",Active,0.0,8411.0,8411.0,884.64,0.0,0.0,2018
"GREER, BAYLESS LYNN",Dissolved,6235.34,117314.9,235540.51,8532.87,113760.0,0.0,2022
"GRIMSLEY, WILLIAM DEXTER",Active,2120.0,186693.0,156518.82,1459.89,0.0,81514.73,2026
"HALL, DAVID ",Dissolved,0.0,25300.0,65150.0,0.0,39850.0,0.0,2025
"HALL, LAURA V",Active,5108.05,139905.0,226769.13,2632.5,17596.3,-2834.92,2025
"HANES, JAMES THOMAS",Dissolved,0.0,132460.16,134134.37,1860.11,1117.0,0.0,2024
"HARBISON, COREY P",Dissolved,3482.9,199232.64,249642.44,33640.27,15000.0,0.0,2025
"HARDEE, JIMMIE",Dissolved,0.0,1350.0,8106.23,4176.24,7256.58,500.35,2019
"HARRIS, DANIEL",Dissolved,0.0,15205.0,19751.77,1034.6,4425.55,-121.22,2020
"HARRIS, GREGORY LAMAR",Dissolved,0.0,13595.33,13595.33,1891.73,0.0,0.0,2018
"HARRIS, JOHN ANDREW",Dissolved,0.0,2007.0,4615.0,476.93,2608.0,0.0,2019
"HASEEB, HENRY A",Dissolved,0.0,5136.62,5136.62,0.0,0.0,0.0,2019
"HATCHER, LYCURGUS",Active,0.0,57097.0,88747.49,0.0,6082.14,-25568.35,2025
"HEALY, JUANITA ALLEN",Dissolved,1337.79,35.0,1372.79,0.0,0.0,0.0,2019
"HILLIARD, LE'DARIUS",Dissolved,0.0,4019.0,5547.29,450.0,1365.0,-163.29,2018
"HILL, JIM",Active,32205.05,49289.0,26576.75,0.0,0.0,79253.18,2026
"HOLDEN, MICHAEL J",Dissolved,0.0,2695.0,2657.74,1340.58,50.0,87.26,2019
"HOLLIS, ROLANDA MACHELLE",Active,25031.44,96350.0,69482.29,4379.73,1077.0,79309.4,2025
"HOLMES, ALVIN A.",Dissolved,0.0,3000.0,3455.0,0.0,0.0,-455.0,2018
"HOLMES, MIKE",Dissolved,22897.79,124342.88,152423.38,13062.17,5182.71,0.0,2023
"HORSEY, MAURICE L.",Dissolved,0.0,11751.68,12701.68,1321.23,950.0,0.0,2018
"HOWARD, PAMELA JEAN",Dissolved,0.0,7105.14,11716.37,1584.07,0.0,-1.27,2023
"HOWARD, RALPH ANTHONY",Active,-4417.0,59350.0,22891.41,0.0,0.0,-4227.01,2023
"HUBERT, OZELLE LEWIS",Dissolved,0.0,0.0,6300.0,0.0,6300.0,0.0,2019
"HUNTLEY, RODNEY N/A",Dissolved,0.0,900.0,5827.36,0.0,4927.36,0.0,2018
"HURST, STEPHEN (STEVE) WILCOX",Active,-1144.81,71900.02,98435.78,56109.87,-3950.0,12820.82,2025
"HYCHE, THOMAS DAVIS",Dissolved,0.0,22823.0,22823.0,9057.11,0.0,0.0,2020
"INGRAM, ROBERT REED",Active,37164.04,81676.42,28609.94,0.0,0.0,124276.4,2025
"ISBELL, GIL FRANK",Dissolved,0.0,113548.75,135311.02,1398.61,1505.75,0.0,2026
"JACKSON, WILLIAM EVERETT",Dissolved,0.0,12436.0,12760.0,500.0,1000.0,676.0,2025
"JACOBS, JOHN R",Dissolved,0.0,28668.63,28951.77,10506.93,275.0,-28.17,2021
