Candidate,Candidate Status,Beginning Funds on Hand,Monetary Contributions,Monetary Expenditures,Non-Monetary Contributions,Other Receipts,Ending Funds on Hand,Year
"ALBRITTON, GREGORY LAMAR",Active,0.0,410844.99,479757.85,32738.23,42559.06,259998.76,2025
"ALLEN, GERALD",Active,55531.23,599432.3,767198.0,26603.62,30303.0,164274.22,2025
"BARRY, GEORGE C",Dissolved,0.0,102200.0,102242.74,1183.47,129.0,86.26,2015
"BEASLEY, WILLIAM M ""BILLY""",Active,70688.62,348800.0,297339.75,0.0,0.0,111240.53,2025
"BEASON, SCOTT",Active,44971.62,12250.0,34864.45,0.0,0.0,22357.17,2026
"BEDFORD, ROGER H",Active,4010.16,1049559.71,1086811.13,46133.14,113223.04,79981.78,2023
"BELL, CYNTHIA A.",Dissolved,0.0,37866.33,37866.33,0.0,0.0,0.0,2018
"BENNETT, BRYAN",Dissolved,0.0,5800.0,8062.52,75.0,2262.52,0.0,2015
"BERRYHILL, JONATHAN",Dissolved,0.0,65083.0,83009.52,30.0,17926.52,0.0,2014
"BLACKWELL, JOHN",Dissolved,0.0,49355.93,64355.93,2198.93,15000.0,0.0,2013
"BLACKWELL, SLADE SLADE",Dissolved,23703.57,499900.0,492549.87,11550.13,33905.17,0.0,2020
"BLAIR, DAVID MONTGOMERY",Dissolved,0.0,29303.29,31696.3,0.0,2393.01,0.0,2017
"BREWBAKER, DICK L.",Dissolved,20367.24,135050.0,155417.24,0.0,0.0,0.0,2018
"BUSSMAN, PAUL",Active,5235.76,602898.32,493639.23,15375.39,0.0,56364.81,2026
"CARTER, JOHN ANDERSON",Dissolved,0.0,12422.0,12422.0,134429.33,0.0,0.0,2018
"CHAMBLISS, CLYDE",Active,0.0,627270.9,748481.81,34575.06,1993.14,296521.49,2026
"CHANDLER, FRANKLIN W",Dissolved,0.0,0.0,5095.18,0.0,5116.52,21.34,2015
"CLEMMONS, JAMES HORACE",Dissolved,0.0,43916.0,197616.0,0.0,153700.0,0.0,2017
"COCHRAN, RICHARD J",Dissolved,0.0,13335.0,13335.0,7747.26,0.0,0.0,2016
"COLEMAN-MADISON, LINDA",Active,79766.41,118750.0,132471.72,5500.0,5000.0,280845.7,2025
"CRUMPTON, RON STEVEN",Active,0.0,5046.41,7938.58,0.0,2950.0,57.83,2023
"CURTIS, MIKE",Dissolved,0.0,53600.0,55023.28,185000.0,0.0,-1423.28,2018
"DIAL, GERALD",Dissolved,3349.36,884776.0,887725.36,41887.56,4100.0,0.0,2018
"D'OLIVE, HARRY MCLEOD",Dissolved,0.0,76125.0,83125.0,625.0,7000.0,0.0,2015
"DOOLITTLE, BEAU ROBERT MARLAND",Dissolved,0.0,41502.0,42753.45,27.48,1251.45,0.0,2023
"DUNN, PRISCILLA P",Active,0.0,140950.0,126853.12,0.0,0.0,52514.77,2023
"FIELDING, JERRY L",Dissolved,7842.39,289225.36,297067.75,37240.3,0.0,0.0,2016
"FIGURES, VIVIAN DAVIS",Active,22212.94,288975.0,318540.44,112.5,7331.75,2197.55,2025
"FREEMAN, JARED",Dissolved,0.0,7456.23,7456.23,1950.48,0.0,0.0,2014
"FULLER, BILL",Dissolved,0.0,9650.0,9650.0,8555.77,0.0,0.0,2017
"GARNER, PAUL HARRIS",Dissolved,0.0,250235.0,393235.0,36269.62,143000.0,0.0,2018
"GEAR, GAYLE HAYWOOD",Dissolved,0.0,31000.0,44544.92,85259.84,17500.0,3955.08,2015
"GLOVER, BENJAMIN ""RUSTY"" N",Dissolved,82664.91,94678.58,191889.05,0.0,14545.56,0.0,2018
"GREEN, ROBERT W.",Dissolved,0.0,5150.0,5150.0,0.0,0.0,0.0,2015
"GREESON, TODD",Dissolved,0.0,287400.0,287565.54,3876.88,165.54,0.0,2018
"GUEDE, STEVEN DUANE",Dissolved,0.0,63734.78,63886.73,128172.2,154.51,2.56,2014
"HARRIS, WILLIAM MCCALL",Dissolved,0.0,3600.0,4978.52,0.0,1378.52,0.0,2015
"HIGHTOWER, BILL",Dissolved,50895.31,311776.0,322921.02,3774.58,1206.81,0.0,2018
"HOLLEY, JIMMY W.",Dissolved,14193.18,465904.0,627446.07,68895.73,959.51,0.0,2022
"HOLTZCLAW, WILLIAM L",Dissolved,11085.05,280497.0,206807.58,9429.0,0.0,835.43,2018
"HOWIE, MITCHELL JOHN",Dissolved,0.0,250.0,1366.52,1000.0,1116.52,0.0,2014
"IRONS, TAMMY L.",Active,17933.11,89275.0,30017.56,0.0,9415.97,86606.52,2026
"JOSEY, SUZELLE MARIE",Dissolved,0.0,9780.0,23287.57,640.0,13507.57,0.0,2015
"JOYNER, DANNY BROCK",Dissolved,34.53,10451.0,24036.18,19000.65,5050.0,-8500.65,2017
"KEAHEY, MARC",Active,33302.73,0.0,39799.31,0.0,619.03,-5877.55,2026
"KING, BRETT ASHLEY",Dissolved,0.0,219517.61,276514.13,4403.01,56996.52,0.0,2024
"LACHINE, LEIGH",Dissolved,0.0,176.0,0.0,0.0,0.0,176.0,2025
"LIVINGSTON, STEVE",Active,0.0,437859.5,514549.2,57249.85,32855.81,268797.01,2025
"MANCUSO, ANGELO DOC2565",Dissolved,0.0,52816.86,130064.0,2077.14,77170.0,-77.14,2017
"MARSH, DEL",Dissolved,27306.21,1758191.92,1744691.15,49824.2,5000.0,0.0,2023
"MCCLENDON, JIM H",Active,0.0,578322.65,792148.31,23547.5,53234.38,0.0,2024
"MCCLENDON, MELINDA",Dissolved,0.0,329370.0,330965.98,39665.94,1595.98,0.0,2017
"MCGILL, SHADRACK DWIGHT",Dissolved,324.58,1380.0,1704.58,10945.0,0.0,0.0,2014
"MEANS, LARRY",Dissolved,350.0,313280.0,378210.37,314303.5,64580.37,0.0,2019
"MELSON, TIMOTHY IVAN",Active,0.0,704372.0,860789.6,36724.08,203249.62,344231.27,2025
"MOORE, WILLIAM GARRETH",Dissolved,0.0,350830.0,369923.04,0.0,0.0,-19093.04,2017
"MORGAN, BRYAN EARL",Dissolved,0.0,33628.51,49021.23,928.56,23000.0,7407.28,2016
"MURPHREE, JIM",Dissolved,0.0,17898.1,36318.64,0.0,20636.02,2215.48,2014
