state,year,chamber,district,party,candidate,candidate_actual_margin,candidate_expected_margin,candidate_quality_residual,model,fold_type,fold,baseline_allocation_quality,incumbency_balance
AL,2010,house,1,D,"burdine, greg",1.475644699140401,-11.976419691357002,13.452064390497403,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,1,R,"hanson, quinton",-1.475644699140401,11.976419691357002,-13.452064390497403,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,2,D,"curtis, mike",-9.472016134841173,-7.309454425777805,-2.162561709063368,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,2,R,"greer, lynn 1",9.472016134841173,7.309454425777805,2.162561709063368,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,4,D,"goodwin, vaughn",-39.71374374892223,-45.08040749201206,5.3666637430898305,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,4,R,"hammon, micky",39.71374374892223,45.08040749201206,-5.3666637430898305,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,5,D,"white, henry a 3",-23.96368498838764,-13.341475613093827,-10.622209375293814,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,5,R,"williams, dan 2",23.96368498838764,13.341475613093827,10.622209375293814,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,7,D,"letson, john (jody)",-1.320768187334904,-1.4838706852671848,0.16310249793228082,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,7,R,"johnson, ken",1.320768187334904,1.4838706852671848,-0.16310249793228082,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,8,D,breland,-12.17472911867588,-11.583454890267916,-0.5912742284079648,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,8,R,"collins, terri",12.17472911867588,11.583454890267916,0.5912742284079648,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,9,D,"goodwin, kathy w",-45.29587871838971,-38.07113398525439,-7.224744733135317,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,9,R,"henry, ed",45.29587871838971,38.07113398525439,7.224744733135317,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,12,D,"fields, james c, jr",-8.33881283997848,-35.517325214196276,27.178512374217796,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,12,R,"buttram, mac",8.33881283997848,35.517325214196276,-27.178512374217796,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,13,D,"sherer, tommy",-21.281117182756528,-12.508302032518998,-8.77281515023753,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,13,R,"roberts, bill 2",21.281117182756528,12.508302032518998,8.77281515023753,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,14,D,"guin, ken",-38.7120761451517,-11.978571815346214,-26.733504329805484,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,14,R,"baughn, richard",38.7120761451517,11.978571815346214,26.733504329805484,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,16,D,"thigpen, william e, sr",-7.751265365148228,-15.951572827138982,8.200307461990754,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,16,R,"boman, daniel h",7.751265365148228,15.951572827138982,-8.200307461990754,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,21,D,"hinshaw, randy",-3.5239206534422403,-0.3881724105133628,-3.1357482429288774,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,21,R,"patterson, jim 2",3.5239206534422403,0.3881724105133628,3.1357482429288774,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,22,D,"taylor, butch",-29.564625850340136,-33.38065021616198,3.8160243658218462,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
