county,precinct,office,district,party,candidate,votes
Autauga,10 JONES COMMUNITY CTR,Attorney General,,DEM,Joseph Siegelman,115
Autauga,10 JONES COMMUNITY CTR,Attorney General,,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CTR,Attorney General,,REP,Steve Marshall,157
Autauga,10 JONES COMMUNITY CTR,Attorney General,,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,Attorney General,,,Under Votes,2
Autauga,10 JONES COMMUNITY CTR,Ballots Cast,,,Ballots Cast - Total,274
Autauga,10 JONES COMMUNITY CTR,Commissioner of Agriculture and Industries,,NON,Write-ins,1
Autauga,10 JONES COMMUNITY CTR,Commissioner of Agriculture and Industries,,REP,Rick Pate,163
Autauga,10 JONES COMMUNITY CTR,Commissioner of Agriculture and Industries,,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,Commissioner of Agriculture and Industries,,,Under Votes,110
Autauga,10 JONES COMMUNITY CTR,Governor,,DEM,Walt Maddox,105
Autauga,10 JONES COMMUNITY CTR,Governor,,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CTR,Governor,,REP,Kay Ivey,168
Autauga,10 JONES COMMUNITY CTR,Governor,,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,Governor,,,Under Votes,1
Autauga,10 JONES COMMUNITY CTR,Lieutenant Governor,,DEM,Will Boyd,109
Autauga,10 JONES COMMUNITY CTR,Lieutenant Governor,,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CTR,Lieutenant Governor,,REP,Will Ainsworth,162
Autauga,10 JONES COMMUNITY CTR,Lieutenant Governor,,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,Lieutenant Governor,,,Under Votes,3
Autauga,10 JONES COMMUNITY CTR,Secretary of State,,DEM,Heather Milam,107
Autauga,10 JONES COMMUNITY CTR,Secretary of State,,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CTR,Secretary of State,,REP,John H. Merrill,163
Autauga,10 JONES COMMUNITY CTR,Secretary of State,,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,Secretary of State,,,Under Votes,4
Autauga,10 JONES COMMUNITY CTR,State Auditor,,DEM,Miranda Karrine Joseph,106
Autauga,10 JONES COMMUNITY CTR,State Auditor,,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CTR,State Auditor,,REP,Jim Zeigler,163
Autauga,10 JONES COMMUNITY CTR,State Auditor,,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,State Auditor,,,Under Votes,5
Autauga,10 JONES COMMUNITY CTR,State House,69,DEM,Kelvin Jamichael Lawrence,127
Autauga,10 JONES COMMUNITY CTR,State House,69,NON,Write-ins,9
Autauga,10 JONES COMMUNITY CTR,State House,69,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,State House,69,,Under Votes,138
Autauga,10 JONES COMMUNITY CTR,State Senate,30,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CTR,State Senate,30,REP,"Clyde Chambliss, Jr.",170
Autauga,10 JONES COMMUNITY CTR,State Senate,30,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,State Senate,30,,Under Votes,104
Autauga,10 JONES COMMUNITY CTR,State Treasurer,,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CTR,State Treasurer,,REP,John McMillan,166
Autauga,10 JONES COMMUNITY CTR,State Treasurer,,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,State Treasurer,,,Under Votes,108
Autauga,10 JONES COMMUNITY CTR,Straight Party,,DEM,Alabama Democratic Party,98
Autauga,10 JONES COMMUNITY CTR,Straight Party,,REP,Alabama Republican Party,110
Autauga,10 JONES COMMUNITY CTR,Straight Party,,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,Straight Party,,,Under Votes,66
Autauga,10 JONES COMMUNITY CTR,U.S. House,2,DEM,Tabitha Isner,118
Autauga,10 JONES COMMUNITY CTR,U.S. House,2,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CTR,U.S. House,2,REP,Martha Roby,153
Autauga,10 JONES COMMUNITY CTR,U.S. House,2,,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,U.S. House,2,,Under Votes,3
Autauga,100 TRINITY METHODIST,Attorney General,,DEM,Joseph Siegelman,376
Autauga,100 TRINITY METHODIST,Attorney General,,NON,Write-ins,2
Autauga,100 TRINITY METHODIST,Attorney General,,REP,Steve Marshall,1381
