county,precinct,office,district,party,candidate,votes
Autauga,0040 E_MEMORIAL CHRISTIAN,Attorney General,,DEM,Joe Hubbard,436
Autauga,0040 E_MEMORIAL CHRISTIAN,Attorney General,,NON,Write-ins,6
Autauga,0040 E_MEMORIAL CHRISTIAN,Attorney General,,REP,Luther Strange,979
Autauga,0040 E_MEMORIAL CHRISTIAN,Attorney General,,,Over Votes,1
Autauga,0040 E_MEMORIAL CHRISTIAN,Attorney General,,,Under Votes,20
Autauga,0040 E_MEMORIAL CHRISTIAN,Governor,,DEM,Parker Griffith,356
Autauga,0040 E_MEMORIAL CHRISTIAN,Governor,,NON,Write-ins,5
Autauga,0040 E_MEMORIAL CHRISTIAN,Governor,,REP,Robert Bentley,1073
Autauga,0040 E_MEMORIAL CHRISTIAN,Governor,,,Over Votes,0
Autauga,0040 E_MEMORIAL CHRISTIAN,Governor,,,Under Votes,8
Autauga,0040 E_MEMORIAL CHRISTIAN,Lieutenant Governor,,DEM,"James C. Fields, Jr.",333
Autauga,0040 E_MEMORIAL CHRISTIAN,Lieutenant Governor,,NON,Write-ins,2
Autauga,0040 E_MEMORIAL CHRISTIAN,Lieutenant Governor,,REP,Kay Ivey,1088
Autauga,0040 E_MEMORIAL CHRISTIAN,Lieutenant Governor,,,Over Votes,0
Autauga,0040 E_MEMORIAL CHRISTIAN,Lieutenant Governor,,,Under Votes,19
Autauga,0040 E_MEMORIAL CHRISTIAN,State House,88,NON,Write-ins,26
Autauga,0040 E_MEMORIAL CHRISTIAN,State House,88,REP,Paul Beckman,1095
Autauga,0040 E_MEMORIAL CHRISTIAN,State House,88,,Over Votes,0
Autauga,0040 E_MEMORIAL CHRISTIAN,State House,88,,Under Votes,321
Autauga,0040 E_MEMORIAL CHRISTIAN,State Senate,30,IND,Bryan Morgan,247
Autauga,0040 E_MEMORIAL CHRISTIAN,State Senate,30,NON,Write-ins,2
Autauga,0040 E_MEMORIAL CHRISTIAN,State Senate,30,REP,"Clyde Chambliss, Jr.",1056
Autauga,0040 E_MEMORIAL CHRISTIAN,State Senate,30,,Over Votes,0
Autauga,0040 E_MEMORIAL CHRISTIAN,State Senate,30,,Under Votes,137
Autauga,0040 E_MEMORIAL CHRISTIAN,State Treasurer,,NON,Write-ins,20
Autauga,0040 E_MEMORIAL CHRISTIAN,State Treasurer,,REP,Young Boozer,1111
Autauga,0040 E_MEMORIAL CHRISTIAN,State Treasurer,,,Over Votes,0
Autauga,0040 E_MEMORIAL CHRISTIAN,State Treasurer,,,Under Votes,311
Autauga,0040 E_MEMORIAL CHRISTIAN,U.S. House,2,DEM,Erick Wright,302
Autauga,0040 E_MEMORIAL CHRISTIAN,U.S. House,2,NON,Write-ins,3
Autauga,0040 E_MEMORIAL CHRISTIAN,U.S. House,2,REP,Martha Roby,1118
Autauga,0040 E_MEMORIAL CHRISTIAN,U.S. House,2,,Over Votes,1
Autauga,0040 E_MEMORIAL CHRISTIAN,U.S. House,2,,Under Votes,18
Autauga,0040 E_MEMORIAL CHRISTIAN,U.S. Senate,,NON,Write-ins,29
Autauga,0040 E_MEMORIAL CHRISTIAN,U.S. Senate,,REP,Jeff Sessions,1160
Autauga,0040 E_MEMORIAL CHRISTIAN,U.S. Senate,,,Over Votes,0
Autauga,0040 E_MEMORIAL CHRISTIAN,U.S. Senate,,,Under Votes,253
Autauga,10 JONES COMMUNITY CENTER,Attorney General,,DEM,Joe Hubbard,80
Autauga,10 JONES COMMUNITY CENTER,Attorney General,,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CENTER,Attorney General,,REP,Luther Strange,105
Autauga,10 JONES COMMUNITY CENTER,Attorney General,,,Over Votes,0
Autauga,10 JONES COMMUNITY CENTER,Attorney General,,,Under Votes,2
Autauga,10 JONES COMMUNITY CENTER,Governor,,DEM,Parker Griffith,78
Autauga,10 JONES COMMUNITY CENTER,Governor,,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CENTER,Governor,,REP,Robert Bentley,109
Autauga,10 JONES COMMUNITY CENTER,Governor,,,Over Votes,0
Autauga,10 JONES COMMUNITY CENTER,Governor,,,Under Votes,0
Autauga,10 JONES COMMUNITY CENTER,Lieutenant Governor,,DEM,"James C. Fields, Jr.",70
Autauga,10 JONES COMMUNITY CENTER,Lieutenant Governor,,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CENTER,Lieutenant Governor,,REP,Kay Ivey,114
Autauga,10 JONES COMMUNITY CENTER,Lieutenant Governor,,,Over Votes,0
Autauga,10 JONES COMMUNITY CENTER,Lieutenant Governor,,,Under Votes,3
Autauga,10 JONES COMMUNITY CENTER,State House,69,DEM,Kelvin J. Lawrence,68
Autauga,10 JONES COMMUNITY CENTER,State House,69,IND,Cedric Coley,7
Autauga,10 JONES COMMUNITY CENTER,State House,69,NON,Write-ins,0
Autauga,10 JONES COMMUNITY CENTER,State House,69,REP,Loretta G. Grant,107
Autauga,10 JONES COMMUNITY CENTER,State House,69,,Over Votes,0
Autauga,10 JONES COMMUNITY CENTER,State House,69,,Under Votes,5
Autauga,10 JONES COMMUNITY CENTER,State Senate,30,IND,Bryan Morgan,15
Autauga,10 JONES COMMUNITY CENTER,State Senate,30,NON,Write-ins,1
Autauga,10 JONES COMMUNITY CENTER,State Senate,30,REP,"Clyde Chambliss, Jr.",115
Autauga,10 JONES COMMUNITY CENTER,State Senate,30,,Over Votes,0
Autauga,10 JONES COMMUNITY CENTER,State Senate,30,,Under Votes,56
Autauga,10 JONES COMMUNITY CENTER,State Treasurer,,NON,Write-ins,2
Autauga,10 JONES COMMUNITY CENTER,State Treasurer,,REP,Young Boozer,114
