year,office,observation_rows,votes,counties,candidates,districts
1994,GOV,5107,716194,75,4,0
1994,SLDL,2202,329694,40,100,52
1994,SLDU,1235,189662,27,30,12
1994,USH,5051,703032,74,20,5
1996,SLDL,1853,359766,44,65,33
1996,SLDU,747,156772,15,12,6
1996,USH,5954,855377,74,10,4
1996,USP,14108,875692,74,15,0
1996,USS,4751,838641,74,2,0
1998,GOV,7265,702072,75,3,0
1998,SLDL,4641,673147,58,135,86
1998,SLDU,2225,381636,36,24,17
1998,USH,3828,559411,62,7,4
1998,USS,7272,696723,75,5,0
