state,year,office,district,candidate,party,votes,precinct_rows,counties
AR,1998,SLDU,26.0,SENATOR JON S FITCH,DEM,13666,130,8
AR,1998,SLDU,31.0,SENATOR NICK WILSON,DEM,5521,75,3
AR,1998,SLDU,32.0,GARY D HUNTER,REP,9048,38,1
AR,1998,SLDU,33.0,REPRESENTATIVE DAVE BISBEE,REP,14049,41,2
AR,1998,SLDU,33.0,TYLER E WHITE,DEM,7994,41,2
AR,1998,SLDU,34.0,SENATOR JOHN E BROWN,REP,27820,72,1
AR,1998,SLDU,35.0,BRETT K RALSTON,REP,8543,71,1
AR,1998,SLDU,35.0,SEN. DAVID MALONE,DEM,13979,71,1
AR,1998,USH,1.0,CONGRESSMAN MARION BERRY,DEM,37814,310,12
AR,1998,USH,2.0,SENATOR PHIL WYRICK,REP,72737,460,8
AR,1998,USH,2.0,VIC SNYDER,DEM,100334,459,8
AR,1998,USH,3.0,CONGRESSMAN ASA HUTCHINSON,REP,151700,653,16
AR,1998,USH,3.0,JUSTICE RALPH FORBES,OTH,36286,652,16
AR,1998,USH,4.0,CONGRESSMAN JAY DICKEY,REP,92346,647,26
AR,1998,USH,4.0,REPRESENTATIVE JUDY SMITH,DEM,68194,647,26
AR,1998,USS,,BLANCHE LAMBERT LINCOLN,DEM,383968,2425,75
AR,1998,USS,,CHARLEY E HEFFLEY,OTH,18165,2284,72
AR,1998,USS,,CHARLEY E. HEFFLEY,OTH,190,53,2
AR,1998,USS,,CHARLIE E. HEFFLEY,OTH,494,85,1
AR,1998,USS,,"SEN. FAY BOOZMAN, MD",REP,293906,2425,75
