state,year,chamber,district,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,sos_dem_votes,sos_rep_votes,_merge,dem_vote_delta,rep_vote_delta,total_absolute_delta,klarner_major_votes,reconciliation_status,model_eligible
AR,1994,house,1.0,3925.0,4216.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"steele, railey a","hendren, jim",3925.0,4216.0,both,0.0,0.0,0.0,8141.0,exact,True
AR,1994,house,2.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"vongremp, jim",,,left_only,,,,,missing_one_source,False
AR,1994,house,3.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"bisbee, david a",,,left_only,,,,,missing_one_source,False
AR,1994,house,4.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"bryant, randy",,,left_only,,,,,missing_one_source,False
AR,1994,house,5.0,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"hinshaw, jerry",,,left_only,,,,,missing_one_source,False
AR,1994,house,6.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"mcjunkin, louis m",,,,left_only,,,,,missing_one_source,False
AR,1994,house,7.0,4387.0,2152.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"stewart, charles w","myers, bill",4389.0,2152.0,both,2.0,0.0,2.0,6539.0,within_one_percent,True
AR,1994,house,8.0,4457.0,3650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"madison, sue","holloway, jerry",4457.0,3650.0,both,0.0,0.0,0.0,8107.0,exact,True
AR,1994,house,9.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hunton, jerry",,,,left_only,,,,,missing_one_source,False
AR,1994,house,10.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hall, john",,,,left_only,,,,,missing_one_source,False
AR,1994,house,11.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"thicksten, edward f",,,,left_only,,,,,missing_one_source,False
AR,1994,house,12.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"blair, ralph w (buddy)","delay, gunner",,,left_only,,,,,missing_one_source,False
AR,1994,house,14.0,,,,,,,,,,,,8605.0,9714.0,right_only,,,,,missing_one_source,False
AR,1994,house,15.0,4665.0,3941.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"wilkinson, ed","king, jerry d",4665.0,3941.0,both,0.0,0.0,0.0,8606.0,exact,True
