historical_war_run_id,cycle,chamber,district,canonical_party,candidate_name,canonical_name,source_candidate_name,canonical_candidate_id,person_id,candidate_effect_id,identity_status,display_name_source,canonical_votes,winner,incumbent,candidate_raw_gap,candidate_structural_expected_gap,candidate_lag_component,candidate_cycle_war,scoring_scope,lag_context_available,backcast_extrapolation_years,modern_backcast_structural_expected_gap,modern_backcast_war,candidate_state_ticket_cmo,candidate_federal_ticket_cmo,candidate_presidential_ticket_cmo,selected_ticket_margin,selected_ticket_source,prior_presidential_margin,contest_tier,score_identification
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,house,1,D,Starkey,Starkey,Starkey,AL-1994-house-1-D-STARKEY,ALPERSON-STARKEY,UNRESOLVED-AL-1994-house-1-D-STARKEY,surname_only_unresolved_race_specific,canonical_alabama_election_candidate,7385.0,1,0,40.27466053766787,4.147388274801626,4.327824291754794,36.12727226286624,post2016_southern_model_backcast,True,24,4.147388274801626,36.12727226286624,30.6679386749276,40.27466053766787,19.75593971179357,-20.495242809989666,same_cycle_federal,0.0234780158846421,meaningful,race_differential_party_orientation
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,house,1,R,Phillips,Phillips,Phillips,AL-1994-house-1-R-PHILLIPS,ALPERSON-PHILLIPS,UNRESOLVED-AL-1994-house-1-R-PHILLIPS,surname_only_unresolved_race_specific,canonical_alabama_election_candidate,4946.0,0,0,-40.27466053766787,-4.147388274801626,-4.327824291754794,-36.12727226286624,post2016_southern_model_backcast,True,24,4.147388274801626,36.12727226286624,-30.6679386749276,-40.27466053766787,-19.75593971179357,-20.495242809989666,same_cycle_federal,0.0234780158846421,meaningful,race_differential_party_orientation
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,house,3,D,Black,Black,Black,AL-1994-house-3-D-BLACK,ALPERSON-BLACK,UNRESOLVED-AL-1994-house-3-D-BLACK,surname_only_unresolved_race_specific,canonical_alabama_election_candidate,7723.0,1,0,20.70193604119564,-2.1476941424079916,2.6877606107077483,22.849630183603633,post2016_southern_model_backcast,True,24,-2.1476941424079916,22.849630183603633,21.791263058258828,20.70193604119564,14.473939098707763,13.099172759913168,same_cycle_federal,19.32716970240104,meaningful,race_differential_party_orientation
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,house,3,R,Smallwood,Smallwood,Smallwood,AL-1994-house-3-R-SMALLWOOD,ALPERSON-SMALLWOOD,UNRESOLVED-AL-1994-house-3-R-SMALLWOOD,surname_only_unresolved_race_specific,canonical_alabama_election_candidate,3821.0,0,0,-20.70193604119564,2.1476941424079916,-2.6877606107077483,-22.849630183603633,post2016_southern_model_backcast,True,24,-2.1476941424079916,22.849630183603633,-21.791263058258828,-20.70193604119564,-14.473939098707763,13.099172759913168,same_cycle_federal,19.32716970240104,meaningful,race_differential_party_orientation
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,house,4,D,Smith,Smith,Smith,AL-1994-house-4-D-SMITH,ALPERSON-SMITH,UNRESOLVED-AL-1994-house-4-D-SMITH,surname_only_unresolved_race_specific,canonical_alabama_election_candidate,5012.0,0,0,-16.37785463820417,-3.0493054486627535,-1.6503847189776772,-13.328549189541416,post2016_southern_model_backcast,True,24,-3.0493054486627535,-13.328549189541416,-1.3256463547890114,-16.37785463820417,-13.871644835610994,-13.268411504412336,same_cycle_federal,-15.774621307005514,meaningful,race_differential_party_orientation
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,house,4,R,Papucci,Papucci,Papucci,AL-1994-house-4-R-PAPUCCI,ALPERSON-PAPUCCI,UNRESOLVED-AL-1994-house-4-R-PAPUCCI,surname_only_unresolved_race_specific,canonical_alabama_election_candidate,9236.0,1,0,16.37785463820417,3.0493054486627535,1.6503847189776772,13.328549189541416,post2016_southern_model_backcast,True,24,-3.0493054486627535,-13.328549189541416,1.3256463547890114,16.37785463820417,13.871644835610994,-13.268411504412336,same_cycle_federal,-15.774621307005514,meaningful,race_differential_party_orientation
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,house,6,D,Schmitz,Schmitz,Schmitz,AL-1994-house-6-D-SCHMITZ,ALPERSON-SCHMITZ,UNRESOLVED-AL-1994-house-6-D-SCHMITZ,surname_only_unresolved_race_specific,canonical_alabama_election_candidate,6409.0,0,0,7.757056296230493,-6.122495565243247,-4.287754508495166,13.87955186147374,post2016_southern_model_backcast,True,24,-6.122495565243247,13.87955186147374,21.709223814421527,7.757056296230493,20.31608060422589,-10.496262609304322,same_cycle_federal,-23.05528691729972,meaningful,race_differential_party_orientation
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,house,6,R,Jorgensen,Jorgensen,Jorgensen,AL-1994-house-6-R-JORGENSEN,ALPERSON-JORGENSEN,UNRESOLVED-AL-1994-house-6-R-JORGENSEN,surname_only_unresolved_race_specific,canonical_alabama_election_candidate,6770.0,1,0,-7.757056296230493,6.122495565243247,4.287754508495166,-13.87955186147374,post2016_southern_model_backcast,True,24,-6.122495565243247,13.87955186147374,-21.709223814421527,-7.757056296230493,-20.31608060422589,-10.496262609304322,same_cycle_federal,-23.05528691729972,meaningful,race_differential_party_orientation
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,house,7,D,Letson,Letson,Letson,AL-1994-house-7-D-LETSON,ALPERSON-LETSON,UNRESOLVED-AL-1994-house-7-D-LETSON,surname_only_unresolved_race_specific,canonical_alabama_election_candidate,6188.0,1,0,-2.9254723025280347,-4.341254368987329,2.861647555532615,1.4157820664592942,post2016_southern_model_backcast,True,24,-4.341254368987329,1.4157820664592942,-2.9254723025280347,-46.72712276059982,-11.170017250825545,7.549700893279578,same_cycle_state_fallback,15.794245841577087,meaningful,race_differential_party_orientation
AL-HIST-WAR-V1-76814789B2F7641E4255,1994,house,7,R,Randolph,Randolph,Randolph,AL-1994-house-7-R-RANDOLPH,ALPERSON-RANDOLPH,UNRESOLVED-AL-1994-house-7-R-RANDOLPH,surname_only_unresolved_race_specific,canonical_alabama_election_candidate,5641.0,0,0,2.9254723025280347,4.341254368987329,-2.861647555532615,-1.4157820664592942,post2016_southern_model_backcast,True,24,-4.341254368987329,1.4157820664592942,2.9254723025280347,46.72712276059982,11.170017250825545,7.549700893279578,same_cycle_state_fallback,15.794245841577087,meaningful,race_differential_party_orientation
