state,year,chamber,district,dem_votes,rep_votes,dem_margin,dem_win,incumbency_balance,result_source,prior_pres_margin,presidential_source,national_swing,environment_baseline_margin,nonwhite_share,college_share,white_college_share,acs_vintage,demographics_source,swing_x_nonwhite,swing_x_white_college,baseline_error,primary_calibration_eligible
AR,2018,lower,61.0,4673.0,4792.0,-1.2572636027469626,0,1.0,Klarner SLER contest file,,,6.280563,,0.04853182500611,0.1371487119437939,0.1382390256280131,2018,ACS 2018 5-year direct SLD tabulation,0.30480718445584926,0.8682189095153509,,False
AR,2018,lower,65.0,2988.0,6011.0,-33.59262140237804,0,-1.0,Klarner SLER contest file,,,6.280563,,0.1509200720517076,0.1452658227848101,0.1510249372189452,2018,ACS 2018 5-year direct SLD tabulation,0.9478630204852888,0.9485216327746301,,False
AR,2018,lower,69.0,3595.0,5034.0,-16.67632402364121,0,-1.0,Klarner SLER contest file,,,6.280563,,0.1863194819212088,0.1659600242277407,0.1854692348223172,2018,ACS 2018 5-year direct SLD tabulation,1.170191244333513,1.1648512138633569,,False
AR,2018,lower,70.0,4798.0,5998.0,-11.115227862171174,0,0.0,Klarner SLER contest file,,,6.280563,,0.2527332677734714,0.4345124035423895,0.4419699078677007,2018,ACS 2018 5-year direct SLD tabulation,1.5873072104471566,2.7758198504672897,,False
AR,2018,lower,71.0,2562.0,4749.0,-29.91382847763644,0,0.0,Klarner SLER contest file,,,6.280563,,0.2610692030173828,0.2599031561752523,0.3102991012229262,2018,ACS 2018 5-year direct SLD tabulation,1.6396615769104628,1.948853054073965,,False
AR,2018,lower,73.0,1716.0,5355.0,-51.46372507424692,0,-1.0,Klarner SLER contest file,,,6.280563,,0.2057650471356055,0.1420998539514253,0.1500516528925619,2018,ACS 2018 5-year direct SLD tabulation,1.29232034173314,0.9424088592458671,,False
AR,2018,lower,77.0,2984.0,4716.0,-22.493506493506494,0,-1.0,Klarner SLER contest file,,,6.280563,,0.2754722231885066,0.2297029702970297,0.2536906503524405,2018,ACS 2018 5-year direct SLD tabulation,1.7301206524854766,1.5933201120494747,,False
AR,2018,lower,80.0,2647.0,6397.0,-41.46395400265369,0,-1.0,Klarner SLER contest file,,,6.280563,,0.1205990280670435,0.2246427153632393,0.2211981566820276,2018,ACS 2018 5-year direct SLD tabulation,0.757429793513835,1.3892489585253454,,False
AR,2018,lower,81.0,2538.0,6627.0,-44.61538461538461,0,-1.0,Klarner SLER contest file,,,6.280563,,0.0654256775253216,0.1571499013806706,0.1575556017459987,2018,ACS 2018 5-year direct SLD tabulation,0.41091008951546637,0.9895378827686548,,False
AR,2018,lower,84.0,7497.0,6032.0,10.828590435361075,1,-1.0,Klarner SLER contest file,,,6.280563,,0.1518531845987765,0.4791526714138564,0.4940536182221326,2018,ACS 2018 5-year direct SLD tabulation,0.9537234926232455,3.102934874622052,,False
AR,2018,lower,87.0,2815.0,6660.0,-40.58047493403694,0,-1.0,Klarner SLER contest file,,,6.280563,,0.3261684143259651,0.2555164542514742,0.2831965387796653,2018,ACS 2018 5-year direct SLD tabulation,2.0485212747843264,1.778633703187631,,False
AR,2018,lower,89.0,1859.0,1830.0,0.7861208999728924,1,-1.0,Klarner SLER contest file,,,6.280563,,0.6578599338743614,0.1019880820545272,0.1973018549747049,2018,ACS 2018 5-year direct SLD tabulation,4.1317307598737605,1.2391667301854976,,False
AR,2018,lower,90.0,3790.0,7426.0,-32.417974322396574,0,-1.0,Klarner SLER contest file,,,6.280563,,0.314836763279819,0.3996691192476816,0.4520743070805389,2018,ACS 2018 5-year direct SLD tabulation,1.97735212649499,2.8392811663006707,,False
AR,2018,lower,92.0,3627.0,8988.0,-42.49702734839477,0,0.0,Klarner SLER contest file,,,6.280563,,0.129532887300278,0.3082824025289779,0.318188140386666,2018,ACS 2018 5-year direct SLD tabulation,0.8135394592612959,1.9984006615513001,,False
AR,2018,lower,93.0,4833.0,6660.0,-15.896632732967893,0,-1.0,Klarner SLER contest file,,,6.280563,,0.2648676474572597,0.4975304030216245,0.4467171998662356,2018,ACS 2018 5-year direct SLD tabulation,1.6635179465171095,2.805635516943484,,False
AR,2018,lower,94.0,3099.0,3972.0,-12.346202800169706,0,-1.0,Klarner SLER contest file,,,6.280563,,0.4100193641076894,0.2180951917934756,0.2540528536531201,2018,ACS 2018 5-year direct SLD tabulation,2.575152447498282,1.5955949526982007,,False
AR,2018,lower,95.0,3968.0,7498.0,-30.786673643816503,0,-1.0,Klarner SLER contest file,,,6.280563,,0.1465278856610222,0.2684352312679786,0.2714605105807726,2018,ACS 2018 5-year direct SLD tabulation,0.9202776171508465,1.7049248387147087,,False
AR,2018,lower,96.0,2840.0,5614.0,-32.81286964750414,0,-1.0,Klarner SLER contest file,,,6.280563,,0.3205675103485322,0.2009551629804794,0.2364465253819615,2018,ACS 2018 5-year direct SLD tabulation,2.0133444444971085,1.4850172987925083,,False
AR,2018,lower,97.0,4563.0,6644.0,-18.56875167306148,0,0.0,Klarner SLER contest file,,,6.280563,,0.1871382054992764,0.2414868728879646,0.2440342188203512,2018,ACS 2018 5-year direct SLD tabulation,1.1753332893451518,1.5326722854570014,,False
AR,2018,upper,3.0,8968.0,14598.0,-23.89035050496478,0,-1.0,Klarner SLER contest file,,,6.280563,,0.3406150281942562,0.2064792869780018,0.2482696773896847,2018,ACS 2018 5-year direct SLD tabulation,2.139254143320802,1.5592733498355902,,False
AR,2018,upper,4.0,18416.0,11533.0,22.982403419145882,1,0.0,Klarner SLER contest file,,,6.280563,,0.2197147364830292,0.4538562141056502,0.479602402153655,2018,ACS 2018 5-year direct SLD tabulation,1.3799322445100632,3.012173101677366,,False
AR,2018,upper,5.0,7872.0,18288.0,-39.81651376146789,0,0.0,Klarner SLER contest file,,,6.280563,,0.1087441647266016,0.1623828763001805,0.1647835328336503,2018,ACS 2018 5-year direct SLD tabulation,0.6829745774477991,1.0349333593243093,,False
AR,2018,upper,14.0,9536.0,21913.0,-39.35578237781805,0,-1.0,Klarner SLER contest file,,,6.280563,,0.1595720840262788,0.2341731781215117,0.2506506651243493,2018,ACS 2018 5-year direct SLD tabulation,1.0022025267683377,1.5742272933053787,,False
AR,2018,upper,19.0,6914.0,18563.0,-45.72359382972878,0,0.0,Klarner SLER contest file,,,6.280563,,0.0820448697910404,0.1538030940426109,0.1571534738711957,2018,ACS 2018 5-year direct SLD tabulation,0.5152879735494261,0.9870122933168983,,False
AR,2018,upper,33.0,10657.0,23014.0,-36.69923673190579,0,0.0,Klarner SLER contest file,,,6.280563,,0.1739940274333148,0.3115446862075166,0.3088307155322862,2018,ACS 2018 5-year direct SLD tabulation,1.0927804509186618,1.939630765235602,,False
AR,2018,upper,35.0,12339.0,15168.0,-10.284654815137966,0,-1.0,Klarner SLER contest file,,,6.280563,,0.2406068402608349,0.3311765802722357,0.3453625158175938,2018,ACS 2018 5-year direct SLD tabulation,1.51114641848911,2.169071038430894,,False
GA,2018,lower,5.0,2919.0,12914.0,-63.12764479252195,0,-1.0,Klarner SLER contest file,-59.5737301073254,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-53.2931671073254,0.231480133896085,0.1388888888888889,0.1355667300896983,2018,ACS 2018 5-year direct SLD tabulation,1.4538255641827973,0.8514353890323458,-9.834477685196546,True
GA,2018,lower,7.0,3909.0,21058.0,-68.68666639964754,0,-1.0,Klarner SLER contest file,-63.233570933214196,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-56.953007933214195,0.0962872729198665,0.22369098310795,0.2338760253869503,2018,ACS 2018 5-year direct SLD tabulation,0.6047382836714155,1.4688731116323406,-11.73365846643334,True
GA,2018,lower,11.0,2912.0,17812.0,-71.89731712024705,0,-1.0,Klarner SLER contest file,-66.17113569949866,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-59.89057269949866,0.1479647473140385,0.1852591170825336,0.1942254174397031,2018,ACS 2018 5-year direct SLD tabulation,0.9293019172848995,1.2198449704313539,-12.00674442074839,True
GA,2018,lower,13.0,5190.0,10329.0,-33.11424705200077,0,-1.0,Klarner SLER contest file,-28.485943052215383,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-22.205380052215382,0.4027641220665986,0.2018484288354898,0.2645426961421759,2018,ACS 2018 5-year direct SLD tabulation,2.529585442778963,1.6614770693107928,-10.908866999785388,True
GA,2018,lower,17.0,6225.0,17006.0,-46.40781714088933,0,0.0,Klarner SLER contest file,-51.55033580212997,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-45.26977280212997,0.2581339514860501,0.2334856778445023,0.2343954604975993,2018,ACS 2018 5-year direct SLD tabulation,1.6212265447470813,1.4721354565691838,-1.1380443387593573,True
GA,2018,lower,18.0,4714.0,13566.0,-48.42450765864333,0,-1.0,Klarner SLER contest file,-41.71399822969299,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-35.43343522969299,0.2748406720741598,0.2007716490425836,0.2242878109359123,2018,ACS 2018 5-year direct SLD tabulation,1.7261541559241012,1.408653726715086,-12.99107242895034,True
GA,2018,lower,19.0,8592.0,14394.0,-25.241451318193683,0,0.0,Klarner SLER contest file,-37.15504966629514,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-30.87448666629514,0.2834564792419072,0.242418930762489,0.2260984990299853,2018,ACS 2018 5-year direct SLD tabulation,1.7802662756369905,1.4200258673632615,5.633035348101458,True
GA,2018,lower,20.0,7712.0,17918.0,-39.82052282481467,0,-1.0,Klarner SLER contest file,-47.168009858989464,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-40.88744685898946,0.2337442348008386,0.3889917564996829,0.4070771092779565,2018,ACS 2018 5-year direct SLD tabulation,1.4680453925534593,2.55667343067809,1.0669240341747965,True
GA,2018,lower,21.0,6570.0,19403.0,-49.4090016555654,0,-1.0,Klarner SLER contest file,-55.24839205954956,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-48.96782905954956,0.2269024862876474,0.3517712073751496,0.3843722890073119,2018,ACS 2018 5-year direct SLD tabulation,1.4250753599862056,2.41407437656463,-0.44117259601583925,True
GA,2018,lower,22.0,7620.0,23987.0,-51.78283291675895,0,-1.0,Klarner SLER contest file,-58.887198181178164,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-52.60663518117816,0.1841899843881349,0.4772998670662191,0.4733031428803861,2018,ACS 2018 5-year direct SLD tabulation,1.1568168009186977,2.9726102069582665,0.8238022644192142,True
GA,2018,lower,23.0,5974.0,17782.0,-49.70533759892238,0,-1.0,Klarner SLER contest file,-54.35848893630719,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-48.07792593630719,0.2342352921440673,0.2843404904203251,0.295816580215463,2018,ACS 2018 5-year direct SLD tabulation,1.4711295091342198,1.8578946684877689,-1.627411662615188,True
GA,2018,lower,25.0,10074.0,17897.0,-27.968252833291622,0,-1.0,Klarner SLER contest file,-43.49592584864644,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-37.21536284864644,0.3820678864792037,0.6828477465375886,0.6634144572195423,2018,ACS 2018 5-year direct SLD tabulation,2.399601431309487,4.16661629367814,9.24711001535482,True
GA,2018,lower,30.0,5358.0,14358.0,-45.64820450395618,0,-1.0,Klarner SLER contest file,-51.234472044641024,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-44.95390904464102,0.3821422622022322,0.2275083867032631,0.2804434750999636,2018,ACS 2018 5-year direct SLD tabulation,2.400068552723638,1.7613429133042526,-0.6942954593151569,True
GA,2018,lower,34.0,9968.0,13581.0,-15.342477387574844,0,-1.0,Klarner SLER contest file,-23.257799090421624,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-16.977236090421624,0.3746203346203346,0.4574280521875932,0.4911935016889175,2018,ACS 2018 5-year direct SLD tabulation,2.3528266126640927,3.084971732547853,1.6347587028467796,True
GA,2018,lower,35.0,10775.0,11816.0,-4.608029746359169,0,-1.0,Klarner SLER contest file,-15.89613956023742,Daily Kos 2016 presidential results by 2010-plan district,6.280563,-9.615576560237422,0.431820982763781,0.4132628944807451,0.4263968562265685,2018,ACS 2018 5-year direct SLD tabulation,2.7120788869698407,2.6780123185329057,5.007546813878252,True
