chamber,dem_modeled_seats,probability,draws
house,5,0.00846,50000
house,6,0.05828,50000
house,7,0.1554,50000
house,8,0.2586,50000
house,9,0.288,50000
house,10,0.18836,50000
house,11,0.03728,50000
house,12,0.00496,50000
house,13,0.00064,50000
house,14,2e-05,50000
senate,0,0.02376,50000
senate,1,0.11924,50000
senate,2,0.3164,50000
senate,3,0.46948,50000
senate,4,0.07082,50000
senate,5,0.0003,50000
