state,year,chamber,district,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,baseline_office,baseline_dem_votes,baseline_rep_votes,baseline_dem_margin,minimum_party_vote_coverage,allocated_votes,source_votes,source_legislative_turnout,matched_legislative_turnout,legislative_turnout_join_coverage,dem_votes,rep_votes,legislative_dem_margin,raw_overperformance_vs_baseline,incumbency_balance,contested_two_party,cycle_gate,coverage_gate,model_eligible_permissive,model_eligible,baseline_allocation_quality,panel_source
MO,2012,house,61,4808.0,12478.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"sage, michael","schatz, dave",USP,5269.649113023383,12205.816074305454,-39.69088597602179,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,4808.0,12478.0,-44.371167418720354,-4.680281442698565,-1.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,62,5639.0,11082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stratman, greg","hurst, tom",USP,4362.220663616615,12476.03784547198,-48.18679543063115,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,5639.0,11082.0,-32.55188086836912,15.634914562262033,0.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,63,6772.0,11163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stinson, bill","spencer, bryan",USP,7002.477321201794,12048.909445861173,-26.488529083793072,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,6772.0,11163.0,-24.482854753275717,2.0056743305173548,0.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,64,8299.0,8832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"henke, wayne j","cornejo, robert",USP,7442.962744573454,11121.790135677096,-19.816193702299326,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,8299.0,8832.0,-3.1113186620746016,16.704875040224724,0.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,65,0.0,12755.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"zerr, anne",USP,8674.246864212328,9622.579930818503,-5.1830466409821945,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,0.0,12755.0,-100.0,-94.8169533590178,-1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,66,14427.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"pierson, tommie, jr",,USP,12967.0,1592.0,78.13036609657257,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,14427.0,0.0,100.0,21.869633903427427,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,67,18856.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"webb, steve",,USP,17540.0,3684.0,65.28458349038824,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,18856.0,0.0,100.0,34.71541650961176,1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,68,14085.0,3863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"english, keith","sharma, rekha (becky)",USP,12527.0,5871.0,36.177845417980215,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,14085.0,3863.0,56.95342099398262,20.775575576002403,0.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,69,12313.0,5341.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"mcneil, margo","lindemann, glen",USP,11059.0,7023.0,22.32053976330052,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,12313.0,5341.0,39.49246629659001,17.17192653328949,1.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,70,9254.0,8537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"otto, bill","dokes, eugene",USP,9048.29754895244,9536.059354609843,-2.6245826432869883,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,9254.0,8537.0,4.030127592603002,6.65471023588999,0.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2012,house,71,13431.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"meredith, susan 2",,USP,10237.0,7251.0,17.074565416285452,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055,13431.0,0.0,100.0,82.92543458371455,0.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
