state,year,chamber,district,heda_dem_votes,heda_rep_votes,heda_total_votes,dem_two_party_share,heda_dem_margin,precinct_fragment_rows,office,baseline_dem_votes,baseline_rep_votes,context_fragment_rows,split_context_rows,expected_context_groups,allocated_context_groups,incomplete_context_groups,baseline_dem_margin,baseline_allocation_quality,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,dem_votes,rep_votes,legislative_dem_margin,raw_overperformance_vs_baseline,incumbency_balance,contested_two_party,model_eligible_permissive,model_eligible,heda_dem_vote_delta,heda_rep_vote_delta,result_source,baseline_source
AL,2010,house,1,7083.0,6877.0,13960.0,0.507378223495702,0.014756446991404,22,USS,5181.722929730797,8788.265428883022,22.0,5.0,22.0,22.0,0.0,-25.8163600897237,includes_turnout_share_allocation,7083.0,6877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"burdine, greg","hanson, quinton",7083.0,6877.0,1.475644699140401,27.2920047888641,0.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,2,6284.0,7599.0,13883.0,0.4526399193257941,-0.0947201613484117,16,USS,4207.277070269203,9585.73457111698,16.0,5.0,16.0,16.0,0.0,-38.994076425699646,includes_turnout_share_allocation,6284.0,7599.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"curtis, mike","greer, lynn 1",6284.0,7599.0,-9.472016134841173,29.522060290858473,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,3,9076.0,,9076.0,,,28,USS,5604.892561983471,7841.233884297521,28.0,3.0,28.0,28.0,0.0,-16.631862947656504,includes_turnout_share_allocation,9076.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"black, marcel",,9076.0,0.0,100.0,116.6318629476565,1.0,False,False,False,0.0,,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,4,5244.0,12153.0,17397.0,0.3014312812553888,-0.3971374374892222,30,USS,4048.99736530862,13492.547359139277,30.0,13.0,30.0,30.0,0.0,-53.83533857579286,includes_turnout_share_allocation,5244.0,12153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"goodwin, vaughn","hammon, micky",5244.0,12153.0,-39.71374374892223,14.121594826870634,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,5,8013.0,12370.0,21742.0,0.3931217190796252,-0.2137565618407496,27,USS,5699.077717161607,16108.337249110975,27.0,13.0,27.0,27.0,0.0,-47.7326613358271,includes_turnout_share_allocation,5402.0,8807.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"white, henry a 3","williams, dan 2",5402.0,8807.0,-23.96368498838764,23.768976347439462,1.0,True,True,True,2611.0,3563.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,6,,9880.0,9880.0,,,21,USS,5882.0661776132465,9430.125087014394,21.0,16.0,21.0,21.0,0.0,-23.171464149598506,includes_turnout_share_allocation,0.0,9880.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"williams, phil 3",0.0,9880.0,-100.0,-76.8285358504015,0.0,False,False,False,,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,7,6911.0,7096.0,14007.0,0.4933961590633254,-0.013207681873349,42,USS,4827.838353733636,9076.136237367265,42.0,4.0,42.0,42.0,0.0,-30.554557301569794,includes_turnout_share_allocation,6911.0,7096.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"letson, john (jody)","johnson, ken",6911.0,7096.0,-1.320768187334904,29.23378911423489,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,8,2536.0,3011.0,5547.0,0.4571840634577249,-0.0856318730845502,8,USS,2079.6268829663964,3484.3742757821556,8.0,1.0,8.0,8.0,0.0,-25.247072254954624,includes_turnout_share_allocation,5147.0,6574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,breland,"collins, terri",5147.0,6574.0,-12.17472911867588,13.072343136278743,0.0,True,True,True,-2611.0,-3563.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,9,4280.0,11382.0,15662.0,0.2732728897969608,-0.4534542204060784,20,USS,2855.80945599251,12843.971695055983,20.0,7.0,20.0,20.0,0.0,-63.619754587448014,includes_turnout_share_allocation,4294.0,11405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"goodwin, kathy w","henry, ed",4294.0,11405.0,-45.29587871838971,18.323875869058305,0.0,True,True,True,-14.0,-23.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
AL,2010,house,10,,11950.0,11950.0,,,20,USS,3944.638578011171,11773.768083465477,20.0,11.0,20.0,20.0,0.0,-49.808671286271505,includes_turnout_share_allocation,0.0,11950.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"ball, mike",0.0,11950.0,-100.0,-50.191328713728495,-1.0,False,False,False,,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts
