chamber,district,conditional_dem_probability,full_uncertainty_dem_probability,margin_80_low,margin_80_high,margin_95_low,margin_95_high,draws
house,2,5.3044204737408046e-05,0.0,-72.0220890886327,-54.875463230278335,-76.66908858976014,-50.459573899930085,50000
house,4,0.0019144786138204765,0.0,-37.82104423078225,-20.644843087594552,-42.48811271328769,-16.02462817138355,50000
house,5,0.00038068381153269867,0.0,-50.439795433159254,-33.2877018186493,-54.916817314102936,-28.704600159828274,50000
house,8,0.0030806841157774833,2e-05,-34.65171832981806,-17.47812536083989,-39.19875028644575,-12.83728826308706,50000
house,10,0.745456425827846,0.73062,-4.5099078007089215,12.705935982419241,-8.92911070612784,17.342749439456625,50000
house,15,0.03909156195471561,0.0292,-21.214714599622674,-4.133480036320734,-25.764698950325247,0.4698760109162325,50000
house,16,2.5810693977167756e-05,0.0,-82.2029328383231,-65.10008694802886,-86.75268309590449,-60.55201362945352,50000
house,19,0.9991117525584292,1.0,26.23670951781723,43.386644237436926,21.74709933463259,47.97366529159715,50000
house,20,0.009193911313622278,0.00136,-28.433215824669936,-11.238433510362617,-32.94812696036713,-6.706478000301052,50000
house,21,0.02122852931183657,0.01002,-24.098217472016376,-6.997533059324954,-28.786862516181888,-2.3397193773616887,50000
house,25,0.43051177459512513,0.43854,-9.593165761393236,7.578458910809442,-14.027872054943959,11.9913608571044,50000
house,28,0.003746013363956051,4e-05,-33.56949682951497,-16.286438125152944,-38.17848097497346,-11.829525227091674,50000
house,32,0.6967781301794638,0.68244,-5.328283577705276,11.829565963897922,-9.959028321432893,16.390415053193937,50000
house,37,0.0003324104478090643,0.0,-51.67914900000043,-34.58413628373434,-56.28944436611283,-30.04568625563332,50000
house,38,0.00040936565267925566,0.0,-49.82613177606456,-32.735577212866964,-54.26032846151172,-28.258993663198158,50000
house,40,6.947702750794713e-05,0.0,-68.62723922936739,-51.392657718706886,-73.09085492786426,-46.87638834146669,50000
house,41,0.0003076085320455555,0.0,-52.3989427656521,-35.244860848119636,-56.861788829013086,-30.946406138182795,50000
house,43,0.000571932340724035,0.0,-46.90331741294671,-29.757016078180786,-51.39797174743957,-25.310907135759035,50000
house,45,0.00048322192417936627,0.0,-48.33742400721741,-31.162755845283467,-52.80907506952907,-26.487322435846178,50000
house,47,0.048511795879937196,0.03982,-20.38016369739232,-3.1244223166604237,-24.85494289170552,1.3796599656738435,50000
house,50,8.569145424339163e-05,0.0,-66.01035440814655,-48.839947604442195,-70.59751980482955,-44.25020598776245,50000
house,63,0.03827521303192118,0.02774,-21.374344551877194,-4.245743406896505,-25.996013480391923,0.3031575162447051,50000
house,68,0.6211996964110382,0.60814,-6.665466194804932,10.433796459730916,-11.275048263846895,15.092069557214792,50000
house,69,0.9291820472083059,0.9341,1.4631737272384304,18.624913002611876,-2.8963135150859323,23.21596107816463,50000
house,70,0.9995838418273728,1.0,32.49805261265316,49.74545314613004,28.037757467386253,54.30974266147881,50000
house,74,0.9986026474836309,1.0,22.886028075172014,39.949750531874635,18.34402295688008,44.48264079877425,50000
house,75,0.004170968940878766,8e-05,-32.821240325307514,-15.620512655132067,-37.34560794723686,-11.08218235062798,50000
house,80,0.001335273066228484,0.0,-40.32914980893585,-23.122040739725836,-44.9171057826292,-18.603459324012697,50000
house,82,0.9989556708347083,1.0,24.932986623042236,42.156135742705544,20.24486277583066,46.639186709541875,50000
house,85,0.004152419218956098,0.0002,-32.77131111590995,-15.783988565898051,-37.324159790202735,-11.335518989433242,50000
house,96,0.00039894892672245945,0.0,-50.062851656848075,-32.84759575494204,-54.66122563329129,-28.449204531878312,50000
house,99,0.9983564801518701,1.0,21.62660834713043,38.83909590857255,17.123402469976583,43.442944300311204,50000
house,101,0.003241275373471647,6e-05,-34.36208828358933,-17.289785774020615,-39.05503910904263,-12.669191253510276,50000
senate,2,0.7077409314234338,0.69502,-5.196434075370641,11.979974194532476,-9.610971650476047,16.449417963023482,50000
senate,3,0.0006513851199350214,0.0,-45.84291437409329,-28.679404776332543,-50.40412930761877,-24.24339350617163,50000
senate,6,0.0001444465491732543,0.0,-60.0509027293654,-42.97825247552857,-64.65095542089064,-38.44196848258054,50000
senate,7,0.09960081521832434,0.10106,-17.07217426554034,0.04486049091804006,-21.58446068730323,4.607577355724207,50000
senate,8,0.00014059058842398926,0.0,-60.34674781597983,-43.211909311216154,-64.89015358595447,-38.631729126950084,50000
senate,11,0.0001994963013529767,0.0,-56.67184974287288,-39.44039330028159,-61.244112798505114,-34.84205235103132,50000
senate,13,0.00023788626046971451,0.0,-54.8850793556646,-37.800798978979174,-59.47190382940003,-33.318591605737005,50000
senate,14,0.00041952621018997446,0.0,-49.64159112717555,-32.504694873531854,-54.1472856740976,-28.02900004033897,50000
senate,16,0.007491505782598417,0.00106,-29.497893534880017,-12.312989284261233,-34.02134761293298,-7.75000197061768,50000
senate,22,8.251986820854493e-05,0.0,-66.52072143916973,-49.281315358273304,-71.0836995932066,-44.651973430697176,50000
senate,23,0.8593408028262168,0.85198,-1.602504026475423,15.572251188224257,-6.202878368115808,20.056702186614025,50000
senate,25,0.0030022355220254717,6e-05,-34.8474339895032,-17.678254640860366,-39.43254656144042,-13.089268266243241,50000
senate,28,0.8066188900084581,0.79608,-3.1159435085769376,14.100334359421824,-7.641545817312351,18.72939391760102,50000
senate,29,9.207222765461038e-05,0.0,-65.1454766197333,-48.05358513295784,-69.6819729672538,-43.5982310845187,50000
senate,32,0.0001549008948439261,0.0,-59.37159267123907,-42.19842693636463,-63.92047028260911,-37.684361194013306,50000
