validation,holdout,specification,n,brier,log_loss,auc,calibration_mae
forward_cycle,2020,isotonic_margin,268,0.0654273422500708,0.2475611129710782,0.943184840425532,0.08007818568753293
forward_cycle,2020,logit_demographic_reactivity,268,0.06370446321578366,0.19979245781921642,0.9786569148936171,0.05696168876626988
forward_cycle,2020,logit_margin,268,0.06358383227204363,0.20019388680940867,0.9782579787234043,0.053052758037894866
forward_cycle,2020,logit_margin_chamber,268,0.06415842152169911,0.20195039562102476,0.9777260638297872,0.05171312626805101
forward_cycle,2020,logit_margin_incumbency,268,0.03366573565616236,0.12430014341979302,0.9876329787234042,0.02008603749784387
forward_cycle,2020,normal_margin,268,0.05804171251953972,0.2061643839762302,0.9782579787234043,0.07793716343282475
forward_cycle,2020,spline_margin_incumbency,268,0.03531170077483481,0.12855486176788017,0.9858377659574468,0.013376323551374225
forward_cycle,2022,isotonic_margin,302,0.02109045466902081,0.08463251742198548,0.9976447163947164,0.0472850726882392
forward_cycle,2022,logit_demographic_reactivity,302,0.05961281042600815,0.19571177770782416,0.989024864024864,0.0889264460399237
forward_cycle,2022,logit_margin,302,0.024821479314767338,0.10222157838915451,0.9979118104118104,0.047984075816081294
forward_cycle,2022,logit_margin_chamber,302,0.02494865060302004,0.10247548683203482,0.9978632478632479,0.04798644779777804
forward_cycle,2022,logit_margin_incumbency,302,0.016306520984894848,0.07272267700813559,0.9992229992229993,0.03713473751411949
forward_cycle,2022,normal_margin,302,0.01931469592227993,0.06673893139827355,0.9979118104118104,0.02371143752621063
forward_cycle,2022,spline_margin_incumbency,302,0.01320056887776998,0.06037443038958941,0.9993201243201243,0.027193131035709882
forward_cycle,2024,isotonic_margin,335,0.018004330619567358,0.06947084029026243,0.9975899147200594,0.018986489556445017
forward_cycle,2024,logit_demographic_reactivity,335,0.021609382276852412,0.08200294625452711,0.9969873934000741,0.026080136767059614
forward_cycle,2024,logit_margin,335,0.01911300315963886,0.0749750399464565,0.9977753058954395,0.025643299223844163
forward_cycle,2024,logit_margin_chamber,335,0.019178513468624044,0.07506764466176757,0.9976826103077494,0.019669506264998766
forward_cycle,2024,logit_margin_incumbency,335,0.036709956032466205,0.11922746859289209,0.9975899147200593,0.05929516231882932
forward_cycle,2024,normal_margin,335,0.017029211371871245,0.05502353593831606,0.9977753058954394,0.012700921804968028
forward_cycle,2024,spline_margin_incumbency,335,0.019133605665942233,0.07961750040001188,0.9976362625139042,0.029242812294639577
leave_state_out,AR,isotonic_margin,102,0.03994328180500217,0.1285266502828412,0.986574074074074,0.08282923947397636
leave_state_out,AR,logit_demographic_reactivity,102,0.038973409386188006,0.1255405353691109,0.9768518518518519,0.03438130462645204
leave_state_out,AR,logit_margin,102,0.034683814103931065,0.11445148016057363,0.9861111111111112,0.03306430454558957
leave_state_out,AR,logit_margin_chamber,102,0.03470421275401897,0.11451391933396056,0.9861111111111112,0.03328273486367186
leave_state_out,AR,logit_margin_incumbency,102,0.023968560230931128,0.08803568741377846,0.9907407407407408,0.02557271933681936
leave_state_out,AR,normal_margin,102,0.035664399879835516,0.1140329687259342,0.9861111111111112,0.055195283283445876
leave_state_out,AR,spline_margin_incumbency,102,0.022566486830206525,0.08140519398598979,0.9935185185185185,0.020555658465198134
leave_state_out,GA,isotonic_margin,430,0.047124433621058746,0.17370049221368816,0.9794166666666666,0.028427784618489573
leave_state_out,GA,logit_demographic_reactivity,430,0.06322763874355479,0.1985153194377246,0.978095238095238,0.042074480008306506
leave_state_out,GA,logit_margin,430,0.047003450749200856,0.15227273324560905,0.9874285714285713,0.038167149723939794
leave_state_out,GA,logit_margin_chamber,430,0.04702530961205668,0.15230986276535954,0.9873809523809524,0.03810225362204022
