scenario,cycle,chamber,district,polling_federal_margin,generic_downballot_lag,incumbency_adjustment,fundraising_adjustment,expected_cmo_adjustment,adjustment_weight,predicted_dem_margin,dem_win_probability,finance_complete,finance_model_applied,model_used,fundraising_treatment,dem_fundraising,rep_fundraising,fundraising_gap_log50,fundraising_gap_structural_expectation,fundraising_gap_residualized,fundraising_gap_within_cycle_expectation,fundraising_gap_within_cycle_residualized,dem_finance_status,rep_finance_status,incumbency_balance,current_national_poll_margin,current_national_pollsters,poll_average_as_of
demographic_transfer_orthogonal_sensitivity,2026,house,2,-63.49062890537633,2.030223738836368,-8.845753773052643,4.770137735236562,-2.0453922989797126,1.0,-65.53602120435605,4.5503413100154535e-05,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,4433.57,57843.26,-0.6836978175524621,-1.280251288383375,0.5965534708309129,-1.5318196069332772,0.8481217893808152,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
demographic_transfer_orthogonal_sensitivity,2026,house,4,-29.219723622884857,2.030223738836368,-8.845753773052643,0.9188871511428971,-5.896642883073378,1.0,-35.11636650595823,0.0008526201315589589,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,19323.3,102782.88,-0.7902367595474207,-0.905152795465415,0.11491603591799437,-1.3948405814468814,0.6046038218994607,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
demographic_transfer_orthogonal_sensitivity,2026,house,5,-41.902324370500615,2.030223738836368,-8.845753773052643,-0.9323972559084686,-7.747927290124744,1.0,-49.65025166062536,0.00017200408936930933,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,4547.92,123091.47,-1.1547406016976214,-1.038134991948319,-0.11660560974930245,-1.4434032177282612,0.2886626160306398,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
demographic_transfer_orthogonal_sensitivity,2026,house,8,-26.11246426375141,2.030223738836368,0.0,-4.471437507251553,-2.4412137684151847,1.0,-28.553678032166594,0.002113399836922709,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,0.0,79275.0,-0.9499189128541391,-0.3907208953943446,-0.5591980174597945,-0.5936298813219608,-0.3562890315321783,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17
demographic_transfer_orthogonal_sensitivity,2026,house,10,4.086021331415267,2.030223738836368,8.845753773052644,8.610641925316557,19.48661943720557,1.0,23.572640768620836,0.9953207109170121,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,316793.05,28796.0,1.5379355583932934,0.4610885967876812,1.0768469616056122,0.4488413800188089,1.0890941783744845,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17
demographic_transfer_orthogonal_sensitivity,2026,house,15,-12.70290140191546,2.030223738836368,-8.845753773052643,-3.6754605582308804,-10.490990592447154,1.0,-23.193891994362616,0.004992215910486224,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,10047.43,144291.84,-1.174226608647971,-0.7145734760522054,-0.45965313259576546,-1.3252445421559647,0.15101793350799375,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
demographic_transfer_orthogonal_sensitivity,2026,house,16,-73.64992533328218,2.030223738836368,-8.845753773052643,1.330169347721898,-5.485360686494377,1.0,-79.13528601977656,1.8176252158540728e-05,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,2310.29,127250.0,-1.2203680641720198,-1.3867190555311901,0.1663509913591703,-1.570699664478083,0.35033160030606325,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
demographic_transfer_orthogonal_sensitivity,2026,house,19,34.79746144883655,2.030223738836368,8.845753773052644,1.7442428654545665,12.620220377343578,1.0,47.41768182618013,0.9997862962170305,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,132809.76,1500.0,1.2668642416099754,1.0487292121594312,0.2181350294505442,1.0831293430727515,0.1837348985372238,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17
demographic_transfer_orthogonal_sensitivity,2026,house,20,-19.793763940644155,2.030223738836368,-8.845753773052643,-12.481273995507618,-19.296804029723894,1.0,-39.09056797036805,0.0005242032311664601,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,8030.92,572080.0,-2.3720927298864853,-0.8111844845310849,-1.5609082453554004,-1.3605250939111786,-1.0115676359753067,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
demographic_transfer_orthogonal_sensitivity,2026,house,21,-15.561935208509794,2.030223738836368,-8.845753773052643,-10.3610408113192,-17.176570845535473,1.0,-32.73850605404527,0.0011655288443916654,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,2397.56,355900.0,-2.0472467984875298,-0.7514949354427031,-1.2957518630448268,-1.3387275756054007,-0.7085192228821291,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
demographic_transfer_orthogonal_sensitivity,2026,house,25,-1.0596962261872145,2.030223738836368,-8.845753773052643,-5.101456187054079,-11.916986221270353,1.0,-12.976682447457566,0.036822551118124325,True,True,polling_federal_plus_incumbency_orthogonal_fundraising,orthogonal,6257.2,137827.0,-1.2055872935150738,-0.5675991339283106,-0.6379881595867631,-1.2236063917590037,0.018019098243929887,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17
