state,chamber,district_2022,prior_year,prior_party,prior_candidate,normalized_name,normalized_surname,uncont,exper,candid
TX,upper,31.0,2022,R,"sparks, kevin",KEVIN SPARKS,SPARKS,1,none,419072
TX,upper,30.0,2022,R,"springer, drew",DREW SPRINGER,SPRINGER,1,other,225762
TX,upper,29.0,2022,D,"blanco, cesar j",CESAR J BLANCO,BLANCO,0,inc,333684
TX,upper,13.0,2022,D,"miles, borris l",BORRIS L MILES,MILES,1,inc,280440
TX,upper,12.0,2022,R,"parker, tan",TAN PARKER,PARKER,0,other,280265
TX,upper,11.0,2022,R,"middleton, mayes",MAYES MIDDLETON,MIDDLETON,1,other,389586
TX,upper,10.0,2022,R,"king, phil",PHIL KING,KING,1,other,225626
TX,upper,9.0,2022,R,"hancock, kelly",KELLY HANCOCK,HANCOCK,0,inc,280316
TX,upper,8.0,2022,R,"paxton, angela",ANGELA PAXTON,PAXTON,0,inc,389827
TX,upper,7.0,2022,R,"bettencourt, paul",PAUL BETTENCOURT,BETTENCOURT,1,inc,333511
TX,upper,6.0,2022,D,"alvarado, carol",CAROL ALVARADO,ALVARADO,1,inc,292244
TX,upper,5.0,2022,R,"schwertner, charles",CHARLES SCHWERTNER,SCHWERTNER,1,inc,305694
TX,upper,4.0,2022,R,"creighton, c brandon",C BRANDON CREIGHTON,CREIGHTON,0,inc,280173
TX,upper,3.0,2022,R,"nichols, robert",ROBERT NICHOLS,NICHOLS,0,inc,280112
TX,upper,2.0,2022,R,"hall, bob",BOB HALL,HALL,0,inc,333503
TX,upper,1.0,2022,R,"hughes, bryan",BRYAN HUGHES,HUGHES,1,inc,224846
TX,lower,150.0,2022,R,"swanson, valoree",VALOREE SWANSON,SWANSON,0,inc,376207
TX,lower,149.0,2022,D,"vo, hubert",HUBERT VO,VO,0,inc,268813
TX,lower,148.0,2022,D,"moralesshaw, penny",PENNY MORALESSHAW,MORALESSHAW,0,inc,403785
TX,lower,147.0,2022,D,"jones, jolanda",JOLANDA JONES,JONES,1,none,419009
TX,lower,146.0,2022,D,"thierry, shawn n",SHAWN N THIERRY,THIERRY,1,inc,376199
TX,lower,145.0,2022,D,"morales, christina",CHRISTINA MORALES,MORALES,0,inc,403779
TX,lower,144.0,2022,D,"perez, mary a",MARY A PEREZ,PEREZ,1,inc,319861
TX,lower,143.0,2022,D,"hernandez, ana l",ANA L HERNANDEZ,HERNANDEZ,1,inc,280432
TX,lower,142.0,2022,D,"dutton, harold v, jr",HAROLD V DUTTON,DUTTON,1,inc,222302
TX,lower,141.0,2022,D,"thompson, senfronia 1",SENFRONIA 1 THOMPSON,THOMPSON,1,inc,222286
TX,lower,140.0,2022,D,"luciowalle, armando l",ARMANDO L LUCIOWALLE,WALLE,1,inc,292234
TX,lower,139.0,2022,D,"johnson, jarvis d",JARVIS D JOHNSON,JOHNSON,1,inc,376190
TX,lower,138.0,2022,R,"hull, lacey",LACEY HULL,HULL,0,inc,403769
TX,lower,137.0,2022,D,"wu, gene",GENE WU,WU,1,inc,319848
TX,lower,136.0,2022,D,"bucy, john h, iii",JOHN H BUCY,BUCY,0,inc,333811
TX,lower,135.0,2022,D,"rosenthal, jon e",JON E ROSENTHAL,ROSENTHAL,0,inc,389787
TX,lower,134.0,2022,D,"johnson, ann",ANN JOHNSON,JOHNSON,0,inc,319840
TX,lower,133.0,2022,R,"deayala, mano",MANO DEAYALA,DEAYALA,0,none,418986
TX,lower,132.0,2022,R,"schofield, mike",MIKE SCHOFIELD,SCHOFIELD,0,inc,333801
