state,year,chamber,district,party,candidate,candidate_votes,normalized_name,incumbent,match_method,match_score,runner_up_score,prior_candidate,prior_year,prior_party,prior_district,party_switch
TX,2024,upper,25,R,CAMPBELL,321652,CAMPBELL,True,district_surname_match,1.0,0.0,"campbell, donna",2022.0,R,25.0,False
TX,2024,upper,30,R,HAGENBUCH,289981,HAGENBUCH,False,no_prior_winner_match,0.5,0.42105263157894735,,,,,False
TX,2024,upper,12,R,PARKER,277734,PARKER,True,district_surname_match,1.0,0.16666666666666666,"parker, tan",2022.0,R,12.0,False
TX,2024,upper,8,R,PAXTON,269743,PAXTON,True,district_surname_match,1.0,0.0,"paxton, angela",2022.0,R,8.0,False
TX,2024,upper,7,R,BETTENCORT,251489,BETTENCORT,True,district_surname_match,0.9523809523809523,0.0,"bettencourt, paul",2022.0,R,7.0,False
TX,2024,upper,17,R,HUFFMAN,238324,HUFFMAN,True,district_surname_match,1.0,0.0,"huffman, joan",2022.0,R,17.0,False
TX,2024,upper,10,R,KING,227473,KING,True,district_surname_match,1.0,0.0,"king, phil",2022.0,R,10.0,False
TX,2024,upper,15,D,COOK,200680,COOK,False,no_prior_winner_match,0.4444444444444444,0.4,,,,,False
TX,2024,upper,8,D,MELLO,184642,MELLO,False,no_prior_winner_match,0.4,0.4,,,,,False
TX,2024,upper,25,D,FOX,184312,FOX,False,no_prior_winner_match,0.25,0.2222222222222222,,,,,False
TX,2024,upper,12,D,DRAPER,174875,DRAPER,False,no_prior_winner_match,0.2857142857142857,0.2857142857142857,,,,,False
TX,2024,upper,30,D,FREY,155949,FREY,False,no_prior_winner_match,0.3333333333333333,0.3076923076923077,,,,,False
TX,2024,upper,7,D,GWINN,145100,GWINN,False,no_prior_winner_match,0.3333333333333333,0.3076923076923077,,,,,False
TX,2024,upper,10,D,MORRIS,141162,MORRIS,False,no_prior_winner_match,0.5454545454545454,0.3076923076923077,,,,,False
TX,2024,upper,17,D,CHENG,133126,CHENG,False,no_prior_winner_match,0.3333333333333333,0.3076923076923077,,,,,False
TX,2024,upper,27,R,HINOJOSA,126081,HINOJOSA,False,no_prior_winner_match,0.4,0.4,,,,,False
TX,2024,upper,15,R,TRAHAN,123515,TRAHAN,False,no_prior_winner_match,0.46153846153846156,0.46153846153846156,,,,,False
