state,year,chamber,district,legislative_turnout,matched_legislative_turnout,legislative_turnout_join_coverage
TN,1998,house,1,9517,8964,0.941893453819481
TN,1998,house,2,8824,8824,1.0
TN,1998,house,3,10633,9491,0.8925985140600019
TN,1998,house,4,7676,7223,0.9409848879624805
TN,1998,house,5,8237,7816,0.9488891586742746
TN,1998,house,6,7567,7461,0.9859918065283467
TN,1998,house,7,6233,6233,1.0
TN,1998,house,8,10540,9027,0.8564516129032258
TN,1998,house,9,9948,7440,0.7478890229191797
TN,1998,house,10,10309,9798,0.9504316616548647
TN,1998,house,11,6194,6069,0.9798191798514692
TN,1998,house,12,8128,8128,1.0
TN,1998,house,13,6733,6387,0.9486113173919501
TN,1998,house,14,10738,10738,1.0
TN,1998,house,15,3325,3325,1.0
TN,1998,house,16,7970,7825,0.9818067754077792
TN,1998,house,17,12916,12022,0.9307835243109321
TN,1998,house,18,7559,7559,1.0
TN,1998,house,19,7720,5776,0.7481865284974093
TN,1998,house,20,10100,6591,0.6525742574257426
TN,1998,house,21,7513,7513,1.0
TN,1998,house,22,10144,9888,0.9747634069400631
TN,1998,house,23,9928,8284,0.8344077356970185
TN,1998,house,24,10262,10262,1.0
TN,1998,house,25,9271,9025,0.9734656455614281
TN,1998,house,26,8514,7210,0.8468404980032888
TN,1998,house,27,9159,8330,0.9094879353641228
TN,1998,house,28,4603,4603,1.0
TN,1998,house,29,7916,7556,0.954522486104093
TN,1998,house,30,11469,11469,1.0
TN,1998,house,31,8401,7901,0.9404832758005
TN,1998,house,32,12050,10370,0.8605809128630706
TN,1998,house,33,12370,10917,0.882538399353274
TN,1998,house,34,5437,5060,0.9306602906014346
TN,1998,house,35,5920,5328,0.9
TN,1998,house,36,9155,9040,0.9874385581649372
TN,1998,house,37,12179,11346,0.931603579932671
TN,1998,house,38,9955,7797,0.7832245102963336
TN,1998,house,39,6543,6543,1.0
TN,1998,house,40,6787,6485,0.955503167820834
TN,1998,house,41,6111,5928,0.970054000981836
TN,1998,house,42,11527,11527,1.0
TN,1998,house,43,6597,6549,0.9927239654388358
TN,1998,house,44,5994,5994,1.0
TN,1998,house,45,13513,13513,1.0
TN,1998,house,46,7012,7012,1.0
TN,1998,house,47,10279,9774,0.9508707072672439
TN,1998,house,48,11073,11073,1.0
TN,1998,house,49,13185,13185,1.0
TN,1998,house,50,8258,8107,0.9817147008961008
TN,1998,house,51,8498,6577,0.7739468110143564
TN,1998,house,52,5912,4713,0.797192151556157
TN,1998,house,53,6700,4416,0.6591044776119404
TN,1998,house,54,4747,2558,0.538866652622709
TN,1998,house,55,12031,11369,0.9449754800099742
TN,1998,house,56,14659,14210,0.9693703526843578
TN,1998,house,57,9563,9563,1.0
TN,1998,house,58,4627,3547,0.7665874216555003
TN,1998,house,59,5556,4525,0.814434845212383
TN,1998,house,60,7412,6624,0.8936859147328656
TN,1998,house,61,15576,15576,1.0
TN,1998,house,62,5687,5569,0.9792509231580798
TN,1998,house,63,11207,11207,1.0
TN,1998,house,64,7094,6716,0.9467155342542994
TN,1998,house,65,5395,4852,0.89935125115848
TN,1998,house,66,9381,7916,0.8438332800341115
TN,1998,house,67,11116,11116,1.0
TN,1998,house,68,9947,8616,0.8661908112998894
TN,1998,house,69,6878,6795,0.987932538528642
TN,1998,house,70,7678,7334,0.955196665798385
TN,1998,house,71,6987,5943,0.8505796479175611
TN,1998,house,72,9629,9480,0.9845259113095857
TN,1998,house,73,6844,6465,0.9446230274693161
TN,1998,house,74,8267,8267,1.0
TN,1998,house,75,8818,8818,1.0
TN,1998,house,76,6633,6134,0.9247700889491934
TN,1998,house,77,6584,6105,0.9272478736330498
TN,1998,house,78,4057,3992,0.9839783090953906
TN,1998,house,79,9419,9361,0.9938422337827795
TN,1998,house,80,5752,1144,0.19888734353268428
TN,1998,house,81,9345,8845,0.9464954521134297
TN,1998,house,82,4218,4218,1.0
TN,1998,house,83,8869,6481,0.7307475476378397
TN,1998,house,84,6781,6781,1.0
TN,1998,house,85,9119,9119,1.0
TN,1998,house,86,7275,7275,1.0
TN,1998,house,87,5878,5878,1.0
TN,1998,house,88,3787,3787,1.0
TN,1998,house,89,7234,7234,1.0
TN,1998,house,90,5504,5504,1.0
TN,1998,house,91,6917,5201,0.7519155703339598
TN,1998,house,92,7448,7448,1.0
TN,1998,house,93,8939,8939,1.0
TN,1998,house,94,9609,9609,1.0
TN,1998,house,95,9716,9390,0.9664470975710169
TN,1998,house,96,8232,7576,0.9203109815354713
TN,1998,house,97,8428,8109,0.9621499762695775
TN,1998,house,98,7693,7341,0.9542441180293774
TN,1998,house,99,11574,11574,1.0
TN,1998,senate,1,17789,17016,0.9565461802237337
TN,1998,senate,3,25275,24734,0.978595450049456
TN,1998,senate,5,21015,20382,0.9698786581013562
TN,1998,senate,7,24765,24765,1.0
TN,1998,senate,8,28912,24468,0.8462921970116215
TN,1998,senate,9,31092,29642,0.9533642094429435
TN,1998,senate,11,28957,23192,0.8009116966536589
TN,1998,senate,13,19292,17383,0.9010470661414057
TN,1998,senate,15,32486,32327,0.9951055839438527
TN,1998,senate,17,32797,31616,0.9639906088971553
TN,1998,senate,19,15959,13955,0.8744282223196942
TN,1998,senate,21,29710,27655,0.9308313699091215
TN,1998,senate,23,39274,35959,0.9155930131893874
TN,1998,senate,25,32651,32146,0.9845333986707911
TN,1998,senate,27,34129,33493,0.9813648217058806
TN,1998,senate,29,18826,18171,0.9652076914904919
TN,1998,senate,31,28430,26987,0.9492437565951459
TN,1998,senate,33,22460,21339,0.9500890471950133
