state,year,chamber,district,dem_votes,rep_votes,dem_margin,dem_win,incumbency_balance,result_source,prior_pres_margin,presidential_source,national_swing,environment_baseline_margin,nonwhite_share,college_share,white_college_share,acs_vintage,demographics_source,swing_x_nonwhite,swing_x_white_college,baseline_error,primary_calibration_eligible,incumbency_model_ready,open_seat,gap,dem_candidate_id,rep_candidate_id,prior_quality_differential,prior_quality_available,demographic_type
AR,2022,lower,34.0,2779.0,3276.0,-8.208092485549132,0,0.0,Klarner SLER contest file,-4.5236865580543695,2020 block results aggregated to 2022 BAF,-7.177168,-11.70085455805437,0.5464357845247161,0.1421483375959079,0.1852750809061488,2022,ACS 2022 5-year direct SLD tabulation,-3.921861426745688,-1.3297503818770222,3.492762072505238,True,True,1.0,3.492762072505238,OLLIE COLLINS,JOEY CARR,0.0,0,majority_nonwhite
AR,2022,lower,37.0,2132.0,6123.0,-48.346456692913385,0,-1.0,Klarner SLER contest file,-39.02792376631999,2020 block results aggregated to 2022 BAF,-7.177168,-46.20509176631999,0.338981952499757,0.164250295159386,0.1648479857250703,2022,ACS 2022 5-year direct SLD tabulation,-2.432930422058776,-1.1831416880104315,-2.141364926593397,True,True,0.0,-2.141364926593397,CHRISTOPHER J REED,STEVE HOLLOWELL,0.0,0,other
AR,2022,lower,49.0,1972.0,1407.0,16.720923350103583,1,1.0,Klarner SLER contest file,14.886173403160116,2020 block results aggregated to 2022 BAF,-7.177168,7.709005403160114,0.6087505545885805,0.0909142988084326,0.1056808162237057,2022,ACS 2022 5-year direct SLD tabulation,-4.369105000375413,-0.7584889724146614,9.011917946943468,True,True,0.0,9.01191794694347,JAY RICHARDSON,MAX AVERY,0.0,0,majority_nonwhite
AR,2022,lower,50.0,2553.0,4878.0,-31.287848203471945,0,0.0,Klarner SLER contest file,-21.366514842304987,2020 block results aggregated to 2022 BAF,-7.177168,-28.54368284230499,0.264577161325074,0.2773658962058439,0.3065030674846625,2022,ACS 2022 5-year direct SLD tabulation,-1.8989147357931584,-2.19982400785276,-2.744165361166953,True,True,1.0,-2.7441653611669565,DIANE OSBORNE,ZACK GRAMLICH,0.0,0,other
AR,2022,lower,55.0,3845.0,5256.0,-15.503790792220634,0,0.0,Klarner SLER contest file,-8.18771079086619,2020 block results aggregated to 2022 BAF,-7.177168,-15.36487879086619,0.2855058674278464,0.4592543113917901,0.50568,2022,ACS 2022 5-year direct SLD tabulation,-2.0491235755153814,-3.62935031424,-0.1389120013544449,True,True,1.0,-0.13891200135444493,DEE SANDERS,MATT BROWN,0.0,0,high_white_college
AR,2022,lower,56.0,4052.0,4042.0,0.1235483073881887,1,1.0,Klarner SLER contest file,-3.2542653563724384,2020 block results aggregated to 2022 BAF,-7.177168,-10.431433356372438,0.3071455293677516,0.3107521564749189,0.3432178069913355,2022,ACS 2022 5-year direct SLD tabulation,-2.2044350647212867,-2.463331861368389,10.554981663760628,True,True,0.0,10.554981663760627,STEVE MAGIE,TRENT MINNER,0.0,0,other
AR,2022,lower,58.0,1830.0,7321.0,-60.004371106982845,0,-1.0,Klarner SLER contest file,-50.861383427260826,2020 block results aggregated to 2022 BAF,-7.177168,-58.03855142726083,0.202994220018319,0.2941744448020598,0.3235181154781718,2022,ACS 2022 5-year direct SLD tabulation,-1.4569236201004383,-2.321943865830239,-1.965819679722017,True,True,0.0,-1.965819679722017,SHANTELLA S DAVIS,LES EAVES,0.0,0,other
AR,2022,lower,59.0,1308.0,6861.0,-67.97649651120088,0,-1.0,Klarner SLER contest file,-61.250887543001305,2020 block results aggregated to 2022 BAF,-7.177168,-68.4280555430013,0.1145213166358721,0.1920108468919482,0.1994682422451994,2022,ACS 2022 5-year direct SLD tabulation,-0.821938729076849,-1.4316170852584933,0.4515590318004285,True,True,0.0,0.45155903180042856,WILLIAM ALCOTT,JIM WOOTEN,0.0,0,other
AR,2022,lower,61.0,2588.0,5984.0,-39.61735884274382,0,0.0,Klarner SLER contest file,-34.9116771845453,2020 block results aggregated to 2022 BAF,-7.177168,-42.0888451845453,0.3226786939896068,0.1533078286834002,0.1821305841924398,2022,ACS 2022 5-year direct SLD tabulation,-2.315919196783998,-1.3071818006872848,2.47148634180148,True,True,1.0,2.47148634180148,BRUCE MARTIN,JEREMIAH MOORE,0.0,0,other
AR,2022,lower,62.0,3772.0,3969.0,-2.544890840976618,0,-1.0,Klarner SLER contest file,6.950437052842024,2020 block results aggregated to 2022 BAF,-7.177168,-0.2267309471579759,0.595175363558597,0.122372746289471,0.1648749451513821,2022,ACS 2022 5-year direct SLD tabulation,-4.271673573721128,-1.1833351803422547,-2.3181598938186423,True,True,0.0,-2.3181598938186423,DEXTER R MILLER,MARK D MCELROY,0.0,0,majority_nonwhite
AR,2022,lower,67.0,4675.0,5185.0,-5.172413793103448,0,-1.0,Klarner SLER contest file,-2.660601556855968,2020 block results aggregated to 2022 BAF,-7.177168,-9.837769556855967,0.4433016723967135,0.3230278545609185,0.301653457228751,2022,ACS 2022 5-year direct SLD tabulation,-3.1816505774721757,-2.16501754031156,4.665355763752519,True,True,0.0,4.665355763752519,JANNIE M COTTON,KARILYN BROWN,0.0,0,other
AR,2022,lower,69.0,2834.0,6334.0,-38.17626527050611,0,-1.0,Klarner SLER contest file,-34.85650112101546,2020 block results aggregated to 2022 BAF,-7.177168,-42.03366912101546,0.248123796240951,0.2314204627447207,0.2235572654631547,2022,ACS 2022 5-year direct SLD tabulation,-1.7808261704190738,-1.604508051849659,3.857403850509357,True,True,0.0,3.8574038505093498,ZACHARY A CULP,DAVID RAY,0.0,0,other
AR,2022,lower,70.0,5080.0,6378.0,-11.328329551405131,0,-1.0,Klarner SLER contest file,-4.167089658543713,2020 block results aggregated to 2022 BAF,-7.177168,-11.344257658543713,0.2609821834855963,0.4009174311926605,0.4254589226602467,2022,ACS 2022 5-year direct SLD tabulation,-1.8731129758829503,-3.053590165031597,0.0159281071385812,True,True,0.0,0.015928107138581282,S JUDSONSCANLON,CARLTON WING,0.0,0,high_white_college
