specification,train_cycle,test_cycle,train_races,test_races,mae,rmse,mean_error,winner_accuracy,brier,mae_improvement_vs_generic_ballot
generic_ballot_baseline,2018,2022,64,33,7.073410990280289,9.26565407336953,0.13836807318722752,0.9696969696969697,0.019708971631479943,0.0
generic_war_structural,2018,2022,64,33,9.489546161819012,11.545335820086818,0.939119822318651,0.9090909090909091,0.07093642032474305,-2.4161351715387234
