state,year,chamber,office,allocation_method,rows,allocated_dem_votes,allocated_rep_votes
NC,2004,house,USP,whole_precinct,2680,1004913.0,1372860.0
NC,2004,house,USS,legislative_turnout_share,729,548055.0,544427.0
NC,2004,house,USS,whole_precinct,2680,1084471.0,1247022.0
NC,2004,senate,GOV,legislative_turnout_share,190,345064.0,231713.0
NC,2004,senate,GOV,whole_precinct,2912,1594090.0,1263308.0
NC,2004,senate,USP,legislative_turnout_share,190,300559.0,284691.0
NC,2004,senate,USP,whole_precinct,2912,1225290.0,1676475.0
NC,2004,senate,USS,legislative_turnout_share,190,311936.0,264981.0
NC,2004,senate,USS,whole_precinct,2912,1320591.0,1526469.0
NC,2010,house,USS,legislative_turnout_share,425,118949.0,133645.0
NC,2010,house,USS,whole_precinct,2483,1022751.0,1320437.0
NC,2010,senate,USS,legislative_turnout_share,113,36224.0,30816.0
NC,2010,senate,USS,whole_precinct,2636,1105476.0,1423266.0
NC,2012,house,GOV,legislative_turnout_share,903,454439.0,406836.0
NC,2012,house,GOV,unallocatable,420,0.0,0.0
NC,2012,house,GOV,whole_precinct,2439,1477138.0,2033867.0
NC,2012,house,USP,legislative_turnout_share,903,504784.0,374575.0
NC,2012,house,USP,unallocatable,420,0.0,0.0
NC,2012,house,USP,whole_precinct,2439,1673603.0,1895817.0
NC,2012,senate,GOV,legislative_turnout_share,553,334900.0,281706.0
NC,2012,senate,GOV,unallocatable,139,0.0,0.0
NC,2012,senate,GOV,whole_precinct,2681,1596676.0,2158997.0
NC,2012,senate,USP,legislative_turnout_share,553,372843.0,256524.0
NC,2012,senate,USP,unallocatable,139,0.0,0.0
NC,2012,senate,USP,whole_precinct,2681,1805540.0,2013861.0
OK,2010,house,GOV,legislative_turnout_share,104,19760.0,30089.0
OK,2010,house,GOV,whole_precinct,1022,186793.0,266077.0
OK,2010,house,USS,legislative_turnout_share,104,13716.0,34122.0
OK,2010,house,USS,whole_precinct,1022,124871.0,304772.0
OK,2010,senate,GOV,legislative_turnout_share,34,11092.0,16215.0
OK,2010,senate,GOV,whole_precinct,476,85488.0,113583.0
OK,2010,senate,USS,legislative_turnout_share,34,8088.0,18171.0
OK,2010,senate,USS,whole_precinct,476,59324.0,129326.0
OK,2012,house,USP,legislative_turnout_share,14,23850.0,26662.0
OK,2012,house,USP,whole_precinct,639,148185.0,282122.0
OK,2012,senate,USP,legislative_turnout_share,4,23850.0,26662.0
OK,2012,senate,USP,whole_precinct,606,105670.0,214429.0
SC,2010,house,GOV,legislative_turnout_share,753,103985.0,107094.0
SC,2010,house,GOV,whole_precinct,1749,445089.0,496410.0
SC,2010,house,USS,legislative_turnout_share,753,62792.0,125612.0
SC,2010,house,USS,whole_precinct,1749,255922.0,582804.0
SC,2012,house,USP,legislative_turnout_share,1752,349947.0,358150.0
SC,2012,house,USP,unallocatable,289,76.0,142.0
SC,2012,house,USP,whole_precinct,1764,511552.0,705620.0
SC,2012,senate,USP,legislative_turnout_share,693,215966.0,192825.0
SC,2012,senate,USP,unallocatable,164,0.0,0.0
SC,2012,senate,USP,whole_precinct,2138,648446.0,876905.0
TN,2002,house,GOV,legislative_turnout_share,616,281200.0,270029.0
TN,2002,house,GOV,unallocatable,76,0.0,0.0
TN,2002,house,GOV,whole_precinct,2206,555835.0,516761.0
TN,2002,house,USS,legislative_turnout_share,616,241175.0,310700.0
TN,2002,house,USS,unallocatable,76,0.0,0.0
TN,2002,house,USS,whole_precinct,2206,486883.0,580695.0
TN,2002,senate,GOV,legislative_turnout_share,16,99620.0,87331.0
TN,2002,senate,GOV,unallocatable,6,0.0,0.0
TN,2002,senate,GOV,whole_precinct,1246,395454.0,375326.0
TN,2002,senate,USS,legislative_turnout_share,16,87475.0,100288.0
TN,2002,senate,USS,unallocatable,6,0.0,0.0
TN,2002,senate,USS,whole_precinct,1246,341642.0,427313.0
TN,2004,house,USP,legislative_turnout_share,644,430959.0,577655.0
TN,2004,house,USP,unallocatable,53,0.0,0.0
TN,2004,house,USP,whole_precinct,2210,604201.0,805681.0
TN,2004,senate,USP,legislative_turnout_share,6,91720.0,72819.0
TN,2004,senate,USP,whole_precinct,1262,532893.0,734137.0
TN,2006,house,GOV,legislative_turnout_share,455,198706.0,83055.0
TN,2006,house,GOV,unallocatable,17,0.0,0.0
TN,2006,house,GOV,whole_precinct,2095,1048070.0,457471.0
TN,2006,house,USS,legislative_turnout_share,455,136689.0,148111.0
TN,2006,house,USS,unallocatable,17,0.0,0.0
TN,2006,house,USS,whole_precinct,2095,743287.0,781800.0
TN,2006,senate,GOV,legislative_turnout_share,3,163.0,59.0
TN,2006,senate,GOV,whole_precinct,1176,674004.0,288106.0
TN,2006,senate,USS,legislative_turnout_share,3,139.0,89.0
TN,2006,senate,USS,whole_precinct,1176,480367.0,494504.0
TN,2008,house,USP,legislative_turnout_share,466,202797.0,255643.0
TN,2008,house,USP,unallocatable,8,0.0,0.0
TN,2008,house,USP,whole_precinct,2081,884640.0,1223535.0
TN,2008,house,USS,legislative_turnout_share,466,143039.0,279495.0
TN,2008,house,USS,unallocatable,8,0.0,0.0
TN,2008,house,USS,whole_precinct,2081,624197.0,1299982.0
TN,2008,senate,USP,whole_precinct,1125,508612.0,744232.0
TN,2008,senate,USS,whole_precinct,1125,359817.0,785144.0
TN,2010,house,GOV,legislative_turnout_share,476,86670.0,164039.0
TN,2010,house,GOV,unallocatable,6,0.0,0.0
TN,2010,house,GOV,whole_precinct,1992,443181.0,877506.0
TN,2010,senate,GOV,legislative_turnout_share,3,932.0,1229.0
TN,2010,senate,GOV,whole_precinct,1139,290258.0,551450.0
TN,2012,house,USP,legislative_turnout_share,607,255509.0,240312.0
TN,2012,house,USP,whole_precinct,1826,705200.0,1222018.0
TN,2012,house,USS,legislative_turnout_share,607,193271.0,257848.0
TN,2012,house,USS,whole_precinct,1827,512611.0,1248595.0
TN,2012,senate,USP,legislative_turnout_share,2,3395.0,2903.0
TN,2012,senate,USP,whole_precinct,1097,433610.0,770640.0
TN,2012,senate,USS,legislative_turnout_share,2,2226.0,3177.0
TN,2012,senate,USS,whole_precinct,1097,317433.0,784581.0
TX,2002,house,GOV,whole_precinct,8400,1818503.0,2632069.0
TX,2002,house,USS,whole_precinct,8400,1955308.0,2495616.0
TX,2002,senate,GOV,whole_precinct,8400,1818503.0,2632069.0
TX,2002,senate,USS,whole_precinct,8400,1955308.0,2495616.0
TX,2004,house,USP,whole_precinct,8400,2832499.0,4526716.0
TX,2004,senate,USP,whole_precinct,8400,2832499.0,4526716.0
TX,2006,house,GOV,whole_precinct,8400,1311346.0,1717503.0
TX,2006,house,USS,whole_precinct,8400,1556462.0,2662572.0
TX,2006,senate,GOV,whole_precinct,8400,1311346.0,1717503.0
TX,2006,senate,USS,whole_precinct,8400,1556462.0,2662572.0
TX,2008,house,USP,whole_precinct,8400,3528518.0,4479038.0
TX,2008,house,USS,whole_precinct,8400,3389189.0,4336883.0
TX,2008,senate,USP,whole_precinct,8400,3528518.0,4479038.0
