chamber,dem_modeled_seats,probability,draws
house,7,0.00034,50000
house,8,0.01806,50000
house,9,0.62054,50000
house,10,0.31904,50000
house,11,0.0381,50000
house,12,0.00362,50000
house,13,0.00028,50000
house,14,2e-05,50000
senate,1,2e-05,50000
senate,2,0.2396,50000
senate,3,0.6603,50000
senate,4,0.10004,50000
senate,5,4e-05,50000
