state,year,chamber,baseline_office,minimum_party_vote_coverage,allocated_votes,source_votes,source_legislative_turnout,matched_legislative_turnout,legislative_turnout_join_coverage
AR,2008,house,USP,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401
AR,2008,house,USS,0.31571890843548744,149766.0,474365.0,199627.0,174568.0,0.8744708882065051
AR,2008,senate,USP,0.04260473778826857,29678.0,672069.0,29231.0,29231.0,1.0
AR,2008,senate,USS,0.04122985464779231,19558.0,474365.0,29231.0,26319.0,0.9003797338442064
GA,2012,house,USP,1.0,3852515.0,3852515.0,3222032.0,3222032.0,1.0
GA,2012,senate,USP,1.0,3852515.0,3852515.0,3218705.0,3218705.0,1.0
GA,2014,house,GOV,1.0,2420873.0,2420873.0,2107049.0,2107049.0,1.0
GA,2014,house,USS,1.0,2449126.0,2449126.0,2107049.0,2107049.0,1.0
GA,2014,senate,GOV,1.0,2420873.0,2420873.0,2139034.0,2139034.0,1.0
GA,2014,senate,USS,1.0,2449126.0,2449126.0,2139034.0,2139034.0,1.0
GA,2016,house,USP,1.0,3967067.0,3967067.0,3486621.0,3486621.0,1.0
GA,2016,house,USS,1.0,3735532.0,3735532.0,3486621.0,3486621.0,1.0
GA,2016,senate,USP,1.0,3967067.0,3967067.0,3507974.0,3507974.0,1.0
GA,2016,senate,USS,1.0,3735532.0,3735532.0,3507974.0,3507974.0,1.0
MO,2000,house,GOV,0.9999363567979337,2283925.0,2284059.0,2091256.0,2091256.0,1.0
MO,2000,house,USP,0.9993478575102276,2299709.0,2301062.0,2091256.0,2091256.0,1.0
MO,2000,house,USS,0.9999098745155756,2334486.0,2334663.0,2091256.0,2091256.0,1.0
MO,2000,senate,GOV,0.48246320406397203,1125923.0,2284059.0,1044014.0,1044014.0,1.0
MO,2000,senate,USP,0.47814398230475225,1132981.0,2301062.0,1044014.0,1044014.0,1.0
MO,2000,senate,USS,0.47830907091125613,1150565.0,2334663.0,1044014.0,1044014.0,1.0
MO,2002,house,USS,0.9999005382697723,1848629.0,1848809.0,1760156.0,1760156.0,1.0
MO,2002,senate,USS,0.5317448688976752,1003147.0,1848809.0,882036.0,882036.0,1.0
MO,2004,house,GOV,0.9987491058181178,2681538.0,2684458.0,2491681.0,2491672.0,0.9999963879806444
MO,2004,house,USP,0.9985109841719603,2711621.0,2714982.0,2491681.0,2491672.0,0.9999963879806444
MO,2004,house,USS,0.9985823844431801,2673316.0,2676400.0,2491681.0,2491670.0,0.9999955853096765
MO,2004,senate,GOV,0.49101113602494306,1406493.0,2684458.0,1291646.0,1290972.0,0.9994781851993503
MO,2004,senate,USP,0.49413536974819355,1422884.0,2714982.0,1291646.0,1290972.0,0.9994781851993503
MO,2004,senate,USS,0.494364400108819,1401589.0,2676400.0,1291646.0,1290972.0,0.9994781851993503
MO,2006,house,USS,0.9962126201145216,2054885.0,2062466.0,1987333.0,1981019.0,0.9968228776958868
MO,2006,senate,USS,0.5014199121236901,1059443.0,2062466.0,1052307.0,1049074.0,0.9969277026571143
MO,2008,house,GOV,0.9976134449640345,2811448.0,2816978.0,2657471.0,2656980.0,0.999815237870893
MO,2008,house,USP,0.9975328810858366,2881673.0,2887728.0,2657471.0,2656933.0,0.9997975518829745
MO,2008,senate,GOV,0.483312594709803,1416939.0,2816978.0,1325727.0,1325727.0,1.0
MO,2008,senate,USP,0.4878559927404317,1452779.0,2887728.0,1325727.0,1325727.0,1.0
MO,2010,house,USS,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589
MO,2010,senate,USS,0.5418342566593306,1000146.0,1843896.0,939241.0,939241.0,1.0
MO,2012,house,GOV,0.9949184022615524,2641096.0,2654320.0,2463406.0,2460967.0,0.9990099074208636
MO,2012,house,USP,0.9915544585645683,2685363.0,2706235.0,2463406.0,2454240.0,0.9962791354734055
MO,2012,house,USS,0.9922094098623281,2542829.0,2560283.0,2463406.0,2455404.0,0.9967516519810377
MO,2012,senate,GOV,0.45268623978142924,1300384.0,2654320.0,1193447.0,1163897.0,0.9752397886123138
MO,2012,senate,USP,0.4568727617122863,1327835.0,2706235.0,1193447.0,1163897.0,0.9752397886123138
MO,2012,senate,USS,0.4529694473051837,1258645.0,2560283.0,1193447.0,1163897.0,0.9752397886123138
MO,2016,house,GOV,0.9968474040207929,2703886.0,2710757.0,2536490.0,2529734.0,0.9973364767848484
MO,2016,house,USP,0.9964381346469132,2658788.0,2665579.0,2536490.0,2529733.0,0.997336082539257
MO,2016,house,USS,0.9968404860790647,2671801.0,2678658.0,2536490.0,2529734.0,0.9973364767848484
MO,2016,senate,GOV,0.4815574470994428,1433285.0,2710757.0,1361313.0,1356326.0,0.996336625008356
MO,2016,senate,USP,0.47913560960068635,1410923.0,2665579.0,1361313.0,1356325.0,0.9963358904234367
MO,2016,senate,USS,0.4779848207199639,1417474.0,2678658.0,1361313.0,1356326.0,0.996336625008356
