district_result_id,build_run_id,result_source_file_id,assignment_source_file_id,contract_version,state_code,election_cycle,plan_cycle,chamber,district,geography_unit_id,dem_votes,rep_votes,other_votes,total_votes,two_party_dem_margin,allocated_result_geographies,allocation_method,allocation_status
PRESDIST-9D439A13EBFC2C5958990842,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,36,,47604.33999999989,43653.279999999926,711.1699999999989,91968.78999999983,0.0432956721860593,2951,exact_2020_census_block_assignment,passed
PRESDIST-811C18F1EC9817F5CFE4330D,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,37,,44679.79000000006,35687.47000000001,812.0299999999994,81179.29000000002,0.11189033942428848,1435,exact_2020_census_block_assignment,passed
PRESDIST-D9BDBA1D24D62BCA130FAAF0,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,38,,51795.610000000015,44266.740000000194,865.54,96927.88999999993,0.07837482634975934,2040,exact_2020_census_block_assignment,passed
PRESDIST-4F52BBE6AA35747A8EFD1E01,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,39,,46011.749999999854,44795.99000000003,657.7899999999986,91465.53000000003,0.0133882860646001,2842,exact_2020_census_block_assignment,passed
PRESDIST-7C045884186983938170DDD3,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,4,,31646.72000000006,67947.83000000003,1708.8999999999946,101303.44999999981,-0.3644889203274671,3905,exact_2020_census_block_assignment,passed
PRESDIST-A4EA317201643FEEEC6A8CA8,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,40,,52804.14000000002,21143.169999999966,421.4199999999999,74368.73000000017,0.42815580445049406,2155,exact_2020_census_block_assignment,passed
PRESDIST-16A603320AF2E48330BAFE44,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,41,,43009.95000000006,11841.370000000012,298.319999999999,55149.63999999993,0.5682375556322075,1780,exact_2020_census_block_assignment,passed
PRESDIST-AD8E5257257C5A2282259245,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,42,,61379.98000000004,42196.56000000003,944.019999999998,104520.55999999998,0.18521008714907836,3538,exact_2020_census_block_assignment,passed
PRESDIST-8F604DB076FBB8D372C3DE66,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,43,,45060.440000000024,27429.810000000038,528.3200000000005,73018.57,0.24321381151258234,1599,exact_2020_census_block_assignment,passed
PRESDIST-3446706BB2FC7F4B27F5A45C,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,44,,46985.47000000005,28861.56,469.8099999999999,76316.83999999997,0.23895345671412627,1937,exact_2020_census_block_assignment,passed
PRESDIST-B7A9D3470040A182C8DC2A0F,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,45,,48686.20000000013,43566.33000000005,688.7599999999984,92941.29000000033,0.055498423728867555,2715,exact_2020_census_block_assignment,passed
