"path","disposition","action","authority_route","code_reference_detected","manifest_reference_detected","reference_scan_scope","sha256_before","sha256_after","reason"
"AGENTS.local-before-rebase.md","archived_instruction_backup","updated","project_docs/CANONICAL_PIPELINES.md","false","false","basename_in_scripts_and_processed_public_manifest_json","862fe53e657de4d232f1bdb2f62dda46553a27826e8928137dfbd180c07c086f","4a613b96fe034ef2e7f93dadc38c99c3e7aaacd23885a33798d8b4f5e16a7fc7","Backup explicitly marked non-operative; original instruction body retained."
"AGENTS.md","maintained_guidance_retained","preserved","project_docs/CANONICAL_PIPELINES.md","false","false","basename_in_scripts_and_processed_public_manifest_json","9a13efcf692aa1b2618405c989d269dd06068a8393f49f84a583ba5630a63bb4","9a13efcf692aa1b2618405c989d269dd06068a8393f49f84a583ba5630a63bb4","Consistent routing/contract guidance retained; mutable counts remain in scoped manifests and audits."
"artifacts/README.md","artifact_placement_reference","preserved","project_docs/CANONICAL_PIPELINES.md","false","false","basename_in_scripts_and_processed_public_manifest_json","335a733d014a8007131f0ed4da6c5aec79295d0a6df777af9b7049f7745b26fb","335a733d014a8007131f0ed4da6c5aec79295d0a6df777af9b7049f7745b26fb","Retain placement guidance; generated artifacts are not canonical upstream data."
"data/processed/elections/validation/latest_canonical_cmo_build.txt","preserve_source_or_extraction_text","preserved","project_docs/CANONICAL_PIPELINES.md","false","false","hash_inventory_only","00a3abacfb446e7d0f8a88c2e1369ee1d751890d069d7fffcd1192c149b02c5f","00a3abacfb446e7d0f8a88c2e1369ee1d751890d069d7fffcd1192c149b02c5f","Source/research extraction artifact; hash inventory only; not live agent instructions."
"data/processed/elections/validation/latest_cmo_fit_run.txt","preserve_source_or_extraction_text","preserved","project_docs/CANONICAL_PIPELINES.md","false","false","hash_inventory_only","f40abce278791cf119b64382d28b2f59fa89554f211a306b3013ad46a66a25ef","f40abce278791cf119b64382d28b2f59fa89554f211a306b3013ad46a66a25ef","Source/research extraction artifact; hash inventory only; not live agent instructions."
"data/processed/elections/validation/latest_presidential_context_build.txt","preserve_source_or_extraction_text","preserved","project_docs/CANONICAL_PIPELINES.md","false","false","hash_inventory_only","abdc3231e42747d371ccb22030484095aa5149fecab3f87cd63d9e75b1d5075c","abdc3231e42747d371ccb22030484095aa5149fecab3f87cd63d9e75b1d5075c","Source/research extraction artifact; hash inventory only; not live agent instructions."
"data/processed/elections/validation/latest_rdh_demographic_tournament.txt","preserve_source_or_extraction_text","preserved","project_docs/CANONICAL_PIPELINES.md","false","false","hash_inventory_only","7f27ba37d4d899a4c6144b51c70801b6a944fe644ae2d0d88207a24436a05ecf","7f27ba37d4d899a4c6144b51c70801b6a944fe644ae2d0d88207a24436a05ecf","Source/research extraction artifact; hash inventory only; not live agent instructions."
"data/processed/elections/validation/latest_rdh_forecast_experiments.txt","preserve_source_or_extraction_text","preserved","project_docs/CANONICAL_PIPELINES.md","false","false","hash_inventory_only","ee3fcdf2716cb89dfa6a26d35fbee697786b2ac10d51426513c83af5bc62f6a2","ee3fcdf2716cb89dfa6a26d35fbee697786b2ac10d51426513c83af5bc62f6a2","Source/research extraction artifact; hash inventory only; not live agent instructions."
"data/processed/elections/validation/latest_rdh_historical_cvap_run.txt","preserve_source_or_extraction_text","preserved","project_docs/CANONICAL_PIPELINES.md","false","false","hash_inventory_only","c1a87fb7958563c8cf20944030894b1bbf82511a8589d3eca3d1c894e096db0d","c1a87fb7958563c8cf20944030894b1bbf82511a8589d3eca3d1c894e096db0d","Source/research extraction artifact; hash inventory only; not live agent instructions."
"data/processed/legislative/bill_text_pilot/2669102.txt","preserve_source_or_extraction_text","preserved","project_docs/CANONICAL_PIPELINES.md","false","false","hash_inventory_only","13e8b67e36aeb127a02fb63cafa0234c56891450e9e015f48e65b507dc19acc2","13e8b67e36aeb127a02fb63cafa0234c56891450e9e015f48e65b507dc19acc2","Source/research extraction artifact; hash inventory only; not live agent instructions."
