left_node_id,right_node_id,name_score,code_exact,vote_score,shared_offices,composite_score,candidate_rank,score_margin
18312,20475,100.0,0,50.765916706558166,1,93.43545556087443,1,12.222004148715499
18312,20483,85.5,0,53.35088559119197,1,81.21345141215893,2,0.0
18312,20470,85.5,0,34.96888463379607,1,78.76251795117281,3,-2.4509334609861213
18312,20479,85.5,0,26.11297271421733,1,77.58172969522899,4,-3.6317217169299454
18313,20483,100.0,0,50.5786249149081,1,93.41048332198775,1,12.89341955979124
18313,20475,85.5,0,48.127978216473785,1,80.51706376219651,2,0.0
18313,20479,58.18181818181818,0,24.756069888813247,1,53.72505174275086,3,-26.792012019445657
18314,20470,100.0,0,50.48375950241879,1,93.39783460032251,1,9.525892651462797
18314,20475,85.5,0,73.28956461644782,1,83.87194194885971,2,0.0
18314,20479,72.34042553191489,0,37.69868693849343,1,67.72152705279203,3,-16.150414896067687
18315,20479,100.0,0,50.62645011600928,1,93.4168600154679,1,6.193890177880888
18315,20475,85.5,0,98.42227378190255,1,87.22296983758702,2,0.0
18315,20470,72.34042553191489,0,67.79582366589327,1,71.73447861644534,3,-15.488491221141672
18315,20483,58.18181818181818,0,96.68012561686855,1,63.314925839824895,4,-23.90804399776212
18316,20469,100.0,0,50.4047093451067,1,93.38729457934757,1,11.918558814254183
18316,20467,84.82142857142857,0,59.67623252391464,1,81.46873576509338,2,0.0
18316,20477,84.82142857142857,0,56.07064017660044,1,80.98799011878482,3,-0.48074564630856287
18316,20485,84.82142857142857,0,35.76158940397352,1,78.28011668243457,4,-3.1886190826588177
18316,20473,84.82142857142857,0,33.55408388520972,1,77.98578261326605,5,-3.4829531518273313
18317,20474,100.0,0,51.09809663250366,1,93.47974621766716,1,25.6021001550084
18317,20484,69.42307692307692,0,57.832345469940726,1,67.87764606265875,2,0.0
18317,20478,55.319148936170215,0,25.618904726181547,1,51.35911637483839,3,-16.51852968782036
18318,20482,100.0,0,50.68812689526475,1,93.4250835860353,1,4.192520021771244
18318,20465,100.0,0,19.244226731980408,1,89.23256356426405,2,0.0
18319,20482,100.0,0,74.68936953520479,1,96.62524927136064,1,3.181010207897913
