state,year,chamber,district,ocr_district_total,source_page
TN,1998,house,1,9796,1
TN,1998,house,2,8822,1
TN,1998,house,3,10633,2
TN,1998,house,4,7676,3
TN,1998,house,5,8237,3
TN,1998,house,6,7639,4
TN,1998,house,7,6245,5
TN,1998,house,8,7212,5
TN,1998,house,9,10342,6
TN,1998,house,10,10330,7
TN,1998,house,11,6194,7
TN,1998,house,12,8128,8
TN,1998,house,13,6733,9
TN,1998,house,14,10738,9
TN,1998,house,15,3714,9
TN,1998,house,16,7970,10
TN,1998,house,17,12918,10
TN,1998,house,18,7560,11
TN,1998,house,19,7720,11
TN,1998,house,20,10100,12
TN,1998,house,21,7513,13
TN,1998,house,22,10144,13
TN,1998,house,23,9928,14
TN,1998,house,24,10262,15
TN,1998,house,25,9276,16
TN,1998,house,26,8817,16
TN,1998,house,27,9159,16
TN,1998,house,28,5441,17
TN,1998,house,29,7916,18
TN,1998,house,30,12108,18
TN,1998,house,31,11214,19
TN,1998,house,32,12648,19
TN,1998,house,33,12382,20
TN,1998,house,34,5404,21
TN,1998,house,35,6077,21
TN,1998,house,36,9155,22
TN,1998,house,37,12179,23
TN,1998,house,38,10725,25
TN,1998,house,39,6543,26
TN,1998,house,40,6787,27
TN,1998,house,41,6111,28
TN,1998,house,42,11547,29
TN,1998,house,43,6597,30
TN,1998,house,44,5994,30
TN,1998,house,45,13513,31
TN,1998,house,46,7045,31
TN,1998,house,47,10283,32
TN,1998,house,48,11093,33
TN,1998,house,49,13185,33
TN,1998,house,50,8278,34
TN,1998,house,51,8498,34
TN,1998,house,52,5932,35
TN,1998,house,53,6700,35
TN,1998,house,54,6448,36
TN,1998,house,55,12031,36
TN,1998,house,56,14659,37
TN,1998,house,57,9563,37
TN,1998,house,58,4627,38
TN,1998,house,59,5556,38
TN,1998,house,60,7412,39
TN,1998,house,61,15576,39
TN,1998,house,62,5687,40
TN,1998,house,63,11207,41
TN,1998,house,64,7097,41
TN,1998,house,65,5683,42
TN,1998,house,66,9694,43
TN,1998,house,67,11116,43
TN,1998,house,68,10285,44
TN,1998,house,69,6878,44
TN,1998,house,70,7680,46
TN,1998,house,71,6987,47
TN,1998,house,72,9629,48
TN,1998,house,73,6844,48
TN,1998,house,74,12291,49
TN,1998,house,75,8893,50
TN,1998,house,76,6977,51
TN,1998,house,77,6740,52
TN,1998,house,78,4057,53
TN,1998,house,79,9441,54
TN,1998,house,80,5917,55
TN,1998,house,81,9347,55
TN,1998,house,82,4218,56
TN,1998,house,83,8869,57
TN,1998,house,84,6781,57
TN,1998,house,85,9119,58
TN,1998,house,86,7275,58
TN,1998,house,87,5878,59
TN,1998,house,88,3787,59
TN,1998,house,89,7234,60
TN,1998,house,90,5503,60
TN,1998,house,91,7226,61
TN,1998,house,92,6846,61
TN,1998,house,93,8939,62
TN,1998,house,94,13131,62
TN,1998,house,95,9715,63
TN,1998,house,96,11581,63
TN,1998,house,97,9582,64
TN,1998,house,98,7693,64
TN,1998,house,99,11962,65
TN,1998,senate,1,17769,2
TN,1998,senate,3,26665,4
TN,1998,senate,5,21035,5
TN,1998,senate,7,24765,6
TN,1998,senate,8,28987,7
TN,1998,senate,9,31355,9
TN,1998,senate,11,28957,10
TN,1998,senate,13,19292,13
TN,1998,senate,15,32498,16
TN,1998,senate,17,33355,17
TN,1998,senate,19,16815,18
TN,1998,senate,21,29710,20
TN,1998,senate,23,39127,21
TN,1998,senate,25,32784,24
TN,1998,senate,27,34164,26
TN,1998,senate,29,18826,27
TN,1998,senate,31,28444,28
TN,1998,senate,33,23653,29
