state,year,chamber,district,dvote,rvote,ovote,klarner_total_votes,dinc,rinc,uncont,dontuse,bigthird,legislative_turnout,_merge,vote_delta,reconciliation_status,model_eligible
TN,1998,house,46.0,7045.0,0.0,0.0,7045.0,1.0,0.0,1.0,0.0,0.0,7012,both,-33.0,within_one_percent,True
TN,1998,house,47.0,7965.0,2308.0,0.0,10273.0,1.0,0.0,0.0,0.0,0.0,10279,both,6.0,within_one_percent,True
TN,1998,house,48.0,7239.0,3854.0,0.0,11093.0,1.0,0.0,0.0,0.0,0.0,11073,both,-20.0,within_one_percent,True
TN,1998,house,49.0,7107.0,6078.0,0.0,13185.0,1.0,0.0,0.0,0.0,0.0,13185,both,0.0,exact,True
TN,1998,house,50.0,8278.0,0.0,0.0,8278.0,1.0,0.0,1.0,0.0,0.0,8258,both,-20.0,within_one_percent,True
TN,1998,house,51.0,6123.0,2375.0,0.0,8498.0,1.0,0.0,0.0,0.0,0.0,8498,both,0.0,exact,True
TN,1998,house,52.0,5932.0,0.0,0.0,5932.0,0.0,0.0,1.0,0.0,0.0,5912,both,-20.0,within_one_percent,True
TN,1998,house,53.0,6700.0,0.0,0.0,6700.0,1.0,0.0,1.0,0.0,0.0,6700,both,0.0,exact,True
TN,1998,house,54.0,6448.0,0.0,0.0,6448.0,1.0,0.0,1.0,0.0,0.0,4747,both,-1701.0,material_mismatch,False
TN,1998,house,55.0,6646.0,5385.0,0.0,12031.0,1.0,0.0,0.0,0.0,0.0,12031,both,0.0,exact,True
TN,1998,house,56.0,0.0,14659.0,0.0,14659.0,0.0,1.0,1.0,0.0,0.0,14659,both,0.0,exact,True
TN,1998,house,57.0,0.0,9563.0,0.0,9563.0,0.0,1.0,1.0,0.0,0.0,9563,both,0.0,exact,True
TN,1998,house,58.0,4627.0,0.0,0.0,4627.0,1.0,0.0,1.0,0.0,0.0,4627,both,0.0,exact,True
TN,1998,house,59.0,5556.0,0.0,0.0,5556.0,1.0,0.0,1.0,0.0,0.0,5556,both,0.0,exact,True
TN,1998,house,60.0,7412.0,0.0,0.0,7412.0,1.0,0.0,1.0,0.0,0.0,7412,both,0.0,exact,True
TN,1998,house,61.0,0.0,15576.0,0.0,15576.0,0.0,1.0,1.0,0.0,0.0,15576,both,0.0,exact,True
TN,1998,house,62.0,5608.0,0.0,0.0,5608.0,1.0,0.0,1.0,0.0,0.0,5687,both,79.0,material_mismatch,False
TN,1998,house,63.0,6044.0,5160.0,0.0,11204.0,1.0,0.0,0.0,0.0,0.0,11207,both,3.0,within_one_percent,True
TN,1998,house,64.0,6889.0,0.0,0.0,6889.0,1.0,0.0,1.0,0.0,0.0,7094,both,205.0,material_mismatch,False
TN,1998,house,65.0,5604.0,0.0,0.0,5604.0,1.0,0.0,1.0,0.0,0.0,5395,both,-209.0,material_mismatch,False
TN,1998,house,66.0,5548.0,4143.0,0.0,9691.0,1.0,0.0,0.0,0.0,0.0,9381,both,-310.0,material_mismatch,False
TN,1998,house,67.0,7034.0,4082.0,0.0,11116.0,1.0,0.0,0.0,0.0,0.0,11116,both,0.0,exact,True
TN,1998,house,68.0,7638.0,2647.0,0.0,10285.0,1.0,0.0,0.0,0.0,0.0,9947,both,-338.0,material_mismatch,False
TN,1998,house,69.0,6818.0,0.0,0.0,6818.0,1.0,0.0,1.0,0.0,0.0,6878,both,60.0,within_one_percent,True
TN,1998,house,70.0,7657.0,0.0,0.0,7657.0,1.0,0.0,1.0,0.0,0.0,7678,both,21.0,within_one_percent,True
TN,1998,house,71.0,6907.0,0.0,0.0,6907.0,1.0,0.0,1.0,0.0,0.0,6987,both,80.0,material_mismatch,False
TN,1998,house,72.0,0.0,9629.0,0.0,9629.0,0.0,1.0,1.0,0.0,0.0,9629,both,0.0,exact,True
TN,1998,house,73.0,6844.0,0.0,0.0,6844.0,1.0,0.0,1.0,0.0,0.0,6844,both,0.0,exact,True
TN,1998,house,74.0,7209.0,5080.0,0.0,12289.0,1.0,0.0,0.0,0.0,0.0,8267,both,-4022.0,material_mismatch,False
TN,1998,house,75.0,8893.0,0.0,0.0,8893.0,1.0,0.0,1.0,0.0,0.0,8818,both,-75.0,within_one_percent,True
TN,1998,house,76.0,6977.0,0.0,0.0,6977.0,1.0,0.0,1.0,0.0,0.0,6633,both,-344.0,material_mismatch,False
TN,1998,house,77.0,6739.0,0.0,0.0,6739.0,1.0,0.0,1.0,0.0,0.0,6584,both,-155.0,material_mismatch,False
TN,1998,house,78.0,4057.0,0.0,0.0,4057.0,1.0,0.0,1.0,0.0,0.0,4057,both,0.0,exact,True
TN,1998,house,79.0,7537.0,0.0,1904.0,9441.0,1.0,0.0,1.0,0.0,1.0,9419,both,-22.0,within_one_percent,True
TN,1998,house,80.0,0.0,5917.0,0.0,5917.0,0.0,1.0,1.0,0.0,0.0,5752,both,-165.0,material_mismatch,False
TN,1998,house,81.0,6366.0,2981.0,0.0,9347.0,1.0,0.0,0.0,0.0,0.0,9345,both,-2.0,within_one_percent,True
TN,1998,house,82.0,4218.0,0.0,0.0,4218.0,1.0,0.0,1.0,0.0,0.0,4218,both,0.0,exact,True
TN,1998,house,83.0,0.0,8869.0,0.0,8869.0,0.0,1.0,1.0,0.0,0.0,8869,both,0.0,exact,True
TN,1998,house,84.0,6781.0,0.0,0.0,6781.0,1.0,0.0,1.0,0.0,0.0,6781,both,0.0,exact,True
TN,1998,house,85.0,7655.0,1464.0,0.0,9119.0,1.0,0.0,0.0,0.0,0.0,9119,both,0.0,exact,True
TN,1998,house,86.0,6295.0,980.0,0.0,7275.0,1.0,0.0,0.0,0.0,0.0,7275,both,0.0,exact,True
TN,1998,house,87.0,5878.0,0.0,0.0,5878.0,1.0,0.0,1.0,0.0,0.0,5878,both,0.0,exact,True
TN,1998,house,88.0,3787.0,0.0,0.0,3787.0,1.0,0.0,1.0,0.0,0.0,3787,both,0.0,exact,True
TN,1998,house,89.0,4972.0,2262.0,0.0,7234.0,1.0,0.0,0.0,0.0,0.0,7234,both,0.0,exact,True
TN,1998,house,90.0,4785.0,0.0,718.0,5503.0,1.0,0.0,1.0,0.0,0.0,5504,both,1.0,within_one_percent,True
TN,1998,house,91.0,7226.0,0.0,0.0,7226.0,1.0,0.0,1.0,0.0,0.0,6917,both,-309.0,material_mismatch,False
TN,1998,house,92.0,6846.0,0.0,0.0,6846.0,1.0,0.0,1.0,0.0,0.0,7448,both,602.0,material_mismatch,False
TN,1998,house,93.0,5837.0,2906.0,0.0,8743.0,1.0,0.0,0.0,0.0,0.0,8939,both,196.0,material_mismatch,False
TN,1998,house,94.0,0.0,13131.0,0.0,13131.0,0.0,1.0,1.0,0.0,0.0,9609,both,-3522.0,material_mismatch,False
TN,1998,house,95.0,0.0,9715.0,0.0,9715.0,0.0,0.0,1.0,0.0,0.0,9716,both,1.0,within_one_percent,True
TN,1998,house,96.0,0.0,11581.0,0.0,11581.0,0.0,1.0,1.0,0.0,0.0,8232,both,-3349.0,material_mismatch,False
TN,1998,house,97.0,0.0,9581.0,0.0,9581.0,0.0,1.0,1.0,0.0,0.0,8428,both,-1153.0,material_mismatch,False
TN,1998,house,98.0,6817.0,0.0,876.0,7693.0,1.0,0.0,1.0,0.0,0.0,7693,both,0.0,exact,True
TN,1998,house,99.0,3904.0,7745.0,0.0,11649.0,0.0,1.0,0.0,0.0,0.0,11574,both,-75.0,within_one_percent,True
TN,1998,senate,1.0,0.0,17789.0,0.0,17789.0,0.0,1.0,1.0,0.0,0.0,17789,both,0.0,exact,True
