state,year,county,county_raw,dem_total,rep_total,source_page,dem_votes,rep_votes,dem_coverage,rep_coverage
TN,1998,ANDERSON,ANDERSON,3850.0,11182.0,1.0,3850,11473,1.0,1.026023967089966
TN,1998,BEDFORD,BEDFORD,1392.0,3547.0,1.0,1392,3460,1.0,0.9754722300535664
TN,1998,BENTON,BENTON,403.0,2338.0,2.0,1401,2299,3.4764267990074442,0.9833190761334474
TN,1998,BLEDSOE,BLEDSOE,2031.0,1702.0,2.0,1031,1702,0.5076317085179715,1.0
TN,1998,BLOUNT,.. BLOUNT,3936.0,16223.0,3.0,3783,15479,0.9611280487804879,0.9541391851075633
TN,1998,BRADLEY,,,,,2812,12856,,
TN,1998,CAMPBELL,CAMPBELL,2243.0,4601.0,4.0,2210,4568,0.9852875613018279,0.9928276461638774
TN,1998,CANNON,CANNON,730.0,1322.0,4.0,730,1322,1.0,1.0
TN,1998,CARROLL,CARROLL,1627.0,3823.0,5.0,1627,3823,1.0,1.0
TN,1998,CARTER,CARTER,1838.0,7080.0,5.0,1722,6639,0.9368879216539717,0.9377118644067797
TN,1998,CHEATHAM,CHEATHAM,1554.0,3277.0,5.0,1536,3224,0.9884169884169884,0.9838266707354287
TN,1998,CHESTER,CHESTER,479.0,1400.0,6.0,479,1367,1.0,0.9764285714285714
TN,1998,CLAIBORNE,CLAIBORNE,1107.0,2871.0,6.0,999,2568,0.9024390243902439,0.8944618599791013
TN,1998,CLAY,CLAY,599.0,1049.0,6.0,599,1049,1.0,1.0
TN,1998,COCKE,COCKE,828.0,3463.0,7.0,883,3463,1.066425120772947,1.0
TN,1998,COFFEE,COFFEE,2546.0,6084.0,7.0,2513,6084,0.9870384917517675,1.0
TN,1998,CROCKETT,CROCKETT,531.0,1121.0,8.0,531,1121,1.0,1.0
TN,1998,CUMBERLAND,CUMBERLAND,2567.0,7609.0,8.0,1914,5335,0.7456174522789248,0.7011433828361151
TN,1998,DAVIDSON,DAVIDSON,37075.0,53288.0,11.0,36567,51787,0.986298044504383,0.9718323074613422
TN,1998,DECATUR,DECATUR,980.0,1608.0,11.0,980,1601,1.0,0.9956467661691543
TN,1998,DEKALB,DEKALB,850.0,1763.0,12.0,850,1763,1.0,1.0
TN,1998,DICKSON,DICKSON,2291.0,4136.0,12.0,2291,4136,1.0,1.0
TN,1998,DYER,DYER,1482.0,2926.0,13.0,1482,2926,1.0,1.0
TN,1998,FAYETTE,FAYETTE,1471.0,3867.0,13.0,1471,3867,1.0,1.0
TN,1998,FENTRESS,FENTRESS,808.0,1448.0,13.0,808,1448,1.0,1.0
TN,1998,FRANKLIN,,,,,2088,4230,,
TN,1998,GIBSON,GIBSON,2802.0,7485.0,14.0,2782,7485,0.9928622412562456,1.0
TN,1998,GILES,GILES,520.0,2333.0,15.0,1487,2313,2.8596153846153847,0.9914273467638234
TN,1998,GRAINGER,GRAINGER,619.0,1683.0,15.0,585,1541,0.9450726978998385,0.9156268568033273
TN,1998,GREENE,GREENE,1902.0,6836.0,16.0,1765,6462,0.9279705573080967,0.9452896430661205
TN,1998,GRUNDY,GRUNDY,865.0,962.0,16.0,832,962,0.9618497109826589,1.0
TN,1998,HAMBLEN,HAMBLEN,2432.0,8083.0,16.0,2305,7684,0.9477796052631579,0.9506371396758629
TN,1998,HAMILTON,HAMILTON,14301.0,43309.0,18.0,14153,42723,0.9896510733515139,0.9864693250825464
TN,1998,HANCOCK,HANCOCK,241.0,691.0,18.0,241,691,1.0,1.0
TN,1998,HARDEMAN,HARDEMAN,1201.0,1986.0,19.0,1201,1977,1.0,0.9954682779456193
TN,1998,HARDIN,HARDIN,232.0,775.0,19.0,1186,2753,5.112068965517241,3.552258064516129
TN,1998,HAWKINS,HAWKINS,2129.0,7196.0,20.0,2129,7196,1.0,1.0
TN,1998,HAYWOOD,HAYWOOD,898.0,1523.0,20.0,898,1523,1.0,1.0
TN,1998,HENDERSON,HENDERSON,929.0,3072.0,20.0,894,2934,0.9623250807319699,0.955078125
