state,year,county,precinct,county_raw,county_match_confidence,dem_votes,rep_votes,ocr_min_numeric_confidence,source_page,source_line,duplicate_ocr_rows
TN,1998,BEDFORD,301 LONGVIEW,BEDFORD,1.0,32,93,0.9986654222011566,1,301 LONGVIEW 32 93 1 0 1 0 1 0,1
TN,1998,BEDFORD,303 UNIONVILLE,BEDFORD,1.0,47,92,0.9982398748397828,1,303 UNIONVILLE 47 92 0 0 1 0 0 0,1
TN,1998,BEDFORD,304 HALL'S MILL,BEDFORD,1.0,66,111,0.9995426932970682,1,304 HALL'S MILL 66 111 0 0 1 0 0 0,1
TN,1998,BEDFORD,305 ROVER,BEDFORD,1.0,42,102,0.9977549016475676,1,305 ROVER 42 102 0 0 1 3 0 0,1
TN,1998,BEDFORD,403 BEDFORD,BEDFORD,1.0,60,233,0.9990949432055156,1,403 BEDFORD 60 233 0 0 1 3 0 0,1
TN,1998,BEDFORD,404 WHEEL,BEDFORD,1.0,41,119,0.9962554275989532,1,404 WHEEL 41 119 0 0 0 2 1 0,1
TN,1998,BEDFORD,501F RICH VALLEY,BEDFORD,1.0,23,6,0.5489031672477722,1,501F RICH VALLEY 23 6 0 1 0 1 0 0,1
TN,1998,BEDFORD,502 FLAT CREEK,BEDFORD,1.0,72,201,0.9980222384134928,1,502 FLAT CREEK 72 201 1 0 0 2 0 0,1
TN,1998,BEDFORD,503 RAUS,BEDFORD,1.0,13,134,0.9990375339984894,1,503 RAUS 13 134 2 0 0 1 0 2,1
TN,1998,BEDFORD,505 NORMANDY,BEDFORD,1.0,31,102,0.9973278641700744,1,505 NORMANDY 31 102 1 1 1 0 0 0,1
TN,1998,BEDFORD,601 EAST SIDE,BEDFORD,1.0,95,178,0.9938075939814248,1,601 EAST SIDE 95 178 2 1 0 5 3 0,1
TN,1998,BEDFORD,701 DEERY EAKIN,BEDFORD,1.0,115,261,0.9993826150894164,1,701 DEERY EAKIN 115 261 1 0 1 2 0 0,1
TN,1998,BEDFORD,801 THOMAS,BEDFORD,1.0,96,128,0.997872511545817,1,801 THOMAS 96 128 1 1 6 2 0,1
