specification,forward_cycles,cycle_balanced_mae,delta_mae_vs_public,post2016_mae,latest_2022_mae,worst_cycle_delta_vs_public,cycles_improved,cycle_bootstrap_delta_low,cycle_bootstrap_delta_high,bootstrap_probability_improvement,mean_2026_change,mean_absolute_2026_change,max_absolute_2026_change,winner_changes_2026,sd2_2026_margin,prospective_smell_test_pass
stable_cvap_composition_elastic,7,16.022232003564515,-6.608362366861734,10.91685208507149,9.377104046616557,0.42636481681179816,6,-10.48704853031961,-2.794377618923694,0.9999,2.0889648428093373,7.513765653072251,21.27368505758759,2,-6.581438740156804,False
full_hybrid_cvap_ridge5,7,16.146213852533226,-6.4843805178930225,10.057399587532219,7.853968922166174,0.23059494618363985,6,-10.18664049295373,-3.083729298368457,1.0,-4.803199064953171,8.508059833326671,23.470400582253482,2,-16.43111249172741,False
full_total_ridge5,7,16.188436247459496,-6.442158122966754,10.145962328153596,8.023997966995552,0.23769138259701705,6,-10.153836320241842,-3.054468888214324,1.0,-4.919754579405949,8.690963438912366,24.485168839201584,1,-16.937855596567523,False
hybrid_cvap_blend_75,7,16.795568440316522,-5.835025930109725,9.765225227592596,7.808005134875688,-0.307789986405119,7,-8.688440117733009,-3.1423251973854787,1.0,-3.6023992987148774,6.381044874995002,17.60280043669011,1,-11.981899462105087,False
hybrid_cvap_blend_50,7,18.250669043075835,-4.379925327350417,9.815147681253524,8.082464644418314,-0.48240458862588653,7,-6.327483026128465,-2.4361030237985095,1.0,-2.4015995324765855,4.2540299166633355,11.735200291126738,1,-7.532686432482761,False
stable_total_elastic10_35,7,19.999070614396622,-2.631523756029629,9.762783409948955,7.98221571165291,-0.48688419846962283,7,-3.545605613459976,-1.661787475540361,1.0,0.33843181147620444,2.7252928095149858,8.265452540021794,1,-3.098801427537382,False
stable_hybrid_elastic10_35,7,20.027840284357218,-2.6027540860690364,9.704539152893998,7.896048828284527,-0.5172058292111519,7,-3.4843982385906904,-1.6530738656141735,1.0,-0.18454907254866784,2.6232193236327017,7.29197314020761,1,-2.994266093898885,False
stable_hybrid_bayesian_35,7,20.057163280689604,-2.573431089736645,9.641163715869942,7.791542565523035,-0.5394504404977738,7,-3.3810344381074153,-1.64820022733502,1.0,0.05527960573939065,2.5525264151026126,7.553173635200327,1,-2.4102822082225965,False
hybrid_cvap_blend_25,7,20.275887814417,-2.3547065560092517,10.160969888188735,8.658605809336168,-0.36690133967332095,7,-3.3512729551244633,-1.3581401568940399,1.0,-1.2007997662382928,2.1270149583316686,5.867600145563372,1,-3.0834734028604363,False
stable_bayesian_blend_50,7,21.201957442908732,-1.4286369275175177,9.878318276101751,8.061753649395513,-0.3353524039066347,7,-1.8295974593904734,-0.9665504945032032,1.0,0.02763980286969526,1.2762632075513065,3.7765868176001636,1,-0.5222712907303537,False
stable_bayesian_cap_2,7,21.718161832415312,-0.9124325380109385,10.196387116045635,8.609534007397635,-0.2469950820209874,7,-1.1602222547292782,-0.6384558692222383,1.0,-0.23249826626168005,1.4586812865564622,2.0000000000000036,1,-0.6342603732381109,False
stable_bayesian_blend_25,7,21.87182200246477,-0.7587723679614788,10.232885474436689,8.64658795410502,-0.2110523119462666,7,-0.9583499915900558,-0.5252911912583507,1.0,0.013819901434847695,0.638131603775653,1.888293408800081,0,0.4217341680157677,True
stable_bayesian_cap_1,7,22.13682865991155,-0.4937657105146988,10.428644359921243,9.026190005081006,-0.19913659195314182,7,-0.6213892678531311,-0.35722067197588103,1.0,-0.16269967490464246,0.8134722453785835,1.0000000000000036,0,0.3657396267618891,True
public_80_20_total_ridge,7,22.630594370426248,0.0,10.804211693332284,9.578188079949948,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.365739626761889,True
