specification,mean_mae,latest_mae,worst_mae,mean_delta_vs_ramp,latest_delta_vs_ramp
spend_log10_a5_b0.25,10.822548054699563,9.40022190670359,12.244874202695534,-0.3043629427608714,-0.37574959695155385
spend_log10_a20_b0.25,10.863442446409358,9.450729268745155,12.276155624073562,-0.26346855105107636,-0.3252422349099895
spend_log50_a5_b0.25,10.873200810994698,9.441052939595131,12.305348682394264,-0.25371018646573695,-0.33491856406001297
spend_log50_a20_b0.25,10.904771952796324,9.48478500827079,12.324758897321855,-0.22213904466411094,-0.2911864953843537
spend_log100_a5_b0.25,10.918968412612855,9.496250922957465,12.341685902268244,-0.20794258484757933,-0.27972058069767947
spend_log100_a20_b0.25,10.943501711155754,9.533145407961452,12.353858014350054,-0.18340928630468056,-0.24282609569369207
spend_sqrt_a5_b0.25,10.946682221380474,9.549698859300678,12.34366558346027,-0.1802287760799608,-0.22627264435446648
spend_sqrt_a20_b0.25,10.968058181591118,9.580997206128794,12.35511915705344,-0.15885281586931654,-0.19497429752635043
spend_log10_a100_b0.25,10.973743150377315,9.601657337462278,12.345828963292352,-0.15316784708311992,-0.17431416619286644
spend_log50_a100_b0.25,10.995226133055255,9.621681529838263,12.368770736272248,-0.13168486440518024,-0.1542899738168817
spend_log10_a5_b0.5,11.013191775892434,9.435271771990898,12.591111779793968,-0.11371922156800096,-0.3406997316642464
spend_log100_a100_b0.25,11.018181814538593,9.652299754942483,12.384063874134702,-0.10872918292184153,-0.12367174871266151
spend_sqrt_a100_b0.25,11.035744822732699,9.682893009782463,12.388596635682935,-0.0911661747277357,-0.09307849387268163
spend_log10_a20_b0.5,11.078008193230723,9.482955814769007,12.673060571692437,-0.04890280422971216,-0.29301568888613794
ramp_only,11.126910997460435,9.775971503655144,12.477850491265727,0.0,0.0
spend_log50_a5_b0.5,11.127539259072304,9.50286503146494,12.752213486679665,0.0006282616118689077,-0.2731064721902037
spend_log50_a20_b0.5,11.160539067304878,9.540114230526356,12.7809639040834,0.03362806984444333,-0.23585727312878824
spend_log100_a5_b0.5,11.213802146994471,9.581287126190535,12.846317167798407,0.08689114953403632,-0.19468437746460943
spend_log100_a20_b0.5,11.237445014202002,9.61797949501943,12.856910533384573,0.1105340167415676,-0.1579920086357145
spend_sqrt_a5_b0.5,11.249921980859448,9.654712632303536,12.845131329415358,0.12301098339901273,-0.12125887135160873
spend_sqrt_a20_b0.5,11.272733506813331,9.684022654877134,12.861444358749527,0.14582250935289665,-0.09194884877801002
spend_log10_a100_b0.5,11.281629668627154,9.680548364500254,12.882710972754056,0.15471867116671945,-0.09542313915489053
spend_log50_a100_b0.5,11.330422825085684,9.723019326315232,12.937826323856136,0.203511827625249,-0.052952177339912865
spend_log100_a100_b0.5,11.377755097525114,9.778156603952919,12.977353591097307,0.25084410006467905,0.0021851002977744116
spend_sqrt_a100_b0.5,11.411382597412231,9.82776869368035,12.994996501144113,0.2844715999517966,0.051797190025205
spend_log10_a20_b1,13.217077690720195,10.775754997055204,15.658400384385189,2.0901666932597607,0.9997834934000593
spend_log10_a5_b1,13.241395567703211,10.909440153398739,15.573350982007685,2.1144845702427766,1.1334686497435946
spend_log10_a100_b1,13.326006569248154,10.583005454014048,16.06900768448226,2.199095571787719,0.8070339503589032
spend_log50_a20_b1,13.37045950474933,10.955112072071485,15.785806937427179,2.243548507288896,1.17914056841634
spend_log50_a5_b1,13.374661111175746,11.034345706369605,15.714976515981887,2.247750113715311,1.2583742027144602
spend_log50_a100_b1,13.4328272240198,10.687187103562522,16.178467344477077,2.305916226559365,0.9112155999073774
spend_log100_a20_b1,13.484296392220685,11.036289088615035,15.932303695826334,2.35738539476025,1.2603175849598909
spend_log100_a100_b1,13.511882505078752,10.76677224207999,16.256992768077513,2.3849715076183173,0.990800738424845
spend_log100_a5_b1,13.514148833244711,11.128617709495245,15.899679956994175,2.3872378357842763,1.3526462058401005
spend_sqrt_a20_b1,13.514283199301058,11.037113384319724,15.991453014282394,2.3873722018406234,1.2611418806645798
spend_sqrt_a5_b1,13.525207368047717,11.119148357823283,15.93126637827215,2.398296370587282,1.3431768541681386
spend_sqrt_a100_b1,13.550751213398676,10.805768060941814,16.295734365855537,2.4238402159382417,1.0297965572866694
