cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance,incumbent_count,incumbent_candidate,incumbent_party,incumbency_source,match_score,dem_incumbent,rep_incumbent,open_seat,incumbency_status
2014,house,24,4338.0,6877.0,11215.0,-22.639322336156933,True,R,2012_enacted,-52.355752310060026,2,,1,False,incomplete_core,29.716429973903093,,0,,,,,False,False,True,open
2014,house,25,0.0,10432.0,10432.0,-100.0,False,R,2012_enacted,-39.86245151609521,3,-39.90090424774344,2,True,complete_core_expanded,-60.13754848390479,-60.09909575225656,1,Mac McCutcheon,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,26,0.0,5679.0,5679.0,-100.0,False,R,2012_enacted,-59.56674711047921,3,-59.12033653298621,2,True,complete_core_expanded,-40.43325288952079,-40.87966346701379,1,Kerry Rich,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,27,4856.0,6996.0,11852.0,-18.05602429969625,True,R,2012_enacted,-58.256509844466585,3,-57.74095170210681,2,True,complete_core_expanded,40.20048554477033,39.68492740241056,0,,,,,False,False,True,open
2014,house,28,6827.0,3704.0,10531.0,29.65530338999145,True,D,2012_enacted,-13.192672290434045,3,-11.121611458667909,2,True,complete_core_expanded,42.8479756804255,40.77691484865936,1,Craig Ford,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,29,4476.0,8785.0,13261.0,-32.493778749717215,True,R,2012_enacted,-40.64004315336052,3,-38.37253151134219,2,True,complete_core_expanded,8.146264403643308,5.878752761624973,1,Becky Nordgren,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,30,0.0,9360.0,9360.0,-100.0,False,R,2012_enacted,-52.00062243944458,3,-49.69478311742232,2,True,complete_core_expanded,-47.99937756055542,-50.30521688257768,0,,,,,False,False,True,open
2014,house,31,0.0,10944.0,10944.0,-100.0,False,R,2012_enacted,-46.87539377869884,3,-42.06338490116248,2,True,complete_core_expanded,-53.12460622130116,-57.93661509883752,0,,,,,False,False,True,open
2014,house,32,11115.0,0.0,11115.0,100.0,False,D,2012_enacted,-18.54133950933434,3,-14.434848835887884,2,True,complete_core_expanded,118.54133950933434,114.43484883588788,1,Barbara Bigsby Boyd,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,33,2748.0,8343.0,11091.0,-50.44630781714904,True,R,2012_enacted,-17.52208919229778,3,-15.411479980348844,2,True,complete_core_expanded,-32.924218624851264,-35.0348278368002,1,Ron Johnson,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,34,0.0,1336.0,1336.0,-100.0,False,R,2012_enacted,-66.18260075959286,3,-63.88097614251974,2,True,complete_core_expanded,-33.81739924040714,-36.11902385748026,0,,,,,False,False,True,open
2014,house,35,0.0,6945.0,6945.0,-100.0,False,R,2012_enacted,-27.666756142336972,3,-23.88959791701025,2,True,complete_core_expanded,-72.33324385766302,-76.11040208298975,1,Steve Hurst,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,36,0.0,19591.0,19591.0,-100.0,False,R,2012_enacted,-42.24115300756072,3,-43.00369912484966,2,True,complete_core_expanded,-57.75884699243928,-56.99630087515034,1,Randy Wood,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,37,5518.0,5949.0,11467.0,-3.758611668265457,True,R,2012_enacted,-23.850695985337182,3,-21.85810400978988,2,True,complete_core_expanded,20.092084317071723,18.099492341524417,0,,,,,False,False,True,open
2014,house,38,0.0,7279.0,7279.0,-100.0,False,R,2012_enacted,-19.09690546430509,3,-16.27569659675709,2,True,complete_core_expanded,-80.9030945356949,-83.72430340324291,0,,,,,False,False,True,open
2014,house,39,7786.0,5928.0,13714.0,13.54819892081085,True,D,2012_enacted,-44.41840971326923,3,-42.72295745708253,2,True,complete_core_expanded,57.96660863408008,56.27115637789338,1,Richard Lindsey,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,40,9105.0,22356.0,31461.0,-42.11881376942882,True,R,2012_enacted,-37.29047606112837,2,,1,False,incomplete_core,-4.828337708300445,,0,,,,,False,False,True,open
2014,house,41,0.0,9223.0,9223.0,-100.0,False,R,2012_enacted,-54.61163159021003,3,-52.99183449941951,2,True,complete_core_expanded,-45.38836840978997,-47.00816550058049,1,Mike Hill,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,42,0.0,9416.0,9416.0,-100.0,False,R,2012_enacted,-49.67629951441119,3,-44.94681587859161,2,True,complete_core_expanded,-50.32370048558881,-55.05318412140839,0,,,,,False,False,True,open
2014,house,43,0.0,11492.0,11492.0,-100.0,False,R,2012_enacted,-63.85995846330626,3,-62.40458387829331,2,True,complete_core_expanded,-36.14004153669374,-37.59541612170669,0,,,,,False,False,True,open
