cycle,chamber,district,fragment_candidate,fragment_party,resolved_candidate,resolved_party,transferred_votes,name_score
2014,house,31.0,Holmes,D,Mike Holmes,R,10766.0,90.0
2014,house,66.0,Baker,D,Alan Baker,R,4862.0,90.0
2014,senate,30.0,"Chambliss, Jr.",D,"Clyde Chambliss, Jr.",R,2020.0,90.0
