specification,base_model,mean_mae,latest_mae,worst_mae,base_mean_mae,base_latest_mae,mean_delta_vs_base,latest_delta_vs_base,max_finance_adjustment,mean_finance_adjustment,max_total_change_vs_public,winner_changes_vs_public,sd2_margin,improves_both_holdouts,prospective_safe
public_80_20_total_ridge__finance_log50__a100__b0.1__cap1,public_80_20_total_ridge,10.805014838928479,9.532993618834475,12.077036059022484,10.804211693332284,9.578188079949948,0.0008031455961940992,-0.04519446111547332,1.0,0.3198478853032428,1.0000000000000036,0,1.5726151855812232,False,True
public_80_20_total_ridge__finance_log50__a5__b0.25__cap1,public_80_20_total_ridge,10.810687844252918,9.535195963438424,12.08617972506741,10.804211693332284,9.578188079949948,0.006476150920633472,-0.0429921165115239,1.0,0.5432757304362785,1.0000000000000036,0,1.8352516978389959,False,True
public_80_20_total_ridge__finance_log50__a20__b0.25__cap1,public_80_20_total_ridge,10.811647277284418,9.542214861908082,12.081079692660756,10.804211693332284,9.578188079949948,0.00743558395213384,-0.03597321804186571,1.0,0.5375153832367966,1.0000000000000036,0,1.8494344537117313,False,True
public_80_20_total_ridge__finance_log100__a20__b0.25__cap2,public_80_20_total_ridge,10.81210403826993,9.450593386149139,12.17361469039072,10.804211693332284,9.578188079949948,0.00789234493764468,-0.127594693800809,2.0,0.7293200553103372,2.0000000000000036,0,1.920102506424348,False,True
public_80_20_total_ridge__finance_log100__a100__b0.1__cap1,public_80_20_total_ridge,10.812950675222556,9.543460441272572,12.082440909172538,10.804211693332284,9.578188079949948,0.008738981890271447,-0.03472763867737605,1.0,0.32482808671463886,1.0000000000000036,0,1.591393343074213,False,True
public_80_20_total_ridge__finance_log10__a100__b0.25__cap1,public_80_20_total_ridge,10.818411857013327,9.543795404820074,12.09302830920658,10.804211693332284,9.578188079949948,0.01420016368104271,-0.034392675129874206,1.0,0.4706033177244017,1.0000000000000036,0,1.7182171949678091,False,True
public_80_20_total_ridge__finance_log50__a5__b0.5__cap1,public_80_20_total_ridge,10.818645694908561,9.564364203076256,12.072927186740865,10.804211693332284,9.578188079949948,0.0144340015762765,-0.013823876873692242,1.0,0.7065250324367991,1.0000000000000036,0,2.3047637689161027,False,True
public_80_20_total_ridge__finance_log100__a20__b0.25__cap1,public_80_20_total_ridge,10.821904052483195,9.554856959259672,12.088951145706716,10.804211693332284,9.578188079949948,0.017692359150910164,-0.023331120690276208,1.0,0.5548380820323722,1.0000000000000036,0,1.920102506424348,False,True
public_80_20_total_ridge__finance_log50__a20__b0.5__cap1,public_80_20_total_ridge,10.822101826019708,9.569858175746726,12.07434547629269,10.804211693332284,9.578188079949948,0.017890132687423232,-0.008329904203222327,1.0,0.7064266919377729,1.0000000000000036,0,2.3331292806615735,False,True
public_80_20_total_ridge__finance_log100__a5__b0.25__cap1,public_80_20_total_ridge,10.823387922012262,9.550046402929203,12.096729441095324,10.804211693332284,9.578188079949948,0.019176228679977925,-0.028141677020744993,1.0,0.5596792334979155,1.0000000000000036,0,1.9140144260474208,False,True
