cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance
2014,house,1.0,4652.0,4933.0,9585.0,-2.9316640584246216,True,R,2012_enacted,-19.222688752899867,3,-19.9141007031046,2,True,complete_core_expanded,16.291024694475244,16.98243664467998
2014,house,2.0,5224.0,8561.0,13785.0,-24.20747188973522,True,R,2012_enacted,-42.34174252025333,3,-42.87184361897879,2,True,complete_core_expanded,18.134270630518106,18.664371729243566
2014,house,3.0,7993.0,5357.0,13350.0,19.745318352059925,True,D,2012_enacted,-6.685684951552702,3,-6.784808967653031,2,True,complete_core_expanded,26.431003303612627,26.530127319712957
2014,house,4.0,0.0,8473.0,8473.0,-100.0,False,R,2012_enacted,-50.28077255570093,3,-51.281656384188025,2,True,complete_core_expanded,-49.71922744429907,-48.718343615811975
2014,house,5.0,5520.0,7132.0,12652.0,-12.74106860575403,True,R,2012_enacted,-44.76018183706217,3,-44.869789761332704,2,True,complete_core_expanded,32.01911323130814,32.128721155578674
2014,house,6.0,0.0,8327.0,8327.0,-100.0,False,R,2012_enacted,-40.597727755398246,3,-40.99872851681335,2,True,complete_core_expanded,-59.402272244601754,-59.00127148318665
2014,house,7.0,5553.0,6072.0,11625.0,-4.464516129032258,True,R,2012_enacted,-37.81096601916638,3,-38.37126816270015,2,True,complete_core_expanded,33.346449890134124,33.906752033667885
2014,house,8.0,4195.0,6270.0,10465.0,-19.827998088867655,True,R,2012_enacted,-31.509820734217403,3,-32.32744781637959,2,True,complete_core_expanded,11.681822645349747,12.499449727511934
2014,house,9.0,0.0,13668.0,13668.0,-100.0,False,R,2012_enacted,-57.40591242263721,3,-60.793953736710186,2,True,complete_core_expanded,-42.59408757736279,-39.206046263289814
2014,house,10.0,628.0,9845.0,10473.0,-88.00725675546644,True,R,2012_enacted,-39.80111583691231,3,-39.39957656384585,2,True,complete_core_expanded,-48.206140918554134,-48.607680191620595
2014,house,11.0,0.0,11651.0,11651.0,-100.0,False,R,2012_enacted,-61.36790465967744,3,-62.313621705009474,2,True,complete_core_expanded,-38.63209534032256,-37.686378294990526
