cycle,area,precincts,votes,weighted_residual,white_college_share
2018,Rest of Alabama,1913,1575438.0,-0.002904565932395454,0.19388978891717656
2018,Madison County,72,141396.0,0.03236275102107234,0.32922691307682234
2020,Rest of Alabama,1898,2100709.0,-0.004875779076749757,0.1938872647645186
2020,Madison County,72,190066.0,0.05388966458233069,0.32922691307682234
2022,Rest of Alabama,1859,1245591.0,-0.0031847702561110243,0.19390071808681802
2022,Madison County,74,114235.0,0.03472596986964349,0.3292269130768224
2024,Rest of Alabama,1865,2041744.0,-0.006552704816644878,0.1989652412904296
2024,Madison County,79,193254.0,0.06922985161043825,0.3334648337894009
