chamber,district,pres_2024_dem_votes,pres_2024_rep_votes,pres_2024_two_party_votes,pres_2024_dem_margin,pres_2024_fallback_share,pres_2024_source_complete,cycle_x,pres_2020_dem_margin,nonwhite_share,white_college_share,dem_incumbent_i,rep_incumbent_i,log_fundraising_ratio_d_to_r,ftm_finance_complete,cycle_y,baseline_2024_pres_dem_margin,national_2024_dem_margin,votehub_2026_dem_margin,national_dem_swing_2024_2026,geographic_elasticity,poll_adjusted_dem_margin,uniform_poll_adjusted_dem_margin,demographic_swing_2024_2026,demographic_poll_adjusted_margin,low_elasticity_075_margin,high_elasticity_125_margin,poll_average_as_of,poll_staleness_days_at_download,polling_baseline_status,cycle,prior_pres_dem_margin,prior_pres_swing,federal_index_margin,federal_contested_coverage,national_environment_swing,national_environment_baseline,national_swing_x_nonwhite,national_swing_x_white_college,structural_2024_pres_margin,environment_adjustment,baseline_forecast_margin,incumbency_adjustment,demographic_residual_adjustment,cmo_adjustment,finance_adjustment,scenario_baseline_margin,scenario_national_environment_margin,scenario_national_environment_demographics_adjustment,scenario_national_environment_demographics_margin,scenario_national_environment_finance_adjustment,scenario_national_environment_finance_margin,scenario_incumbency_adjustment,scenario_incumbency_margin,scenario_incumbency_demographics_adjustment,scenario_incumbency_demographics_margin,scenario_finance_scenario_adjustment,scenario_finance_scenario_margin,scenario_federal_realign_finance_adjustment,scenario_federal_realign_finance_margin,cmo_scenario_adjustment,predicted_dem_margin,selected_specification,selection_reason,model_status,dem_win_probability,margin_80_low,margin_80_high,margin_95_low,margin_95_high,predicted_winner
house,2,4303.580999333379,21626.52514867505,25930.106148008424,-66.8062986339613,0.0,True,2026,-54.99136089454826,0.12924074255967,0.2592184747042537,0,1,,0,2026,-66.8062986339613,-1.48,6.95797457992478,8.43797457992478,1.0,-63.49062890537633,-58.36832405403652,3.3156697285849743,-63.49062890537633,-60.47781769901772,-56.25883040905533,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-63.49062890537633,-11.814937739413047,-63.49062890537633,1.0,8.437974579924784,-63.49062890537633,1.0905301004090986,2.187278900201368,-66.8062986339613,3.3156697285849717,-63.49062890537633,0.0,0.0,0.0,0.0,-63.49062890537633,-63.49062890537633,-13.56670834020207,-77.0573372455784,-11.68518674142829,-75.17581564680462,-18.60221234153149,-82.09284124690782,-18.4410213517668,-81.93165025714313,-14.921241989800667,-78.411870895177,-11.24983178988212,-74.74046069525845,0.0,-63.49062890537633,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.00618,-96.56000394929207,-30.964772610307328,-100.0,-13.523060276646518,R
house,4,8012.517202648999,15989.62400935933,24002.14121200833,-33.23497989720752,0.0,True,2026,-34.36624985309761,0.273307260804298,0.4796546517480352,0,1,,0,2026,-33.23497989720752,-1.48,6.95797457992478,8.43797457992478,1.0,-29.219723622884857,-24.797005317282743,4.015256274322665,-29.219723622884857,-26.90649896226394,-22.687511672301547,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-29.219723622884857,1.1312699558900832,-29.219723622884857,1.0,8.437974579924784,-29.219723622884857,2.30615971917554,4.047313758592596,-33.23497989720752,4.015256274322667,-29.219723622884857,0.0,0.0,0.0,0.0,-29.219723622884857,-29.219723622884857,-32.482355236291085,-61.70207885917594,-11.68518674142829,-40.904910364313146,-18.60221234153149,-47.82193596441635,-30.589594669927504,-59.809318292812364,-14.921241989800667,-44.14096561268552,-11.24983178988212,-40.46955541276698,-1.8201846971865592,-29.219723622884857,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.12742,-62.43937737909038,3.562231738603605,-79.37878154547724,20.61741248970918,R
house,5,6944.004027691828,18369.922743642157,25313.92677133398,-45.13688776602323,0.0,True,2026,-43.16219504055733,0.2450680744651292,0.314652738565782,0,1,,0,2026,-45.13688776602323,-1.48,6.95797457992478,8.43797457992478,1.0,-41.902324370500615,-36.69891318609845,3.234563395522616,-41.902324370500615,-38.80840683107965,-34.58941954111725,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-41.902324370500615,-1.9746927254659,-41.902324370500615,1.0,8.437974579924784,-41.902324370500615,2.0678781826878745,2.6550318095217875,-45.13688776602323,3.2345633955226134,-41.902324370500615,0.0,0.0,0.0,0.0,-41.902324370500615,-41.902324370500615,-21.702486720151757,-63.604811090652376,-11.68518674142829,-53.587511111928904,-18.60221234153149,-60.504536712032106,-20.904789093143158,-62.80711346364377,-14.921241989800667,-56.823566360301285,-11.24983178988212,-53.15215616038273,-0.13426679194865085,-41.902324370500615,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.05082,-74.79276524651094,-9.064491940402078,-92.00834644595946,8.154720470901458,R
house,8,6160.648168375148,11153.148740470522,17313.79690884567,-28.83538832285073,0.0,True,2026,-32.18766607570143,0.4097859980351117,0.2241055498168842,0,0,-5.040517668578126,1,2026,-28.83538832285073,-1.48,6.95797457992478,8.43797457992478,1.0,-26.11246426375141,-20.39741374292595,2.7229240590993187,-26.11246426375141,-22.506907387907145,-18.287920097944752,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-26.11246426375141,3.3522777528507,-26.11246426375141,1.0,8.437974579924784,-26.11246426375141,3.4577638346293798,1.890996932574936,-28.83538832285073,2.72292405909932,-26.11246426375141,0.0,0.0,0.0,0.0,-26.11246426375141,-26.11246426375141,-14.503319942382756,-40.615784206134165,-18.065736968166053,-44.17820123191746,-3.985382934233364,-30.097847197984773,-3.6206357581804327,-29.733100021931843,-24.502129571831126,-50.61459383558254,-16.783638088745914,-42.89610235249732,0.0,-26.11246426375141,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.15232,-59.103006975078415,6.523035015384709,-76.17569132192621,24.618345142724383,R
house,10,12093.340273342505,12080.34009670268,24173.680370045186,0.0537782267359446,0.0,True,2026,-6.224657818233817,0.3892641592389784,0.5099246787771378,1,0,,0,2026,0.0537782267359446,-1.48,6.95797457992478,8.43797457992478,1.0,4.086021331415267,8.491752806660726,4.032243104679322,4.086021331415267,6.382259161679531,10.601246451641922,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,4.086021331415267,6.278436044969762,4.086021331415267,1.0,8.437974579924784,4.086021331415267,3.284601080534293,4.302731477197799,0.0537782267359446,4.032243104679322,4.086021331415267,0.0,0.0,0.0,0.0,4.086021331415267,4.086021331415267,-10.622092897097485,-6.536071565682217,20.193322901067837,24.279344232483105,18.937416765443103,23.02343809685837,-0.9120376655826057,3.1739836658326617,18.993580403314432,23.0796017347297,11.774581460859213,15.86060279227448,4.097387054173043,4.086021331415267,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.5606,-29.02226889763595,37.09846690394608,-46.80415165281317,54.61374627649839,D
house,15,10788.067243292742,14952.391925066298,25740.45916835904,-16.178128970179642,0.0,True,2026,-14.559675449978462,0.3799426579484747,0.4538136355459615,0,1,,0,2026,-16.178128970179642,-1.48,6.95797457992478,8.43797457992478,1.0,-12.70290140191546,-7.740154390254862,3.475227568264183,-12.70290140191546,-9.849648035236058,-5.630660745273666,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-12.70290140191546,-1.6184535202011805,-12.70290140191546,1.0,8.437974579924784,-12.70290140191546,3.2059464895982868,3.8292679207600737,-16.178128970179642,3.4752275682641827,-12.70290140191546,0.0,0.0,0.0,0.0,-12.70290140191546,-12.70290140191546,-35.50855049719816,-48.21145189911362,-11.68518674142829,-24.38808814334375,-18.60221234153149,-31.305113743446952,-28.24785375321573,-40.95075515513119,-14.921241989800667,-27.624143391716125,-11.24983178988212,-23.952733191797577,-1.7102974348548503,-12.70290140191546,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.30772,-45.62804280856251,20.01730475367483,-62.90323435554389,36.977667667485036,R
house,16,2683.097831441228,19992.72315938396,22675.820990825185,-76.33516482135902,0.0,True,2026,-48.13288017399185,0.1116061533005275,0.1696611642050391,0,1,,0,2026,-76.33516482135902,-1.48,6.95797457992478,8.43797457992478,1.0,-73.64992533328218,-67.89719024143423,2.685239488076835,-73.64992533328218,-70.00668388641543,-65.78769659645303,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-73.64992533328218,-28.202284647367165,-73.64992533328218,1.0,8.437974579924784,-73.64992533328218,0.9417298845130396,1.4315965907625647,-76.33516482135902,2.6852394880768315,-73.64992533328218,0.0,0.0,0.0,0.0,-73.64992533328218,-73.64992533328218,-7.617822860049267,-81.26774819333146,-11.68518674142829,-85.33511207471048,-18.60221234153149,-92.25213767481367,-13.201585275592432,-86.85151060887462,-14.921241989800667,-88.57116732308285,-11.24983178988212,-84.8997571231643,0.0,-73.64992533328218,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.00188,-100.0,-41.05645246786233,-100.0,-23.922786931581495,R
house,19,14843.804797490311,7585.010784803154,22428.815582293464,32.36369743223377,0.0,True,2026,19.591984120475825,0.620002621575567,0.3918608695652174,1,0,,0,2026,32.36369743223377,-1.48,6.95797457992478,8.43797457992478,1.0,34.79746144883655,40.80167201215855,2.43376401660278,34.79746144883655,38.69217836717736,42.91116565713975,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,34.79746144883655,12.771713311757946,34.79746144883655,1.0,8.437974579924784,34.79746144883655,5.231566360341359,3.306512056258526,32.36369743223377,2.4337640166027796,34.79746144883655,0.0,0.0,0.0,0.0,34.79746144883655,34.79746144883655,-13.561422301985155,21.236039146851397,20.193322901067837,54.99078434990439,18.937416765443103,53.734878214279654,7.881884266498783,42.67934571533533,18.993580403314432,53.79104185215098,11.774581460859213,46.57204290969577,0.0,34.79746144883655,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.91056,1.6756768128642763,67.24143509496774,-15.471104909408705,84.15634287614652,D
house,20,10701.321774745062,17769.03529253537,28470.35706728043,-24.824815161566345,0.0,True,2026,-17.740080031176152,0.145513948228198,0.6148116965124186,0,1,-4.130049195307941,1,2026,-24.824815161566345,-1.48,6.95797457992478,8.43797457992478,1.0,-19.793763940644155,-16.386840581641565,5.031051220922189,-19.793763940644155,-18.49633422662276,-14.277346936660368,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-19.793763940644155,-7.084735130390193,-19.793763940644155,1.0,8.437974579924784,-19.793763940644155,1.2278429961740258,5.18776546661222,-24.824815161566345,5.0310512209221905,-19.793763940644155,0.0,0.0,0.0,0.0,-19.793763940644155,-19.793763940644155,-34.90561752799265,-54.69938146863681,-25.026861054641557,-44.82062499528571,-18.60221234153149,-38.395976282175646,-39.643804273300766,-59.43756821394492,-33.57951162964538,-53.373275570289536,-17.390469994016225,-37.184233934660384,0.0,-19.793763940644155,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.21674,-52.68091732944321,12.663264856827771,-69.86085835055324,30.23412200621368,R
house,21,11563.279872064702,17159.157424063967,28722.43729612867,-19.48259994200945,0.0,True,2026,-18.409625857716573,0.2427039114614918,0.4422442244224422,0,1,,0,2026,-19.48259994200945,-1.48,6.95797457992478,8.43797457992478,1.0,-15.561935208509794,-11.04462536208467,3.920664733499657,-15.561935208509794,-13.154119007065866,-8.935131717103474,2026-08-07,8,catalist_yougov_demographic_transfer_selected,2026,-15.561935208509794,-1.072974084292877,-15.561935208509794,1.0,8.437974579924784,-15.561935208509794,2.047929435360383,3.7316455237951187,-19.48259994200945,3.920664733499656,-15.561935208509794,0.0,0.0,0.0,0.0,-15.561935208509794,-15.561935208509794,-29.01093790834514,-44.572873116854936,-11.68518674142829,-27.247121949938084,-18.60221234153149,-34.164147550041285,-28.573562044344065,-44.13549725285386,-14.921241989800667,-30.48317719831046,-11.24983178988212,-26.811766998391914,2.6238703614502845,-15.561935208509794,poll_adjusted_direct_baseline,complex layers failed declared forward-MAE promotion gate,baseline_first_experimental,0.26926,-48.32135978348495,17.401372141497344,-65.95491007649673,34.46575680866243,R
