region,term,estimate,std_error,p_value,ci_low,ci_high,r_squared,precincts,p_value_bh
Huntsville city,area,-0.38970509075385407,0.2329497582991009,0.09434407620732121,-0.8462866170200918,0.06687643551238365,0.8256970490977734,60,0.10482675134146802
Huntsville city,area_x_college,0.23971277774428457,0.280248158351486,0.392352447359404,-0.3095736126246279,0.788999168113197,0.8256970490977734,60,0.392352447359404
Huntsville city,area_x_noncollege,0.8933468102731488,0.2838616707568654,0.001648871388769751,0.3369779355896926,1.449715684956605,0.8256970490977734,60,0.005496237962565837
Huntsville city,area_x_time,0.025418532557587716,0.043401844128158326,0.558106984591556,-0.059649081933602605,0.11048614704877804,0.8256970490977734,60,0.558106984591556
Huntsville city,area_x_college_time,0.0006971902688180054,0.08639305596801435,0.9935611571165126,-0.16863319942849012,0.17002757996612614,0.8256970490977734,60,0.9935611571165126
Madison city,area,0.6710925947453823,0.3756660926548446,0.07403335842604149,-0.06521294685811307,1.4073981363488777,0.8163767977642997,15,0.10482675134146802
Madison city,area_x_college,-1.0092352238812772,0.42494009166026525,0.017548669792239197,-1.842117803535397,-0.17635264422715735,0.8163767977642997,15,0.025069528274627422
Madison city,area_x_noncollege,-0.6753470113880179,0.6526171800169455,0.30074890041915314,-1.9544766842212309,0.6037826614451952,0.8163767977642997,15,0.5012481673652552
Madison city,area_x_time,0.032811317882426944,0.022354920670808624,0.142173564982283,-0.01100432663235796,0.07662696239721184,0.8163767977642997,15,0.35543391245570755
Madison city,area_x_college_time,-0.024421099607846632,0.044926012296470544,0.5867271881834369,-0.1124760837089289,0.06363388449323563,0.8163767977642997,15,0.83818169740491
Madison County remainder,area,0.22728740967313676,0.052955295777264974,1.770215466381691e-05,0.12349502994969741,0.3310797893965761,0.8174291447917744,82,5.900718221272304e-05
Madison County remainder,area_x_college,-0.4144536417065345,0.06979930254058718,2.8888870898527408e-09,-0.5512602746860853,-0.2776470087269836,0.8174291447917744,82,1.4444435449263704e-08
Madison County remainder,area_x_noncollege,-0.15889119009925076,0.06239675862662902,0.010881998282663837,-0.2811888370074436,-0.036593543191057884,0.8174291447917744,82,0.027204995706659595
Madison County remainder,area_x_time,-0.017649346317213474,0.009377294498954908,0.05981751262287292,-0.0360288435351651,0.0007301509007381461,0.8174291447917744,82,0.29908756311436463
Madison County remainder,area_x_college_time,0.08943553613621509,0.02611362041865314,0.0006151126531555914,0.03825284011565493,0.14061823215677524,0.8174291447917744,82,0.006151126531555914
Birmingham city,area,-1.3403919534234592,0.3213672377835446,3.033934319973321e-05,-1.9702717394792066,-0.7105121673677118,0.8367283949490687,31,7.584835799933303e-05
Birmingham city,area_x_college,1.9230887923322926,0.3743365520258685,2.7867572189779314e-07,1.1893891503615903,2.656788434302995,0.8367283949490687,31,6.966893047444829e-07
Birmingham city,area_x_noncollege,1.3012040194313137,0.4105029003081755,0.001525542213648192,0.4966183348272898,2.1057897040353377,0.8367283949490687,31,0.005496237962565837
Birmingham city,area_x_time,0.044748428686531075,0.06267933434579372,0.4752727197171963,-0.07810306663122461,0.16759992400428675,0.8367283949490687,31,0.5280807996857737
Birmingham city,area_x_college_time,0.0022235125000045442,0.11976505103861555,0.9851876288848304,-0.23251598753568192,0.23696301253569102,0.8367283949490687,31,0.9935611571165126
Birmingham educated suburbs,area,0.1535874076613487,0.1044944782686057,0.1416122385903496,-0.05122176974511844,0.35839658506781585,0.8164945776304412,108,0.1416122385903496
Birmingham educated suburbs,area_x_college,-0.18177913660434936,0.11559033954780981,0.11580792257406275,-0.40833620211805655,0.04477792890935786,0.8164945776304412,108,0.12867546952673636
