state,year,chamber,district,actual_dem_margin,environment_baseline_margin,incumbency_balance,source_era,gap
AL,2010,house,1.0,1.475644699140401,-25.8163600897237,0.0,historical_1994_2016,27.2920047888641
AL,2010,house,2.0,-9.472016134841173,-38.994076425699646,1.0,historical_1994_2016,29.522060290858473
AL,2010,house,4.0,-39.71374374892223,-53.83533857579286,-1.0,historical_1994_2016,14.121594826870634
AL,2010,house,5.0,-23.96368498838764,-47.7326613358271,1.0,historical_1994_2016,23.768976347439462
AL,2010,house,7.0,-1.320768187334904,-30.5545573015698,1.0,historical_1994_2016,29.2337891142349
AL,2010,house,8.0,-12.17472911867588,-25.247072254954624,0.0,historical_1994_2016,13.072343136278743
AL,2010,house,9.0,-45.29587871838971,-63.619754587448014,0.0,historical_1994_2016,18.323875869058305
AL,2010,house,12.0,-8.33881283997848,-59.92005359219181,0.0,historical_1994_2016,51.58124075221333
AL,2010,house,13.0,-21.281117182756528,-46.525643347555146,1.0,historical_1994_2016,25.244526164798618
AL,2010,house,14.0,-38.7120761451517,-45.75822354936899,1.0,historical_1994_2016,7.046147404217294
AL,2010,house,16.0,-7.751265365148228,-51.51390735939578,1.0,historical_1994_2016,43.76264199424755
AL,2010,house,21.0,-3.5239206534422403,-28.9672199709334,1.0,historical_1994_2016,25.44329931749116
AL,2010,house,22.0,-29.564625850340136,-56.82465400458243,0.0,historical_1994_2016,27.260028154242292
AL,2010,house,24.0,-6.667559244878833,-44.84770379569969,-1.0,historical_1994_2016,38.180144550820856
AL,2010,house,26.0,-19.294468367008943,-61.38927758428797,0.0,historical_1994_2016,42.09480921727902
AL,2010,house,27.0,-6.551122033240639,-62.99688457562949,1.0,historical_1994_2016,56.44576254238885
AL,2010,house,29.0,-3.901875388854324,-30.23476024603396,1.0,historical_1994_2016,26.332884857179636
AL,2010,house,30.0,-45.10970129526831,-61.70999443760802,-1.0,historical_1994_2016,16.60029314233971
AL,2010,house,36.0,-52.54797671242723,-52.634048197533495,-1.0,historical_1994_2016,0.08607148510626672
AL,2010,house,37.0,7.243500694582258,-36.14050743219481,1.0,historical_1994_2016,43.38400812677707
AL,2010,house,38.0,-1.978171896316508,-21.736978458829668,-1.0,historical_1994_2016,19.75880656251316
AL,2010,house,39.0,14.152046783625732,-47.9490695085704,1.0,historical_1994_2016,62.10111629219614
AL,2010,house,40.0,-25.038223516563523,-52.96753417693457,0.0,historical_1994_2016,27.929310660371048
AL,2010,house,42.0,-26.493191317244168,-56.19364050509599,1.0,historical_1994_2016,29.700449187851824
AL,2010,house,43.0,-60.3998236072321,-70.98253619899846,-1.0,historical_1994_2016,10.58271259176636
AL,2010,house,45.0,-23.078082604763345,-24.231797922657663,-1.0,historical_1994_2016,1.1537153178943171
AL,2010,house,61.0,29.178351093662368,-32.85544065190162,1.0,historical_1994_2016,62.03379174556399
AL,2010,house,63.0,-27.65930113052416,-39.68245112314887,0.0,historical_1994_2016,12.023149992624713
AL,2010,house,73.0,1.9546422754040849,-14.725436191080924,-1.0,historical_1994_2016,16.680078466485007
AL,2010,house,75.0,-43.348471704852784,-47.16741703265173,-1.0,historical_1994_2016,3.818945327798943
AL,2010,house,81.0,-11.83781826957886,-32.27117641047698,1.0,historical_1994_2016,20.43335814089812
AL,2010,house,84.0,30.31218529707956,43.54926046532286,0.0,historical_1994_2016,-13.237075168243301
AL,2010,house,85.0,3.375299297134472,-20.912774557980065,0.0,historical_1994_2016,24.288073855114536
AL,2010,house,86.0,-16.068939297934357,-53.39588720516454,0.0,historical_1994_2016,37.326947907230185
AL,2010,house,90.0,18.860864745011085,-26.910429015148875,1.0,historical_1994_2016,45.77129376015996
AL,2010,house,91.0,-28.87626346039506,-55.67617660687099,1.0,historical_1994_2016,26.79991314647593
AL,2010,house,98.0,35.48903794173591,34.09432329125931,0.0,historical_1994_2016,1.394714650476601
AL,2010,senate,1.0,11.852137824534312,-27.231797662775605,0.0,historical_1994_2016,39.083935487309915
AL,2010,senate,2.0,-17.80431295669221,-44.64100889444411,1.0,historical_1994_2016,26.8366959377519
AL,2010,senate,4.0,-15.529602741579112,-51.900592755751845,1.0,historical_1994_2016,36.37099001417273
AL,2010,senate,5.0,-46.566622186248985,-51.41169086511536,0.0,historical_1994_2016,4.845068678866376
AL,2010,senate,6.0,6.823636987084238,-43.46062042830994,1.0,historical_1994_2016,50.28425741539417
AL,2010,senate,7.0,-9.780724562315823,-18.975519361124995,0.0,historical_1994_2016,9.194794798809172
AL,2010,senate,8.0,-1.445136512469534,-44.845560605904176,1.0,historical_1994_2016,43.400424093434644
AL,2010,senate,9.0,-37.75325574642036,-63.97462081874696,0.0,historical_1994_2016,26.221365072326606
AL,2010,senate,10.0,-7.398960432799406,-39.6116730377874,1.0,historical_1994_2016,32.21271260498799
AL,2010,senate,13.0,-0.9585693955911178,-35.503374173757386,0.0,historical_1994_2016,34.54480477816627
AL,2010,senate,17.0,-62.41675392670157,-66.81233210476894,-1.0,historical_1994_2016,4.395578178067375
AL,2010,senate,22.0,10.835345675699848,-36.76747181702834,0.0,historical_1994_2016,47.602817492728185
AL,2010,senate,25.0,-45.917066586682665,-45.81181211051622,0.0,historical_1994_2016,-0.10525447616644357
AL,2010,senate,33.0,46.8161718256475,38.16570699654607,1.0,historical_1994_2016,8.65046482910143
AL,2010,senate,35.0,-18.262273901808783,-20.14781111308936,-1.0,historical_1994_2016,1.8855372112805782
AR,1994,house,7.0,34.1795381556813,30.08970313258101,1.0,historical_1994_2016,4.089835023100289
AR,1994,house,8.0,9.954360429258664,15.651385760251486,0.0,historical_1994_2016,-5.6970253309928225
AR,1994,house,15.0,8.412735300952823,9.202947825999898,-1.0,historical_1994_2016,-0.7902125250470746
AR,1994,house,16.0,15.84204413472706,8.310139100310547,0.0,historical_1994_2016,7.531905034416512
AR,1994,house,21.0,28.78688524590164,24.23079107987549,1.0,historical_1994_2016,4.556094166026149
AR,1994,house,24.0,18.77264010227999,9.837454883679346,1.0,historical_1994_2016,8.935185218600644
AR,1994,house,29.0,-15.033557046979864,9.11887497253351,-1.0,historical_1994_2016,-24.152432019513373
AR,1994,house,30.0,3.908879109500388,4.039546017238614,1.0,historical_1994_2016,-0.13066690773822565
AR,1994,house,40.0,-14.312868275993155,6.286641105790198,0.0,historical_1994_2016,-20.599509381783353
AR,1994,house,42.0,16.286609748189775,14.774236974816189,0.0,historical_1994_2016,1.5123727733735866
AR,1994,house,44.0,3.5004070240725667,12.506180316106237,1.0,historical_1994_2016,-9.00577329203367
AR,1994,house,46.0,4.331192785899713,5.060790443947347,1.0,historical_1994_2016,-0.7295976580476342
AR,1994,house,47.0,35.95302619692863,24.432116839469657,0.0,historical_1994_2016,11.520909357458976
AR,1994,house,55.0,19.744922059518185,13.088607975462391,1.0,historical_1994_2016,6.6563140840557935
AR,1994,house,56.0,49.50859950859951,49.667129087491794,0.0,historical_1994_2016,-0.15852957889228492
AR,1994,house,57.0,38.84706146758063,31.955336456692965,0.0,historical_1994_2016,6.891725010887665
AR,1994,house,60.0,5.133306804615997,13.539415686073664,0.0,historical_1994_2016,-8.406108881457666
AR,1994,house,61.0,27.816091954022987,15.308227245407531,1.0,historical_1994_2016,12.507864708615456
AR,1994,house,62.0,19.6319018404908,4.11219339128163,1.0,historical_1994_2016,15.519708449209173
AR,1994,house,63.0,1.6577771370909615,4.199958959550028,1.0,historical_1994_2016,-2.542181822459067
AR,1994,house,67.0,30.806324997196366,25.037449176118127,1.0,historical_1994_2016,5.76887582107824
AR,1994,house,71.0,6.954720331459011,29.673744174003108,0.0,historical_1994_2016,-22.719023842544097
AR,1994,house,83.0,16.4451313755796,29.65383011260948,1.0,historical_1994_2016,-13.20869873702988
AR,1994,house,93.0,-10.421455938697315,18.52138571705052,0.0,historical_1994_2016,-28.942841655747834
AR,1994,house,94.0,2.6205681567936576,51.3685096903066,-1.0,historical_1994_2016,-48.74794153351294
AR,1994,house,96.0,25.59613139903285,17.460604755181468,0.0,historical_1994_2016,8.135526643851382
AR,1994,senate,14.0,-17.79191651027601,14.018110795454543,0.0,historical_1994_2016,-31.810027305730554
AR,1994,senate,17.0,56.8092364208869,52.132718181332,0.0,historical_1994_2016,4.676518239554895
AR,1994,senate,18.0,10.060268891979602,18.66160901769941,1.0,historical_1994_2016,-8.601340125719807
AR,1994,senate,23.0,5.216952573158426,16.253045753993323,1.0,historical_1994_2016,-11.036093180834897
AR,1994,senate,24.0,48.30985238255518,29.76701410785946,1.0,historical_1994_2016,18.54283827469572
AR,1994,senate,30.0,30.02683629857867,26.78367346938776,1.0,historical_1994_2016,3.243162829190908
AR,1994,senate,32.0,-3.541249066540896,8.05399666312756,0.0,historical_1994_2016,-11.595245729668456
AR,1996,house,8.0,1.980797508866015,8.055358410220014,1.0,historical_1994_2016,-6.074560901353999
AR,1996,house,15.0,18.4736996194008,-3.277163388269574,1.0,historical_1994_2016,21.750863007670375
AR,1996,house,16.0,15.061728395061728,9.496176572354232,1.0,historical_1994_2016,5.565551822707496
AR,1996,house,17.0,14.299990006995104,7.860468115641768,1.0,historical_1994_2016,6.439521891353336
AR,1996,house,22.0,9.025702331141662,26.123163453899483,1.0,historical_1994_2016,-17.09746112275782
AR,1996,house,24.0,12.412393950571746,4.7747498466317095,1.0,historical_1994_2016,7.637644103940036
AR,1996,house,25.0,30.60103931758016,8.24429985023222,1.0,historical_1994_2016,22.35673946734794
AR,1996,house,28.0,41.11976269929552,44.00994732716258,0.0,historical_1994_2016,-2.8901846278670575
AR,1996,house,29.0,-18.62963321397465,-3.901281442809682,0.0,historical_1994_2016,-14.728351771164968
AR,1996,house,30.0,2.6561232765612326,0.1822474245467989,0.0,historical_1994_2016,2.4738758520144337
AR,1996,house,33.0,24.870941284315144,21.465542906974125,0.0,historical_1994_2016,3.405398377341019
AR,1996,house,41.0,1.4522627190105877,17.49232899712645,1.0,historical_1994_2016,-16.040066278115862
AR,1996,house,46.0,3.68960778094936,4.794586827363326,0.0,historical_1994_2016,-1.1049790464139662
AR,1996,house,49.0,33.32383124287343,13.98062411367466,1.0,historical_1994_2016,19.343207129198774
AR,1996,house,53.0,-13.32470892626132,8.854620843922902,-1.0,historical_1994_2016,-22.17932977018422
AR,1996,house,55.0,-7.332478042040856,16.71821988441039,0.0,historical_1994_2016,-24.05069792645125
AR,1996,house,60.0,12.15926493108729,16.213028824944534,1.0,historical_1994_2016,-4.053763893857244
AR,1996,house,63.0,13.51054481546573,6.05168708506091,0.0,historical_1994_2016,7.45885773040482
AR,1996,house,64.0,13.931352754542832,15.65050078184466,0.0,historical_1994_2016,-1.7191480273018271
AR,1996,house,69.0,8.430709802028005,3.3316421444275326,1.0,historical_1994_2016,5.0990676576004725
AR,1996,house,71.0,7.047103677284467,36.15208645578607,1.0,historical_1994_2016,-29.1049827785016
AR,1996,house,78.0,51.05709583491581,31.64581590207384,1.0,historical_1994_2016,19.411279932841975
AR,1996,house,82.0,13.947730398899589,37.28961476125171,0.0,historical_1994_2016,-23.341884362352125
