state,year,chamber,district,actual_dem_margin,environment_baseline_margin,incumbency_balance,source_era,gap
AR,1996,house,86.0,16.540981579923354,12.95242299971328,0.0,historical_1994_2016,3.5885585802100746
AR,1996,house,91.0,38.74190064794816,30.60849598163031,1.0,historical_1994_2016,8.133404666317848
AR,1996,house,95.0,27.665505226480835,31.67840769316784,1.0,historical_1994_2016,-4.012902466687006
AR,1996,senate,12.0,3.4990928277853888,13.690340265259897,0.0,historical_1994_2016,-10.191247437474509
AR,1996,senate,13.0,4.965194153937515,15.564532654196306,1.0,historical_1994_2016,-10.599338500258792
AR,1996,senate,15.0,18.123858648639988,17.061818181818182,0.0,historical_1994_2016,1.0620404668218058
AR,1996,senate,25.0,22.91052795784657,14.043123560008636,1.0,historical_1994_2016,8.867404397837932
AR,1996,senate,28.0,19.88064591621812,32.18516674962668,1.0,historical_1994_2016,-12.30452083340856
AR,1996,senate,29.0,20.59008160703076,18.26780415430267,0.0,historical_1994_2016,2.322277452728091
AR,1998,house,4.0,-18.58901597834629,-23.00634849047071,0.0,historical_1994_2016,4.417332512124421
AR,1998,house,5.0,-16.00264725347452,-35.80522724085773,0.0,historical_1994_2016,19.80257998738321
AR,1998,house,6.0,-12.06919494344644,-29.3119698397738,0.0,historical_1994_2016,17.242774896327358
AR,1998,house,8.0,8.275790992476553,-6.311389759665622,1.0,historical_1994_2016,14.587180752142174
AR,1998,house,9.0,-12.23780414718926,-16.78576938824311,0.0,historical_1994_2016,4.54796524105385
AR,1998,house,10.0,5.120598478008513,-6.7820373363305135,0.0,historical_1994_2016,11.902635814339027
AR,1998,house,11.0,-4.045864045864046,-9.335568769947646,0.0,historical_1994_2016,5.2897047240836
AR,1998,house,17.0,13.284963722792094,0.667277426059369,0.0,historical_1994_2016,12.617686296732725
AR,1998,house,21.0,-2.3023380331965018,20.37106291277576,0.0,historical_1994_2016,-22.67340094597226
AR,1998,house,22.0,-4.7791346298808985,23.40759550124428,0.0,historical_1994_2016,-28.18673013112518
AR,1998,house,24.0,13.852102464958918,-0.9677601594404236,0.0,historical_1994_2016,14.819862624399342
AR,1998,house,25.0,7.365185090303574,5.151460598918756,0.0,historical_1994_2016,2.213724491384818
AR,1998,house,26.0,28.550074738415542,13.614589772037853,0.0,historical_1994_2016,14.93548496637769
AR,1998,house,30.0,18.096856414613423,0.9450807556742236,1.0,historical_1994_2016,17.1517756589392
AR,1998,house,35.0,1.277740416946873,23.48765901187969,0.0,historical_1994_2016,-22.209918594932816
AR,1998,house,37.0,21.5771387230964,27.855738987480585,0.0,historical_1994_2016,-6.278600264384185
AR,1998,house,39.0,14.82209124645274,4.330917331668975,0.0,historical_1994_2016,10.491173914783765
AR,1998,house,40.0,-11.181715691298557,-10.883985662565962,0.0,historical_1994_2016,-0.2977300287325946
AR,1998,house,41.0,-7.324469325868906,14.798521538427316,0.0,historical_1994_2016,-22.12299086429622
AR,1998,house,44.0,-5.138511678435632,6.720992428049457,0.0,historical_1994_2016,-11.85950410648509
AR,1998,house,49.0,-8.85987815491732,-2.011491006523897,0.0,historical_1994_2016,-6.848387148393423
AR,1998,house,51.0,43.11998434135839,20.72554537750298,0.0,historical_1994_2016,22.39443896385541
AR,1998,house,52.0,6.57672849915683,17.895157511734105,0.0,historical_1994_2016,-11.318429012577276
AR,1998,house,53.0,-18.39429829158369,-4.594391406057424,-1.0,historical_1994_2016,-13.799906885526267
AR,1998,house,54.0,15.826238812486356,13.254994525706786,0.0,historical_1994_2016,2.571244286779569
AR,1998,house,55.0,-18.06668389764797,6.453994599022315,-1.0,historical_1994_2016,-24.520678496670286
AR,1998,house,61.0,22.008824292758888,11.322132938308656,0.0,historical_1994_2016,10.686691354450232
AR,1998,house,62.0,-5.360267218069032,-0.7849939105776257,0.0,historical_1994_2016,-4.575273307491406
AR,1998,house,63.0,-0.6726049809125614,0.950186061506126,1.0,historical_1994_2016,-1.6227910424186873
AR,1998,house,64.0,26.614699331848552,7.327942094443422,1.0,historical_1994_2016,19.28675723740513
AR,1998,house,67.0,25.52240608769175,22.96029344766501,0.0,historical_1994_2016,2.56211264002674
AR,1998,house,68.0,-3.314045239347712,4.224542490198307,0.0,historical_1994_2016,-7.53858772954602
AR,1998,house,69.0,-8.298894225399307,-8.665172921584636,0.0,historical_1994_2016,0.36627869618532927
AR,1998,house,70.0,32.90049400141143,17.089121912121676,0.0,historical_1994_2016,15.811372089289755
AR,1998,house,72.0,57.636887608069166,59.03903594956624,0.0,historical_1994_2016,-1.4021483414970746
AR,1998,house,76.0,37.72418058132344,27.605976778415403,0.0,historical_1994_2016,10.118203802908035
AR,1998,house,85.0,24.0381833960081,32.05472541185031,0.0,historical_1994_2016,-8.016542015842212
AR,1998,house,92.0,53.90900649953575,43.69160311643613,0.0,historical_1994_2016,10.217403383099622
AR,1998,house,96.0,15.395580898075552,34.508421464943204,0.0,historical_1994_2016,-19.112840566867654
AR,1998,senate,2.0,23.34628025097102,12.978069710774449,1.0,historical_1994_2016,10.368210540196571
AR,1998,senate,23.0,25.875732169518777,36.14429347381176,1.0,historical_1994_2016,-10.26856130429298
AR,1998,senate,24.0,28.29184280569908,22.75936840589072,0.0,historical_1994_2016,5.532474399808361
AR,1998,senate,26.0,6.778138063054264,-7.635548709323297,1.0,historical_1994_2016,14.413686772377561
AR,1998,senate,33.0,-27.46903778977453,-31.36385034768314,0.0,historical_1994_2016,3.8948125579086117
AR,1998,senate,35.0,24.13639996447917,-0.5046219800830617,1.0,historical_1994_2016,24.641021944562233
AR,2022,house,1.0,-62.86939390427628,-72.95507261190562,0.0,recent_2018_2024,10.085678707629341
AR,2022,house,6.0,-39.25243430007329,-42.65359492365655,-1.0,recent_2018_2024,3.4011606235832588
AR,2022,house,9.0,-3.9593171086087904,-3.865647958922302,0.0,recent_2018_2024,-0.09366914968648832
AR,2022,house,10.0,-12.610122646398342,-19.641300089382035,0.0,recent_2018_2024,7.031177442983694
AR,2022,house,11.0,-22.016748080949057,-23.7708986360958,0.0,recent_2018_2024,1.7541505551467438
AR,2022,house,13.0,-11.250836120401338,-17.865002088977903,0.0,recent_2018_2024,6.614165968576565
AR,2022,house,14.0,-26.664223769390496,-31.441692437800008,0.0,recent_2018_2024,4.777468668409512
AR,2022,house,15.0,-17.66016713091922,-17.484403859041052,-1.0,recent_2018_2024,-0.17576327187816787
AR,2022,house,18.0,-24.651797019577288,-27.22682355291611,-1.0,recent_2018_2024,2.5750265333388214
AR,2022,house,19.0,-7.701478302336671,-14.48101809791802,0.0,recent_2018_2024,6.779539795581348
AR,2022,house,22.0,5.02663886958536,-3.481859755529412,1.0,recent_2018_2024,8.508498625114772
AR,2022,house,25.0,-37.65009339144356,-48.755969290449656,0.0,recent_2018_2024,11.105875899006094
AR,2022,house,29.0,-53.15849486887115,-55.82002234702934,-1.0,recent_2018_2024,2.6615274781581846
AR,2022,house,34.0,-8.208092485549132,-11.70085455805437,0.0,recent_2018_2024,3.492762072505238
AR,2022,house,37.0,-48.346456692913385,-46.20509176631999,-1.0,recent_2018_2024,-2.141364926593397
AR,2022,house,49.0,16.720923350103583,7.709005403160114,1.0,recent_2018_2024,9.01191794694347
AR,2022,house,50.0,-31.287848203471945,-28.54368284230499,0.0,recent_2018_2024,-2.7441653611669565
AR,2022,house,55.0,-15.503790792220634,-15.36487879086619,0.0,recent_2018_2024,-0.13891200135444493
AR,2022,house,56.0,0.1235483073881887,-10.431433356372438,1.0,recent_2018_2024,10.554981663760627
AR,2022,house,58.0,-60.004371106982845,-58.03855142726083,-1.0,recent_2018_2024,-1.965819679722017
AR,2022,house,59.0,-67.97649651120088,-68.4280555430013,-1.0,recent_2018_2024,0.45155903180042856
AR,2022,house,61.0,-39.61735884274382,-42.0888451845453,0.0,recent_2018_2024,2.47148634180148
AR,2022,house,62.0,-2.544890840976618,-0.2267309471579759,-1.0,recent_2018_2024,-2.3181598938186423
AR,2022,house,67.0,-5.172413793103448,-9.837769556855967,-1.0,recent_2018_2024,4.665355763752519
AR,2022,house,69.0,-38.17626527050611,-42.03366912101546,-1.0,recent_2018_2024,3.8574038505093498
AR,2022,house,70.0,-11.328329551405131,-11.344257658543713,-1.0,recent_2018_2024,0.015928107138581282
AR,2022,house,71.0,-18.73536299765808,-10.718900336024385,0.0,recent_2018_2024,-8.016462661633694
AR,2022,house,73.0,19.89046930858751,9.948943934766495,1.0,recent_2018_2024,9.941525373821014
AR,2022,house,75.0,9.69865788807293,2.0938847786361983,1.0,recent_2018_2024,7.6047731094367315
AR,2022,house,81.0,-27.227071625014947,-30.13209654282415,0.0,recent_2018_2024,2.905024917809204
AR,2022,house,84.0,-27.36122378027581,-31.66397051171355,-1.0,recent_2018_2024,4.30274673143774
AR,2022,house,87.0,-59.65028480593456,-61.26518265918078,-1.0,recent_2018_2024,1.6148978532462195
AR,2022,house,91.0,-33.16740612487826,-33.22581515825311,-1.0,recent_2018_2024,0.058409033374850594
AR,2022,house,94.0,-26.178266178266178,-28.793584639213933,-1.0,recent_2018_2024,2.615318460947755
AR,2022,house,98.0,-8.881945994197723,-16.78785421647771,1.0,recent_2018_2024,7.905908222279988
AR,2022,senate,2.0,-35.51433903340062,-39.8386984182159,0.0,recent_2018_2024,4.324359384815281
AR,2022,senate,6.0,-39.48634590377113,-41.97460922377403,0.0,recent_2018_2024,2.4882633200029005
AR,2022,senate,9.0,7.011421319796955,7.417368735428521,0.0,recent_2018_2024,-0.4059474156315668
AR,2022,senate,10.0,-44.98754542855976,-48.241012122916906,-1.0,recent_2018_2024,3.2534666943571438
AR,2022,senate,13.0,-8.39429227488929,-12.174256568153584,-1.0,recent_2018_2024,3.7799642932642943
AR,2022,senate,14.0,27.00829513206724,17.400568961602552,1.0,recent_2018_2024,9.607726170464687
AR,2022,senate,17.0,-17.443928982524678,-18.519526866981,-1.0,recent_2018_2024,1.0755978844563217
AR,2022,senate,18.0,-66.30405535268115,-68.88834537504414,-1.0,recent_2018_2024,2.5842900223629925
AR,2022,senate,20.0,-24.702710509845456,-36.74407272043198,-1.0,recent_2018_2024,12.041362210586524
AR,2022,senate,23.0,-59.46602749758648,-65.65646105879276,-1.0,recent_2018_2024,6.190433561206277
AR,2022,senate,27.0,-27.14795201556252,-25.30270164091702,0.0,recent_2018_2024,-1.8452503746454987
AR,2022,senate,28.0,-51.926298157453935,-57.87431300977803,0.0,recent_2018_2024,5.948014852324093
AR,2022,senate,31.0,-20.269478617457526,-21.86803746185388,0.0,recent_2018_2024,1.5985588443963543
AR,2024,house,6.0,-38.985827803719175,-41.48642692365655,,recent_2018_2024,2.5005991199373767
AR,2024,house,7.0,-32.906339923883785,-32.15273310055608,,recent_2018_2024,-0.7536068233277078
AR,2024,house,9.0,9.77319587628866,-2.698479958922302,,recent_2018_2024,12.471675835210963
AR,2024,house,10.0,-13.106090632844497,-18.474132089382035,,recent_2018_2024,5.368041456537538
AR,2024,house,11.0,-18.260207963479584,-22.6037306360958,,recent_2018_2024,4.343522672616217
AR,2024,house,12.0,-45.55757026291931,-47.29170796368097,,recent_2018_2024,1.7341377007616572
AR,2024,house,13.0,-16.88163884673748,-16.697834088977906,,recent_2018_2024,-0.1838047577595745
AR,2024,house,14.0,-30.411607936037903,-30.27452443780001,,recent_2018_2024,-0.13708349823789234
AR,2024,house,15.0,-13.232416846874678,-16.31723585904105,,recent_2018_2024,3.0848190121663706
AR,2024,house,18.0,-28.83274660040036,-26.059655552916112,,recent_2018_2024,-2.7730910474842467
AR,2024,house,19.0,-11.641052817523406,-13.31385009791802,,recent_2018_2024,1.6727972803946152
AR,2024,house,24.0,-65.82947785855916,-67.98580713053839,,recent_2018_2024,2.1563292719792315
AR,2024,house,25.0,-41.30312412046158,-47.58880129044965,,recent_2018_2024,6.28567716998807
AR,2024,house,30.0,-61.21047877145438,-61.65038538029787,,recent_2018_2024,0.4399066088434864
AR,2024,house,32.0,-21.165475536008795,-25.88811497806824,,recent_2018_2024,4.722639442059446
AR,2024,house,34.0,-24.016358764631224,-10.53368655805437,,recent_2018_2024,-13.482672206576854
AR,2024,house,35.0,1.2940557601262492,3.3847785565592723,,recent_2018_2024,-2.090722796433023
AR,2024,house,36.0,-35.71519714176343,-41.24530008484267,,recent_2018_2024,5.5301029430792354
AR,2024,house,37.0,-44.85397032751703,-45.03792376631999,,recent_2018_2024,0.1839534388029591
AR,2024,house,41.0,-58.64923461007818,-70.77423028775885,,recent_2018_2024,12.124995677680673
AR,2024,house,42.0,-60.09942438513867,-68.56991350410188,,recent_2018_2024,8.470489118963208
AR,2024,house,45.0,-53.542821934688845,-58.786593643102975,,recent_2018_2024,5.24377170841413
AR,2024,house,50.0,-27.910266774454325,-27.376514842304985,,recent_2018_2024,-0.5337519321493396
AR,2024,house,51.0,-36.45565795437377,-41.90442461111152,,recent_2018_2024,5.448766656737753
AR,2024,house,53.0,-46.78241996744438,-38.48461238192144,,recent_2018_2024,-8.297807585522946
AR,2024,house,54.0,-39.291239961688646,-45.18996813195957,,recent_2018_2024,5.898728170270921
AR,2024,house,55.0,-16.99519628954779,-14.19771079086619,,recent_2018_2024,-2.797485498681599
AR,2024,house,56.0,7.640895953757226,-9.264265356372436,,recent_2018_2024,16.90516131012966
AR,2024,house,57.0,-69.47547009755408,-72.71151317132492,,recent_2018_2024,3.236043073770844
AR,2024,house,58.0,-51.049913941480206,-56.87138342726082,,recent_2018_2024,5.821469485780611
AR,2024,house,62.0,-7.308970099667774,0.9404370528420244,,recent_2018_2024,-8.249407152509798
AR,2024,house,63.0,9.658130768230858,7.660529702849052,,recent_2018_2024,1.9976010653818062
AR,2024,house,66.0,40.47395588925387,29.26635797342619,,recent_2018_2024,11.207597915827684
AR,2024,house,67.0,-4.457379794274779,-8.670601556855967,,recent_2018_2024,4.213221762581188
AR,2024,house,68.0,-56.39121257133922,-62.605276213095664,,recent_2018_2024,6.2140636417564465
AR,2024,house,69.0,-42.50690607734806,-40.86650112101546,,recent_2018_2024,-1.6404049563326026
AR,2024,house,70.0,-1.932954852662882,-10.177089658543713,,recent_2018_2024,8.244134805880831
AR,2024,house,71.0,-11.35768223146864,-9.551732336024385,,recent_2018_2024,-1.8059498954442557
AR,2024,house,78.0,-34.49887695016087,-38.35773940757333,,recent_2018_2024,3.8588624574124566
AR,2024,house,81.0,-20.40058706725373,-28.964928542824147,,recent_2018_2024,8.564341475570416
AR,2024,house,82.0,-34.998637478426744,-39.77932469986372,,recent_2018_2024,4.7806872214369776
AR,2024,house,83.0,-50.1996007984032,-54.0460447578372,,recent_2018_2024,3.846443959433998
AR,2024,house,84.0,-35.58259587020649,-30.496802511713547,,recent_2018_2024,-5.085793358492943
AR,2024,house,85.0,-51.221328567173074,-52.51875321668074,,recent_2018_2024,1.2974246495076684
AR,2024,house,86.0,-75.64998821773624,-74.00119328265953,,recent_2018_2024,-1.6487949350767082
AR,2024,house,92.0,-69.58586908119341,-71.69337827483406,,recent_2018_2024,2.1075091936406523
AR,2024,house,94.0,-31.09537008520686,-27.626416639213936,,recent_2018_2024,-3.4689534459929234
AR,2024,house,96.0,-45.61062520246194,-49.42552008722498,,recent_2018_2024,3.814894884763042
AR,2024,house,97.0,-38.99470899470899,-32.217221289682094,,recent_2018_2024,-6.7774877050269
AR,2024,senate,17.0,-16.468411313772137,-17.352358866980996,,recent_2018_2024,0.8839475532088592
AR,2024,senate,20.0,-21.80012950571984,-35.57690472043198,,recent_2018_2024,13.776775214712142
AR,2024,senate,22.0,-64.4551010263458,-68.27742838939734,,recent_2018_2024,3.822327363051542
AR,2024,senate,25.0,-48.44564350971856,-53.37100092626414,,recent_2018_2024,4.92535741654558
AR,2024,senate,34.0,-27.767175572519083,-29.390388242658368,,recent_2018_2024,1.623212670139285
FL,2010,house,3.0,-20.584976733879905,-33.111799853021054,-1.0,historical_1994_2016,12.526823119141149
FL,2010,house,6.0,-56.26360159732933,-68.99557737045275,-1.0,historical_1994_2016,12.731975773123423
FL,2010,house,7.0,-48.57142857142857,-68.65087354316265,-1.0,historical_1994_2016,20.079444971734077
FL,2010,house,9.0,17.300656068634872,-40.92167136907161,1.0,historical_1994_2016,58.22232743770648
FL,2010,house,10.0,18.9728083437411,-40.40561622464899,1.0,historical_1994_2016,59.37842456839009
FL,2010,house,11.0,-14.532764637456378,-60.47728094491985,1.0,historical_1994_2016,45.94451630746347
FL,2010,house,15.0,33.4793597304128,27.14111358949539,0.0,historical_1994_2016,6.338246140917413
FL,2010,house,18.0,-47.27298334565684,-69.2445532221761,-1.0,historical_1994_2016,21.971569876519254
FL,2010,house,20.0,-31.560016244126007,-54.34620545698524,-1.0,historical_1994_2016,22.78618921285923
FL,2010,house,22.0,-21.38970418494212,-43.66223379521994,0.0,historical_1994_2016,22.27252961027782
