evidence_class,audit_priority,candidates,contested_candidates
annotation_only_review,externally_verified_incumbent,2,1
corroborated,standard,44,18
non_incumbent_candidate,standard,99,74
prior_winner_only,externally_verified_party_switch,5,3
prior_winner_only,standard,47,18
