model,year,races,mae,rmse,bias
baseline_only,2020,268,6.3076776187437815,8.16999643670477,0.643194986530876
baseline_only,2022,302,4.290765344443292,5.779423372536368,1.7380811746834823
baseline_only,2024,335,3.6199685707174605,4.843334618667295,0.49966440914032345
pooled_recent,2020,268,6.540526026299832,8.679056368182122,2.9984791906919215
pooled_recent,2022,302,4.784600431190494,6.3316489710622275,3.1159220695522585
pooled_recent,2024,335,3.6269189090511578,4.854077182222059,0.5948441681224785
ridge_all_era,2020,268,10.857421512290092,12.827509754976644,-8.174781246998771
ridge_all_era,2022,302,8.891980518895256,10.131305686806929,-5.816435056685183
ridge_all_era,2024,335,8.531992802855386,9.701567732650169,-7.521027760850744
ridge_half_life_4,2020,268,8.513359780951587,10.103049586074203,-4.45621430890989
ridge_half_life_4,2022,302,5.595832912802882,6.798157186007896,-1.6042199005415942
ridge_half_life_4,2024,335,4.408501175492294,5.541001180262923,-2.6483848701356294
ridge_half_life_8,2020,268,9.721074586236751,11.485804778938984,-6.549859417961006
ridge_half_life_8,2022,302,7.163291531516794,8.28468475052348,-3.8238566849076925
ridge_half_life_8,2024,335,6.088795614021136,7.16321531904081,-4.9016510306892505
ridge_recent_only,2020,268,6.5250463310607305,8.699691860348349,3.113219748939014
ridge_recent_only,2022,302,4.602822322941298,6.068035772631667,2.8273057866191733
ridge_recent_only,2024,335,3.741807175975897,4.953860123401244,0.4639027569063527
