canonical_candidate_id,cycle,chamber,district,party,candidate,total_fundraising,finance_observation_status,source_name,source_measure,aggregation_status,match_score,match_margin
AL-1994-house-1-D-STARKEY,1994,house,1,D,Starkey,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-1-R-PHILLIPS,1994,house,1,R,Phillips,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-3-D-BLACK,1994,house,3,D,Black,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-3-R-SMALLWOOD,1994,house,3,R,Smallwood,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-4-D-SMITH,1994,house,4,D,Smith,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-4-R-PAPUCCI,1994,house,4,R,Papucci,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-6-D-SCHMITZ,1994,house,6,D,Schmitz,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-6-R-JORGENSEN,1994,house,6,R,Jorgensen,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-7-D-LETSON,1994,house,7,D,Letson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-7-R-RANDOLPH,1994,house,7,R,Randolph,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-8-D-DUKES,1994,house,8,D,Dukes,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-8-R-NEW,1994,house,8,R,New,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-12-D-MORRISON,1994,house,12,D,Morrison,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-12-R-BOWLING,1994,house,12,R,Bowling,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-15-D-SHARP,1994,house,15,D,Sharp,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-15-R-CURRY,1994,house,15,R,Curry,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-17-D-MILLICAN,1994,house,17,D,Millican,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-17-R-HARPER,1994,house,17,R,Harper,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-19-D-HALL,1994,house,19,D,Hall,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-19-R-ANDERSON,1994,house,19,R,Anderson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-26-D-MCDANIEL,1994,house,26,D,Mcdaniel,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-26-R-HOLCOMB,1994,house,26,R,Holcomb,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-27-D-MURPHREE,1994,house,27,D,Murphree,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-27-R-MARTIN,1994,house,27,R,Martin,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-28-D-FORD,1994,house,28,D,Ford,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-28-R-O-BARR,1994,house,28,R,O'Barr,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-29-D-PAGE,1994,house,29,D,Page,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-29-R-ESTES,1994,house,29,R,Estes,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-30-D-GALLIHER,1994,house,30,D,Galliher,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-30-R-HODGES,1994,house,30,R,Hodges,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-32-D-BOYD,1994,house,32,D,Boyd,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-32-R-MONTGOMERY,1994,house,32,R,Montgomery,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-33-D-JOHNSON,1994,house,33,D,Johnson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-33-R-HATTAWAY,1994,house,33,R,Hattaway,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-35-D-SHADDIX,1994,house,35,D,Shaddix,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-35-R-SIMS,1994,house,35,R,Sims,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-36-D-CAMPBELL,1994,house,36,D,Campbell,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-36-R-ROGERS,1994,house,36,R,Rogers,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-40-D-MARTIN,1994,house,40,D,Martin,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-40-R-KNIGHT,1994,house,40,R,Knight,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-42-D-SMITH,1994,house,42,D,Smith,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-42-R-BIALAS,1994,house,42,R,Bialas,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-43-D-ROMEI,1994,house,43,D,Romei,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-43-R-SANDERSON,1994,house,43,R,Sanderson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-46-D-JONES,1994,house,46,D,Jones,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-46-R-CARNS,1994,house,46,R,Carns,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-48-D-GULAS,1994,house,48,D,Gulas,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-48-R-HAWKINS,1994,house,48,R,Hawkins,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-49-D-HOLLADAY,1994,house,49,D,Holladay,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-49-R-THOMAS,1994,house,49,R,Thomas,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-50-D-SMITH,1994,house,50,D,Smith,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-50-R-TOWNSEND,1994,house,50,R,Townsend,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-53-D-NEWTON,1994,house,53,D,Newton,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-53-R-BLAKE,1994,house,53,R,Blake,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-54-D-PERDUE,1994,house,54,D,Perdue,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-54-R-PEARSON,1994,house,54,R,Pearson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-55-D-MINNIFIELD,1994,house,55,D,Minnifield,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-55-R-EVANS,1994,house,55,R,Evans,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-58-D-JOHNSON,1994,house,58,D,Johnson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-58-R-LELAND,1994,house,58,R,Leland,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-60-D-HILLARD,1994,house,60,D,Hillard,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-60-R-WRIGHT,1994,house,60,R,Wright,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-62-D-ALLEN,1994,house,62,D,Allen,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-62-R-COPELAND,1994,house,62,R,Copeland,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-64-D-WARREN,1994,house,64,D,Warren,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-64-R-BOWEN,1994,house,64,R,Bowen,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-65-D-DOLBARE,1994,house,65,D,Dolbare,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-65-R-WILKINS,1994,house,65,R,Wilkins,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-66-D-WHITE,1994,house,66,D,White,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-66-R-THOMSON,1994,house,66,R,Thomson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-67-D-MAULL,1994,house,67,D,Maull,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-67-R-WALKER,1994,house,67,R,Walker,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-69-D-THOMAS,1994,house,69,D,Thomas,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-69-R-BROOKS,1994,house,69,R,Brooks,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-72-D-HAYDEN,1994,house,72,D,Hayden,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-72-R-WILLIAMS,1994,house,72,R,Williams,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-73-D-VAUGHAN,1994,house,73,D,Vaughan,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-73-R-HOOPER,1994,house,73,R,Hooper,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-75-D-HOLLEY,1994,house,75,D,Holley,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-75-R-WREN,1994,house,75,R,Wren,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-76-D-MCCLAMMY,1994,house,76,D,McClammy,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-76-R-MERREN,1994,house,76,R,Merren,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-79-D-TURNHAM,1994,house,79,D,Turnham,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-79-R-PIERCE,1994,house,79,R,Pierce,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-80-D-VANCE,1994,house,80,D,Vance,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-80-R-MCCRAINE,1994,house,80,R,Mccraine,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-85-D-BAKER,1994,house,85,D,Baker,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-85-R-RALEY,1994,house,85,R,Raley,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-86-D-CAROTHERS,1994,house,86,D,Carothers,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-86-R-SHUEMAKE,1994,house,86,R,Shuemake,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-87-D-MATHIS,1994,house,87,D,Mathis,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-87-R-SEIBENHENER,1994,house,87,R,Seibenhener,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-88-D-GIPSON,1994,house,88,D,Gipson,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-88-R-TEMPLENTON,1994,house,88,R,Templenton,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-93-D-WILLIAMS,1994,house,93,D,Williams,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-93-R-CLOUSE,1994,house,93,R,Clouse,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-95-D-MCNAIR,1994,house,95,D,Mcnair,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-95-R-MCMILLAN,1994,house,95,R,Mcmillan,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-96-D-BOX,1994,house,96,D,Box,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-96-R-LONG,1994,house,96,R,Long,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-97-D-KENNEDY,1994,house,97,D,Kennedy,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-97-R-BAUMHAUER,1994,house,97,R,Baumhauer,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-103-D-MITCHELL,1994,house,103,D,Mitchell,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-103-R-GARDNER,1994,house,103,R,Gardner,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-104-D-ROCKHOLD,1994,house,104,D,Rockhold,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-104-R-DEAN,1994,house,104,R,Dean,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-105-D-HARPER,1994,house,105,D,Harper,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-house-105-R-CRIGLER,1994,house,105,R,Crigler,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-2-D-BUTLER,1994,senate,2,D,Butler,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-2-R-MANLEY,1994,senate,2,R,Manley,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-3-D-ROBERTS,1994,senate,3,D,Roberts,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-3-R-GENTRY,1994,senate,3,R,Gentry,,unknown_unmatched,none,unknown,unmatched,,
AL-1994-senate-4-D-FARRAR,1994,senate,4,D,Farrar,,unknown_unmatched,none,unknown,unmatched,,
