chamber,dem_seats,probability,national_error_sd,chamber_error_sd,district_error_sd
house,20,0.00086,14.148726636338928,2.908395696924094,22.168252202934166
house,21,0.00278,14.148726636338928,2.908395696924094,22.168252202934166
house,22,0.00824,14.148726636338928,2.908395696924094,22.168252202934166
house,23,0.01962,14.148726636338928,2.908395696924094,22.168252202934166
house,24,0.03448,14.148726636338928,2.908395696924094,22.168252202934166
house,25,0.05532,14.148726636338928,2.908395696924094,22.168252202934166
house,26,0.07308,14.148726636338928,2.908395696924094,22.168252202934166
house,27,0.08738,14.148726636338928,2.908395696924094,22.168252202934166
house,28,0.09784,14.148726636338928,2.908395696924094,22.168252202934166
house,29,0.0966,14.148726636338928,2.908395696924094,22.168252202934166
house,30,0.09252,14.148726636338928,2.908395696924094,22.168252202934166
house,31,0.08442,14.148726636338928,2.908395696924094,22.168252202934166
house,32,0.0753,14.148726636338928,2.908395696924094,22.168252202934166
house,33,0.06278,14.148726636338928,2.908395696924094,22.168252202934166
house,34,0.05116,14.148726636338928,2.908395696924094,22.168252202934166
house,35,0.04122,14.148726636338928,2.908395696924094,22.168252202934166
house,36,0.03308,14.148726636338928,2.908395696924094,22.168252202934166
house,37,0.02428,14.148726636338928,2.908395696924094,22.168252202934166
house,38,0.01852,14.148726636338928,2.908395696924094,22.168252202934166
house,39,0.01272,14.148726636338928,2.908395696924094,22.168252202934166
house,40,0.00984,14.148726636338928,2.908395696924094,22.168252202934166
house,41,0.00708,14.148726636338928,2.908395696924094,22.168252202934166
house,42,0.00422,14.148726636338928,2.908395696924094,22.168252202934166
house,43,0.00296,14.148726636338928,2.908395696924094,22.168252202934166
house,44,0.00176,14.148726636338928,2.908395696924094,22.168252202934166
house,45,0.00096,14.148726636338928,2.908395696924094,22.168252202934166
house,46,0.00054,14.148726636338928,2.908395696924094,22.168252202934166
house,47,0.00016,14.148726636338928,2.908395696924094,22.168252202934166
house,48,0.00014,14.148726636338928,2.908395696924094,22.168252202934166
house,49,8e-05,14.148726636338928,2.908395696924094,22.168252202934166
house,50,4e-05,14.148726636338928,2.908395696924094,22.168252202934166
house,52,2e-05,14.148726636338928,2.908395696924094,22.168252202934166
senate,6,0.10074,14.148726636338928,2.908395696924094,22.168252202934166
senate,7,0.18048,14.148726636338928,2.908395696924094,22.168252202934166
senate,8,0.2113,14.148726636338928,2.908395696924094,22.168252202934166
senate,9,0.19176,14.148726636338928,2.908395696924094,22.168252202934166
senate,10,0.13824,14.148726636338928,2.908395696924094,22.168252202934166
senate,11,0.0885,14.148726636338928,2.908395696924094,22.168252202934166
senate,12,0.04712,14.148726636338928,2.908395696924094,22.168252202934166
senate,13,0.0234,14.148726636338928,2.908395696924094,22.168252202934166
senate,14,0.0106,14.148726636338928,2.908395696924094,22.168252202934166
senate,15,0.00474,14.148726636338928,2.908395696924094,22.168252202934166
senate,16,0.00188,14.148726636338928,2.908395696924094,22.168252202934166
senate,17,0.00086,14.148726636338928,2.908395696924094,22.168252202934166
senate,18,0.00028,14.148726636338928,2.908395696924094,22.168252202934166
senate,19,8e-05,14.148726636338928,2.908395696924094,22.168252202934166
senate,20,2e-05,14.148726636338928,2.908395696924094,22.168252202934166
