stage,specification,parameter,races,mae,zero_baseline_mae,rmse,pearson,pearson_p,selected,candidate_effect_id,southern_candidate_quality_index,southern_candidate_quality_se,southern_quality_appearances,southern_candidate_quality_low,southern_candidate_quality_high,southern_quality_status,selected_quality_penalty
quality,all,1.0,438.0,16.74817342815963,16.743146424881235,21.087071908388282,0.1245851528480586,0.009051589703371929,False,,,,,,,,
quality,seen_candidate,1.0,129.0,16.334169149689455,16.317100719953512,21.063427875448458,0.2084035114642556,0.017785454008969265,False,,,,,,,,
quality,all,3.0,438.0,16.637050252857726,16.743146424881235,21.040586342465826,0.12226908071434484,0.010430944918758466,False,,,,,,,,
quality,seen_candidate,3.0,129.0,15.956867205641128,16.317100719953512,20.90499430874016,0.2019679791261998,0.021716238989809084,True,,,,,,,,
quality,all,10.0,438.0,16.65167403669076,16.743146424881235,21.130934708717767,0.11763598357940835,0.01376024050074522,False,,,,,,,,
quality,seen_candidate,10.0,129.0,16.006520053074222,16.317100719953512,21.212154553992754,0.19174818302106694,0.02948918063448667,False,,,,,,,,
quality,all,30.0,438.0,16.695337788250008,16.743146424881235,21.217446097357538,0.1147888812593926,0.016241737072127525,False,,,,,,,,
quality,seen_candidate,30.0,129.0,16.154773721159113,16.317100719953512,21.503366232405224,0.1857319995805668,0.03508729218671252,False,,,,,,,,
quality,all,100.0,438.0,16.72522851644186,16.743146424881235,21.263150040472937,0.1134575429017434,0.017530904303250452,False,,,,,,,,
quality,seen_candidate,100.0,129.0,16.256263170368648,16.317100719953512,21.656106148089002,0.1829495859425944,0.037965077915745916,False,,,,,,,,
,fitted_effect,,,,,,,,,ALNAME-ADLINE-C-CLARKE,-2.2773736916681666,8.842347534978455,1.0,-19.608374860225936,15.053627476889602,uncertain,3.0
,fitted_effect,,,,,,,,,ALNAME-AL-WIGGINS,-5.661128779063143,8.761555972559275,1.0,-22.833778485279325,11.511520927153038,uncertain,3.0
,fitted_effect,,,,,,,,,ALNAME-ALAN-BAKER,3.0963900709151453,8.071922010346503,2.0,-12.724577069364,18.917357211194293,uncertain,3.0
,fitted_effect,,,,,,,,,ALNAME-ALAN-C-BOOTHE,-6.3585793840838924,8.79617308081052,1.0,-23.59907862247251,10.881919854304726,uncertain,3.0
,fitted_effect,,,,,,,,,ALNAME-ALAN-HARPER,9.338895669416646,8.35523306555643,2.0,-7.0373611390739566,25.715152477907246,uncertain,3.0
,fitted_effect,,,,,,,,,ALNAME-ALBERT-HALL,-0.18060812180883057,8.842347534978455,1.0,-17.5116092903666,17.15039304674894,uncertain,3.0
,fitted_effect,,,,,,,,,ALNAME-ALLEN-CATON,-8.50276601359137,8.253336167452845,2.0,-24.679304901798947,7.673772874616208,uncertain,3.0
,fitted_effect,,,,,,,,,ALNAME-ALLEN-FARLEY,0.6545910614026664,8.842347534978455,1.0,-16.676410107155103,17.985592229960435,uncertain,3.0
,fitted_effect,,,,,,,,,ALNAME-ALLEN-TREADAWAY,3.288334728751618,8.842347534978455,1.0,-14.042666439806151,20.619335897309387,uncertain,3.0
,fitted_effect,,,,,,,,,ALNAME-ALLI-SUMMERFORD,0.7675593257027936,8.842347534978455,1.0,-16.563441842854974,18.098560494260564,uncertain,3.0
,fitted_effect,,,,,,,,,ALNAME-ALVIN-HOLMES,-0.6738164017751971,8.842347534978455,1.0,-18.004817570332968,16.65718476678257,uncertain,3.0
