model,fold_type,fold,rows,mae,rmse,bias,winner_accuracy,whole_precinct_rmse
baseline_only,forward_year,2006,211,15.299731574032181,19.539566629051215,9.398548140325078,0.7725118483412322,20.698674446361537
baseline_only,forward_year,2008,198,13.41898916591731,18.41590643517488,7.635571976885843,0.797979797979798,19.225274967049522
baseline_only,forward_year,2010,575,18.07741776639733,23.942650871299843,13.80622008930253,0.8052173913043478,23.43369702263545
baseline_only,forward_year,2012,243,10.028985414477791,16.723743349089336,6.839016861839463,0.9094650205761317,19.15874641125306
full_temporal,forward_year,2006,211,9.637231296077003,12.509199147067683,-1.0756034640926762,0.919431279620853,11.810876927770996
full_temporal,forward_year,2008,198,12.899957452736952,15.742258864316144,-10.758911582701794,0.8080808080808081,16.634243419738635
full_temporal,forward_year,2010,575,15.811024147717735,19.080307239862897,-10.755565746347381,0.7965217391304348,20.086397869898295
full_temporal,forward_year,2012,243,11.23212689756853,14.108834967139739,-5.561333063577584,0.9547325102880658,13.039356638301948
pooled_lag,forward_year,2006,211,13.191316281696608,17.185621551447188,1.3724544453067018,0.7582938388625592,16.59229314639657
pooled_lag,forward_year,2008,198,13.365037232773311,16.775504086595628,-0.7575532618077113,0.803030303030303,17.235602164139088
pooled_lag,forward_year,2010,575,15.94002651359994,20.337373906585093,5.565066021670709,0.808695652173913,20.533425120484157
pooled_lag,forward_year,2012,243,11.93999636492964,15.646693778034747,-3.4507370537185165,0.8847736625514403,16.73534419540883
portable_temporal,forward_year,2006,211,9.8586653713819,12.874880997566875,-3.1766332886827797,0.9052132701421801,12.282141075089394
portable_temporal,forward_year,2008,198,13.543262557642338,16.432099044445053,-11.381591193008294,0.7828282828282829,16.603195513695603
portable_temporal,forward_year,2010,575,14.331694547850086,17.547335631704104,-7.80338236470417,0.8017391304347826,18.518425403390115
portable_temporal,forward_year,2012,243,12.27655994510616,15.337508783531074,-4.760889689309666,0.934156378600823,14.456627167104289
state_chamber_incumbency,forward_year,2006,211,11.473436753849564,14.721055782397242,5.599868989446492,0.8815165876777251,15.088849487893881
state_chamber_incumbency,forward_year,2008,198,11.010393727133353,13.852247516815973,0.6457865891145771,0.8737373737373737,14.423638600767609
state_chamber_incumbency,forward_year,2010,575,15.916046308048292,19.310494532050573,1.9328114226630169,0.8208695652173913,20.37789188305525
state_chamber_incumbency,forward_year,2012,243,11.060336348948704,13.990200685629372,-4.759227411192286,0.9176954732510288,13.56263772450629
state_chamber_lag,forward_year,2006,211,12.845901524486585,16.879375554760255,3.2307691649325685,0.7914691943127962,16.293456232552323
state_chamber_lag,forward_year,2008,198,12.612989617488466,15.999245976719912,0.3004567298803142,0.8282828282828283,16.483472401738005
state_chamber_lag,forward_year,2010,575,16.171775666046944,20.34706633766072,3.876546069498143,0.8052173913043478,20.47694669061689
state_chamber_lag,forward_year,2012,243,12.936274994106626,16.287048487083474,-7.179290867740504,0.8600823045267489,14.822261498408203
symmetric_incumbency,forward_year,2006,211,11.62872613307196,14.969906197373476,4.429868413263204,0.8767772511848341,16.09577727917908
symmetric_incumbency,forward_year,2008,198,10.94879560143541,13.865631163524695,0.2068972733901578,0.8434343434343434,14.511578312825318
symmetric_incumbency,forward_year,2010,575,15.650787114382553,19.072216725436014,2.833091550605973,0.8295652173913044,20.041277883836123
symmetric_incumbency,forward_year,2012,243,10.498583742676788,14.132977641293188,-1.1760466266261729,0.9259259259259259,15.969828186336358
