county_file,chamber,district,party,candidate_official,candidate_norm,votes_official_county
2018-General-Winston.xls,senate,4,R,Garlan Gudger,GARLAN GUDGER,3296.0
2018-General-Winston.xls,senate,5,R,Greg J. Reed,GREG J REED,3553.0
2018-General-Winston.xls,house,7,D,Kenneth A. Brackins,KENNETH A BRACKINS,169.0
2018-General-Winston.xls,house,7,R,Proncey Robertson,PRONCEY ROBERTSON,1360.0
2018-General-Winston.xls,house,14,R,Tim Wadsworth,TIM WADSWORTH,3932.0
2018-General-Winston.xls,house,17,R,Tracy Estes,TRACY ESTES,1535.0
2018-General-Autauga.xls,senate,30,R,"Clyde Chambliss, Jr.",CLYDE CHAMBLISS,14808.0
2018-General-Autauga.xls,house,42,R,"James M. ""Jimmy"" Martin",JAMES M JIMMY MARTIN,4370.0
2018-General-Autauga.xls,house,69,D,Kelvin Jamichael Lawrence,KELVIN JAMICHAEL LAWRENCE,1075.0
2018-General-Autauga.xls,house,88,D,Cory Creel,CORY CREEL,3116.0
2018-General-Autauga.xls,house,88,R,Will Dismukes,WILL DISMUKES,8417.0
2018-General-Baldwin.xls,senate,22,R,Greg Albritton,GREG ALBRITTON,13058.0
2018-General-Baldwin.xls,senate,32,D,Jason Fisher,JASON FISHER,15193.0
2018-General-Baldwin.xls,senate,32,R,Chris Elliott,CHRIS ELLIOTT,45726.0
2018-General-Baldwin.xls,house,64,D,Amber Selman-Lynn,AMBER SELMAN LYNN,3072.0
2018-General-Baldwin.xls,house,64,R,Harry Shiver,HARRY SHIVER,10419.0
2018-General-Baldwin.xls,house,66,D,Susan E. Smith,SUSAN E SMITH,478.0
2018-General-Baldwin.xls,house,66,R,Alan Baker,ALAN BAKER,3572.0
2018-General-Baldwin.xls,house,94,D,Danielle Mashburn-Myrick,DANIELLE MASHBURN MYRICK,6257.0
2018-General-Baldwin.xls,house,94,R,Joe Faust,JOE FAUST,15302.0
2018-General-Baldwin.xls,house,95,R,Steve McMillan,STEVE MCMILLAN,17008.0
2018-General-Baldwin.xls,house,96,D,Maurice Horsey,MAURICE HORSEY,4555.0
