cycle,chamber,district,statewide_index_margin_activity,raw_overperformance_activity,statewide_index_margin_geographic,raw_overperformance_geographic,statewide_index_margin_change,raw_overperformance_change
2014,house,1,-19.222688752899867,16.291024694475244,-30.078474761325825,27.1468107029012,-10.855786008425959,10.855786008425955
2014,house,2,-42.34174252025333,18.134270630518103,-30.078474761325825,5.871002871590601,12.263267758927501,-12.263267758927501
2014,house,3,-6.685684951552702,26.431003303612627,-17.071622591262862,36.81694094332279,-10.38593763971016,10.385937639710164
2014,house,4,-50.28077255570093,-49.71922744429907,-47.82389541298003,-52.17610458701997,2.4568771427208986,-2.4568771427208986
2014,house,5,-44.76018183706217,32.01911323130814,-46.48024536093931,33.73917675518528,-1.720063523877137,1.720063523877137
2014,house,6,-40.613299309213765,-59.38670069078624,-32.08471670829238,-67.91528329170762,8.528582600921382,-8.528582600921382
2014,house,7,-37.81096601916638,33.346449890134124,-26.943780331018644,22.479264201986386,10.867185688147735,-10.867185688147739
2014,house,8,-31.509820734217403,11.681822645349747,-48.6762566207528,28.848258531885147,-17.1664358865354,17.1664358865354
2014,house,9,-57.864673208103305,-42.135326791896695,-48.50978165986436,-51.49021834013564,9.354891548238946,-9.354891548238946
2014,house,10,-39.43504708388445,-54.00277945739037,-32.084716708292376,-61.35310983298244,7.350330375592073,-7.350330375592073
2014,house,11,-57.395684097675485,-42.60431590232452,-51.64680103821169,-48.35319896178831,5.748883059463793,-5.748883059463786
2014,house,12,-45.23646271555133,-54.76353728444867,-47.44222319013986,-52.55777680986014,-2.20576047458853,2.20576047458853
2014,house,13,-50.35028297752764,-49.64971702247236,-44.77279643746389,-55.22720356253611,5.577486540063752,-5.577486540063752
2014,house,14,-55.084835210209015,-44.915164789790985,-40.15741354022942,-59.84258645977058,14.927421669979594,-14.927421669979594
2014,house,15,-47.532226872100416,-52.467773127899584,1.2646591660130222,-101.26465916601302,48.79688603811344,-48.796886038113435
2014,house,16,-47.67174978423207,-2.9650783081619707,-33.6700040600952,-16.966824032298838,14.001745724136867,-14.001745724136867
2014,house,17,-45.003341058291205,12.792247715979954,-47.729832953446696,15.518739611135445,-2.7264918951554904,2.7264918951554904
2014,house,18,-24.36728843385004,43.38318682624723,-22.59079869977543,41.606697092172624,1.7764897340746089,-1.7764897340746089
2014,house,19,26.560196698364475,73.43980330163552,-32.084716708292376,132.08471670829238,-58.644913406656855,58.644913406656855
2014,house,20,-56.94472908344964,-43.05527091655036,-32.08471670829238,-67.91528329170762,24.860012375157254,-24.86001237515726
2014,house,21,-39.13908118492613,4.318546364391317,-32.084716708292376,-2.735818112242441,7.054364476633751,-7.054364476633758
2014,house,22,-53.673929916727786,4.983188859051936,-33.11249732342412,-15.578243734251728,20.561432593303664,-20.561432593303664
2014,house,23,-37.105930225477564,23.048621255377896,-37.99476669248856,23.937457722388885,-0.8888364670109965,0.8888364670109894
2014,house,24,-53.67219658800622,31.03287425184929,-52.355752310060026,29.716429973903093,1.3164442779461965,-1.3164442779461965
2014,house,25,-43.14222661042324,-56.85777338957676,-35.76883732362546,-64.23116267637454,7.3733892867977815,-7.3733892867977815
2014,house,26,-60.51047394482134,-39.48952605517866,-59.56337934611072,-40.436620653889285,0.9470945987106205,-0.9470945987106276
2014,house,27,-58.45004513656634,40.39402083687008,-60.636090951749686,42.58006665205343,-2.1860458151833484,2.1860458151833555
2014,house,28,-0.4682397775492834,30.12354316754073,-29.60248245769991,59.257785847691366,-29.134242680150628,29.134242680150635
2014,house,29,-44.15493261963224,11.661153869915026,-32.37316605215446,-0.1206126975627555,11.781766567477781,-11.781766567477781
2014,house,30,-53.15275168608736,-46.84724831391264,-39.32207670055412,-60.67792329944588,13.830674985533243,-13.830674985533243
2014,house,31,-51.2980305929943,-48.7019694070057,-42.24438961940585,-57.75561038059415,9.05364097358845,-9.05364097358845
2014,house,32,4.615077320343876,95.38492267965611,-23.97936193834739,123.9793619383474,-28.594439258691267,28.59443925869128
2014,house,33,-29.69734870333789,-20.74895911381115,-16.03953013984146,-34.40677767730758,13.65781856349643,-13.65781856349643
2014,house,34,-65.15896391785891,-34.84103608214109,-42.01674423413281,-57.98325576586719,23.142219683726104,-23.142219683726104
2014,house,35,-30.626851973211547,-69.37314802678846,-23.82395670311816,-76.17604329688184,6.802895270093387,-6.802895270093387
2014,house,36,-44.79230777401992,-55.20769222598008,-46.18592944267399,-53.81407055732601,-1.3936216686540703,1.3936216686540703
2014,house,37,-24.408795630753943,20.650183962488484,-31.32585340271017,27.56724173444472,-6.917057771956227,6.917057771956237
