specification,features,forward_cycles,races,cycle_balanced_mean_mae,delta_mae_vs_environment,delta_mae_ci95_low,delta_mae_ci95_high,post2016_delta_mae,latest_cycle_delta_mae,house_race_weighted_mae,senate_race_weighted_mae,complete_case_share,passes_screen
incumbency,dem_incumbent_i;rep_incumbent_i;open_seat,7,421,20.925221242374562,-3.921505893308024,-11.09987800932883,3.8020699361208847,10.72216864728409,9.194738054006601,21.220216320235775,20.345421025818926,1.0,False
presidential_trend,prior_pres_swing_filled;trend_available,7,421,21.379287376422095,-3.467439759260494,-9.990809778441454,4.387297342692468,9.397204053571791,2.5982569493263323,22.090109644704068,21.324382392345225,0.18664047151277013,False
demographics,nonwhite_share;white_college_share,7,421,21.454527587476825,-3.3921995482057636,-10.223934229617452,4.1846721712547295,10.64986187442685,7.636253472757902,21.817774840950374,21.05946065087867,1.0,False
fundraising,finance_ratio_capped;ftm_finance_complete,7,421,21.660623901219168,-3.186103234463417,-10.029714551909308,4.430365834895981,11.168945575674499,8.726281524872013,22.002009857644786,21.162448595177548,0.206286836935167,False
candidate_history,dem_prior_recent;rep_prior_recent;dem_prior_winner;rep_prior_winner;dem_prior_candidate_overperformance;rep_prior_candidate_overperformance;dem_prior_cycle_gap;rep_prior_cycle_gap,7,421,22.48579228966395,-2.3609348460186377,-9.791557872874549,5.994187340759317,13.269971249918289,10.343791342019328,22.737486764100396,21.840417400834696,0.0,False
environment_baseline,,7,421,24.84672713568259,0.0,0.0,0.0,0.0,0.0,26.181549586967385,25.066964760911535,1.0,False
