specification,test_cycle,mae
a_poll_full_transfer,2002,33.16443535375861
a_poll_full_transfer,2006,29.8594701922677
a_poll_full_transfer,2010,33.36209250743559
a_poll_full_transfer,2014,26.29394665788653
a_poll_full_transfer,2018,12.481030480683167
a_poll_full_transfer,2022,9.857008882273425
a_poll_post2016_ramp,2002,32.24515684653531
a_poll_post2016_ramp,2006,43.598621945586636
a_poll_post2016_ramp,2010,25.91223926790113
a_poll_post2016_ramp,2014,23.583294204908917
a_poll_post2016_ramp,2018,12.47307344344572
a_poll_post2016_ramp,2022,9.857008882273425
a_poll_post2016_ramp_plus_20pct_ridge,2002,29.688180529300684
a_poll_post2016_ramp_plus_20pct_ridge,2006,39.258268461116224
a_poll_post2016_ramp_plus_20pct_ridge,2010,21.913554261765512
a_poll_post2016_ramp_plus_20pct_ridge,2014,21.65333893418844
a_poll_post2016_ramp_plus_20pct_ridge,2018,12.18749208839244
a_poll_post2016_ramp_plus_20pct_ridge,2022,10.63929656367378
a_poll_two_step_transfer,2002,32.24515684653531
a_poll_two_step_transfer,2006,43.598621945586636
a_poll_two_step_transfer,2010,29.49647259993436
a_poll_two_step_transfer,2014,24.755142864726505
a_poll_two_step_transfer,2018,12.481030480683167
a_poll_two_step_transfer,2022,9.857008882273425
oracle_post2016_environment,2002,32.24515684653531
oracle_post2016_environment,2006,43.598621945586636
oracle_post2016_environment,2010,25.91223926790113
oracle_post2016_environment,2014,23.583294204908917
oracle_post2016_environment,2018,12.477850491265727
oracle_post2016_environment,2022,9.775971503655144
prior_presidential,2002,32.24515684653531
prior_presidential,2006,43.598621945586636
prior_presidential,2010,25.91223926790113
prior_presidential,2014,23.583294204908917
prior_presidential,2018,13.106621690402946
prior_presidential,2022,12.034288859355826
