model,scenario,races,mean_margin_change,mean_absolute_change,max_absolute_change,winner_changes
ensemble_ramp_ridge_80_20,current_2022_total_population,48,0.0,0.0,0.0,0
ensemble_ramp_ridge_80_20,rdh_2024_cvap,48,-0.0016738341187264212,0.0017650028597422374,0.005565941009306741,0
ensemble_ramp_ridge_80_20,rdh_2024_cvap_education_delta,48,-0.038640907144369206,0.04888927425944386,0.1614314364096323,0
ensemble_ramp_ridge_80_20,rdh_l2_2024_registered,48,-0.0010103676452403916,0.0014849111086414624,0.005430430095135108,0
ensemble_ramp_ridge_80_20,rdh_l2_2024_voters,48,-0.0036241502869893694,0.0036443841241237487,0.009494213331210588,0
ensemble_ramp_ridge_80_20,rdh_projected_2026_vap,48,-0.0001562277775396803,0.0006189916665191216,0.001943302310944972,0
ensemble_ramp_ridge_80_20,rdh_projected_vap_education_delta,48,-0.037123300803183074,0.04797258941528692,0.1608792574027884,0
post2016_ramp,current_2022_total_population,48,0.0,0.0,0.0,0
post2016_ramp,rdh_2024_cvap,48,0.0,0.0,0.0,0
post2016_ramp,rdh_2024_cvap_education_delta,48,0.0,0.0,0.0,0
post2016_ramp,rdh_l2_2024_registered,48,0.0,0.0,0.0,0
post2016_ramp,rdh_l2_2024_voters,48,0.0,0.0,0.0,0
post2016_ramp,rdh_projected_2026_vap,48,0.0,0.0,0.0,0
post2016_ramp,rdh_projected_vap_education_delta,48,0.0,0.0,0.0,0
ramp_all_extra_trees,current_2022_total_population,48,0.0,0.0,0.0,0
ramp_all_extra_trees,rdh_2024_cvap,48,-0.02329324875645161,0.11545966312571633,0.9282770043657074,0
ramp_all_extra_trees,rdh_2024_cvap_education_delta,48,-0.1604184552436141,0.21926309691679324,1.0332476303688587,0
ramp_all_extra_trees,rdh_l2_2024_registered,48,0.014416633175464997,0.08175647373106845,0.610854257269672,0
ramp_all_extra_trees,rdh_l2_2024_voters,48,0.013617379301863958,0.2580568081856593,2.071148630866471,0
ramp_all_extra_trees,rdh_projected_2026_vap,48,-0.038961835851114145,0.04365214538945925,0.7736292116022625,0
ramp_all_extra_trees,rdh_projected_vap_education_delta,48,-0.17779549512582252,0.19989359735625564,0.9222817304231299,0
ramp_all_spline_ridge,current_2022_total_population,48,0.0,0.0,0.0,0
ramp_all_spline_ridge,rdh_2024_cvap,48,-0.10212362960082426,0.11282525828481822,0.4522655427981732,0
ramp_all_spline_ridge,rdh_2024_cvap_education_delta,48,-0.33694908840537013,0.3570567520630655,1.0824268683604288,0
ramp_all_spline_ridge,rdh_l2_2024_registered,48,-0.012840891281970376,0.08112033183880514,0.4497578656278023,0
ramp_all_spline_ridge,rdh_l2_2024_voters,48,-0.15052207920860947,0.19116827975073283,0.8740507597627953,0
ramp_all_spline_ridge,rdh_projected_2026_vap,48,-0.03140667080404421,0.046876309147783436,0.2332006739282324,0
ramp_all_spline_ridge,rdh_projected_vap_education_delta,48,-0.26623212960858994,0.3156930225394051,1.0349649979530327,0
ramp_demographic_response,current_2022_total_population,48,0.0,0.0,0.0,0
ramp_demographic_response,rdh_2024_cvap,48,-0.19639883806952352,0.20709609570306775,0.6530780647624148,0
ramp_demographic_response,rdh_2024_cvap_education_delta,48,-0.4201007098342033,0.4400030450589461,1.10984625424212,1
ramp_demographic_response,rdh_l2_2024_registered,48,-0.11855119293379439,0.17423161178938218,0.6371779311762893,0
ramp_demographic_response,rdh_l2_2024_voters,48,-0.4252386167726406,0.4276127481506912,1.1140007517903978,1
ramp_demographic_response,rdh_projected_2026_vap,48,-0.018330940706553205,0.07262920663341459,0.22801680980047223,0
ramp_demographic_response,rdh_projected_vap_education_delta,48,-0.2420328124712333,0.2900556590967531,1.045056491542697,1
