cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage
2014,house,1.0,4652.0,4933.0,9585.0,-2.9316640584246216,True,R,2012_enacted
2014,house,2.0,5224.0,8561.0,13785.0,-24.20747188973522,True,R,2012_enacted
2014,house,3.0,7993.0,5357.0,13350.0,19.745318352059925,True,D,2012_enacted
2014,house,4.0,0.0,8473.0,8473.0,-100.0,False,R,2012_enacted
2014,house,5.0,5520.0,7132.0,12652.0,-12.74106860575403,True,R,2012_enacted
2014,house,6.0,0.0,8325.0,8325.0,-100.0,False,R,2012_enacted
2014,house,7.0,5553.0,6072.0,11625.0,-4.464516129032258,True,R,2012_enacted
2014,house,8.0,4195.0,6270.0,10465.0,-19.827998088867655,True,R,2012_enacted
2014,house,9.0,0.0,11646.0,11646.0,-100.0,False,R,2012_enacted
2014,house,10.0,314.0,9256.0,9570.0,-93.43782654127482,True,R,2012_enacted
2014,house,11.0,0.0,8941.0,8941.0,-100.0,False,R,2012_enacted
2014,house,12.0,0.0,9455.0,9455.0,-100.0,False,R,2012_enacted
2014,house,13.0,0.0,9482.0,9482.0,-100.0,False,R,2012_enacted
2014,house,14.0,0.0,9255.0,9255.0,-100.0,False,R,2012_enacted
2014,house,15.0,0.0,10178.0,10178.0,-100.0,False,R,2012_enacted
2014,house,16.0,3430.0,10467.0,13897.0,-50.63682809239404,True,R,2012_enacted
2014,house,17.0,4027.0,7854.0,11881.0,-32.21109334231125,True,R,2012_enacted
2014,house,18.0,6700.0,4559.0,11259.0,19.015898392397194,True,D,2012_enacted
2014,house,19.0,7615.0,0.0,7615.0,100.0,False,D,2012_enacted
2014,house,20.0,0.0,12876.0,12876.0,-100.0,False,R,2012_enacted
2014,house,21.0,4558.0,9428.0,13986.0,-34.82053482053482,True,R,2012_enacted
2014,house,22.0,2998.0,8688.0,11686.0,-48.69074105767585,True,R,2012_enacted
2014,house,23.0,4139.0,5493.0,9632.0,-14.057308970099667,True,R,2012_enacted
