model,forward_rmse,leave_state_out_rmse,leave_state_out_whole_precinct_rmse,forward_rmse_rank,leave_state_out_rmse_rank,leave_state_out_whole_precinct_rmse_rank,rank_sum,complexity_order,forward_guardrail_pass,selected
portable_temporal,15.547956114311777,15.218853449369362,14.026886723758338,4.0,1.0,1.0,6.0,5,True,True
full_temporal,15.360150054596616,15.963881350503367,14.607796250130832,1.0,2.0,2.0,5.0,6,True,False
state_chamber_incumbency,15.46849962922329,18.378994409301033,17.517422601955325,2.0,3.0,3.0,8.0,4,True,False
symmetric_incumbency,15.510182931906844,18.390873009042785,17.884428695146582,3.0,4.0,4.0,11.0,2,True,False
state_chamber_lag,17.37818408905609,20.201875148132064,20.387210840355852,5.0,5.0,5.0,15.0,3,False,False
pooled_lag,17.486298330665665,20.267796162530516,20.85046013341315,6.0,6.0,6.0,18.0,1,False,False
baseline_only,19.65546682115382,23.363908287640594,24.338844010309327,7.0,7.0,7.0,21.0,0,False,False
